"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda Benemis"	"Avinguda Benemis"							"way"	"225753138"		"{'highway': 'residential', 'name': 'Avinguda Benemis'}"
"Avinguda de la Torre de Piles"	"Avinguda de la Torre de Piles"							"way"	"303110959"		"{'highway': 'residential', 'name': 'Avinguda de la Torre de Piles'}"
"Avinguda País Valencià"	"Avinguda País Valencià"							"way"	"225752877"		"{'highway': 'residential', 'name': 'Avinguda País Valencià'}"
"Avinguda País Valencià"	"Avinguda País Valencià"							"way"	"977959642"		"{'highway': 'residential', 'name': 'Avinguda País Valencià'}"
"Camí Sèquia les Vinyes"	"Camí Sèquia les Vinyes"							"way"	"237301342"		"{'highway': 'unclassified', 'name': 'Camí Sèquia les Vinyes'}"
"Camí Vidriola"	"Camí Vidriola"							"way"	"237301341"		"{'highway': 'unclassified', 'name': 'Camí Vidriola'}"
"Carrer 2 de Maig"	"Carrer 2 de Maig"							"way"	"225752882"		"{'highway': 'residential', 'name': 'Carrer 2 de Maig'}"
"Carrer 2 de Maig"	"Carrer 2 de Maig"							"way"	"225752887"		"{'highway': 'residential', 'name': 'Carrer 2 de Maig'}"
"Carrer 2 de Maig"	"Carrer 2 de Maig"							"way"	"225752879"		"{'highway': 'residential', 'name': 'Carrer 2 de Maig'}"
"Carrer 9 d'Octubre"	"Carrer 9 d'Octubre"							"way"	"399234817"		"{'highway': 'residential', 'name': \"Carrer 9 d'Octubre\"}"
"Carrer Alcoy"	"Carrer Alcoy"							"way"	"225752875"		"{'highway': 'residential', 'name': 'Carrer Alcoy', 'oneway': 'yes'}"
"Carrer Alcoy"	"Carrer Alcoy"							"way"	"225752878"		"{'highway': 'residential', 'name': 'Carrer Alcoy'}"
"Carrer Ausias March"	"Carrer Ausias March"							"way"	"399173165"		"{'highway': 'residential', 'name': 'Carrer Ausias March'}"
"Carrer Baix"	"Carrer Baix"							"way"	"399233904"		"{'highway': 'residential', 'name': 'Carrer Baix'}"
"Carrer Beneteixir"	"Carrer Beneteixir"							"way"	"399325678"		"{'highway': 'residential', 'name': 'Carrer Beneteixir'}"
"Carrer Bernardino Pallares"	"Carrer Bernardino Pallares"							"way"	"399206887"		"{'highway': 'residential', 'name': 'Carrer Bernardino Pallares'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	" 72051954"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez', 'oneway': 'yes'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	" 72051959"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez', 'oneway': 'yes'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	"115494900"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez', 'oneway': 'yes', 'source': 'PNOA', 'source:date': '2008'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	" 72051955"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez', 'oneway': 'yes'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	" 72051971"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	"115494892"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez', 'oneway': 'yes', 'source': 'PNOA', 'source:date': '2008'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	"115494917"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez', 'oneway': 'yes', 'source': 'PNOA', 'source:date': '2008'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	"115494906"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez', 'oneway': 'yes', 'source': 'PNOA', 'source:date': '2008'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	"115494913"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez', 'oneway': 'yes', 'source': 'PNOA', 'source:date': '2008'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	"115494916"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez', 'source': 'PNOA', 'source:date': '2008'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	"115494887"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez', 'oneway': 'yes', 'source': 'PNOA', 'source:date': '2008'}"
"Carrer Bon Aire"	"Carrer Bon Aire"							"way"	"225399420"		"{'highway': 'residential', 'name': 'Carrer Bon Aire', 'oneway': 'yes'}"
"Carrer Bon Aire"	"Carrer Bon Aire"							"way"	"225399418"		"{'highway': 'residential', 'name': 'Carrer Bon Aire'}"
"Carrer Botánico Cavanilles"	"Carrer Botánico Cavanilles"							"way"	"399236571"		"{'highway': 'residential', 'name': 'Carrer Botánico Cavanilles'}"
"Carrer Brises"	"Carrer Brises"							"way"	"225752916"		"{'highway': 'residential', 'name': 'Carrer Brises'}"
"Carrer Brises"	"Carrer Brises"							"way"	"303110509"		"{'highway': 'residential', 'name': 'Carrer Brises'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	"368099626"		"{'highway': 'residential', 'name': 'Carrer Cervantes'}"
"Carrer Cocentaina"	"Carrer Cocentaina"							"way"	"303110341"		"{'highway': 'residential', 'name': 'Carrer Cocentaina'}"
"Carrer Comarca la Safor"	"Carrer Comarca la Safor"							"way"	"368099937"		"{'highway': 'residential', 'name': 'Carrer Comarca la Safor'}"
"Carrer Comportes"	"Carrer Comportes"							"way"	"445534368"		"{'highway': 'residential', 'name': 'Carrer Comportes'}"
"Carrer Constitució"	"Carrer Constitució"							"way"	"399234154"		"{'highway': 'residential', 'name': 'Carrer Constitució'}"
"Carrer de L'Ermita"	"Carrer de L'Ermita"							"way"	"225752883"		"{'highway': 'residential', 'name': \"Carrer de L'Ermita\"}"
"Carrer de L'Ermita"	"Carrer de L'Ermita"							"way"	"977959643"		"{'highway': 'residential', 'name': \"Carrer de L'Ermita\", 'oneway': 'yes'}"
"Carrer de San Didac"	"Carrer de San Didac"							"way"	"445534336"		"{'highway': 'residential', 'name': 'Carrer de San Didac'}"
"Carrer del Doctor Fleming"	"Carrer del Doctor Fleming"							"way"	"399325317"		"{'highway': 'residential', 'name': 'Carrer del Doctor Fleming'}"
"Carrer del Doctor Fleming"	"Carrer del Doctor Fleming"							"way"	"225752884"		"{'highway': 'residential', 'name': 'Carrer del Doctor Fleming', 'oneway': 'yes'}"
"Carrer del Forn"	"Carrer del Forn"							"way"	"399174969"		"{'highway': 'residential', 'name': 'Carrer del Forn'}"
"Carrer del Mar"	"Carrer del Mar"							"way"	"475505836"		"{'bridge': 'yes', 'highway': 'residential', 'layer': '1', 'name': 'Carrer del Mar'}"
"Carrer del Mar"	"Carrer del Mar"							"way"	"399169565"		"{'highway': 'residential', 'name': 'Carrer del Mar'}"
"Carrer del Mar"	"Carrer del Mar"							"way"	"460002515"		"{'highway': 'residential', 'name': 'Carrer del Mar', 'oneway': 'yes'}"
"Carrer del Mar"	"Carrer del Mar"							"way"	"475505837"		"{'highway': 'residential', 'name': 'Carrer del Mar'}"
"Carrer del Mar"	"Carrer del Mar"							"way"	"399169697"		"{'highway': 'residential', 'name': 'Carrer del Mar', 'oneway': 'yes'}"
"Carrer Gabriel Mirò"	"Carrer Gabriel Mirò"							"way"	"659511137"		"{'highway': 'residential', 'name': 'Carrer Gabriel Mirò'}"
"Carrer Goya"	"Carrer Goya"							"way"	"368099667"		"{'highway': 'residential', 'name': 'Carrer Goya'}"
"Carrer Joan Fuster"	"Carrer Joan Fuster"							"way"	"399171058"		"{'highway': 'residential', 'name': 'Carrer Joan Fuster'}"
"Carrer Joan Fuster"	"Carrer Joan Fuster"							"way"	"399172137"		"{'highway': 'residential', 'name': 'Carrer Joan Fuster'}"
"Carrer Joanot Martorell"	"Carrer Joanot Martorell"							"way"	"368099668"		"{'highway': 'residential', 'name': 'Carrer Joanot Martorell'}"
"Carrer La Creu"	"Carrer La Creu"							"way"	"399174944"		"{'highway': 'residential', 'name': 'Carrer La Creu'}"
