"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda d'Andalusia"	"Avinguda d'Andalusia"							"way"	"185665748"		"{'highway': 'residential', 'name': \"Avinguda d'Andalusia\"}"
"Avinguda de Gabriel Miró"	"Avinguda de Gabriel Miró"							"way"	"481281988"		"{'fixme': 'Corregir old_ref. Existen valores distintos en etiquetas old_ref y ref_old. Esta última debería eliminarse.', 'highway': 'secondary', 'name': 'Avinguda de Gabriel Miró', 'old_ref': 'CV-70', 'ref': 'CV-715', 'ref_old': 'CV-7676', 'source': 'PNOA;datos oficiales', 'surface': 'asphalt'}"
"Avinguda de Gabriel Miró"	"Avinguda de Gabriel Miró"							"way"	"977994667"		"{'fixme': 'Corregir old_ref. Existen valores distintos en etiquetas old_ref y ref_old. Esta última debería eliminarse.', 'highway': 'secondary', 'name': 'Avinguda de Gabriel Miró', 'old_ref': 'CV-70', 'ref': 'CV-715', 'ref_old': 'CV-7676', 'source': 'PNOA;datos oficiales'}"
"Avinguda de Gabriel Miró"	"Avinguda de Gabriel Miró"							"way"	"977994668"		"{'fixme': 'Corregir old_ref. Existen valores distintos en etiquetas old_ref y ref_old. Esta última debería eliminarse.', 'highway': 'secondary', 'name': 'Avinguda de Gabriel Miró', 'old_ref': 'CV-70', 'ref': 'CV-715', 'ref_old': 'CV-7676', 'source': 'PNOA;datos oficiales', 'surface': 'asphalt'}"
"Avinguda de la Baronía de Polop"	"Avinguda de la Baronía de Polop"							"way"	"172039003"		"{'highway': 'residential', 'name': 'Avinguda de la Baronía de Polop', 'oneway': 'yes'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	"172038975"		"{'highway': 'residential', 'name': 'Avinguda de la Constitució'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	"291869819"		"{'highway': 'residential', 'name': 'Avinguda de la Constitució'}"
"Avinguda de Sagi Barba"	"Avinguda de Sagi Barba"							"way"	" 27363296"		"{'drive_in': 'yes', 'highway': 'residential', 'maxspeed': '30', 'name': 'Avinguda de Sagi Barba', 'oneway': 'yes'}"
"Avinguda de Sagi Barba"	"Avinguda de Sagi Barba"							"way"	"693426634"		"{'drive_in': 'yes', 'highway': 'residential', 'maxspeed': '30', 'name': 'Avinguda de Sagi Barba', 'oneway': 'no'}"
"Avinguda del Balcó del Ponoch"	"Avinguda del Balcó del Ponoch"							"way"	"185804622"		"{'highway': 'residential', 'name': 'Avinguda del Balcó del Ponoch'}"
"Avinguda del Balcó del Ponoch"	"Avinguda del Balcó del Ponoch"							"way"	"172039151"		"{'highway': 'residential', 'name': 'Avinguda del Balcó del Ponoch'}"
"Avinguda del País Valencià"	"Avinguda del País Valencià"							"way"	"443241779"		"{'highway': 'residential', 'name': 'Avinguda del País Valencià'}"
"Avinguda del Ponoig"	"Avinguda del Ponoig"							"way"	"172039051"		"{'highway': 'residential', 'name': 'Avinguda del Ponoig'}"
"Avinguda La Vila Joiosa"	"Avinguda La Vila Joiosa"							"way"	"185760852"		"{'highway': 'residential', 'name': 'Avinguda La Vila Joiosa'}"
"Camí Cementeri"	"Camí Cementeri"							"way"	"172208525"		"{'highway': 'residential', 'layer': '-2', 'name': 'Camí Cementeri'}"
"Camí de Campulles"	"Camí de Campulles"							"way"	"572393514"		"{'highway': 'service', 'name': 'Camí de Campulles', 'surface': 'paved'}"
"Camí de Campulles"	"Camí de Campulles"							"way"	"172258036"		"{'highway': 'service', 'name': 'Camí de Campulles', 'source': 'GPS', 'surface': 'paved'}"
"Camí de Gulabdar"	"Camí de Gulabdar"							"way"	"262430550"		"{'highway': 'service', 'name': 'Camí de Gulabdar', 'sac_scale': 'mountain_hiking', 'surface': 'asphalt'}"
"Camí de l'Alberca"	"Camí de l'Alberca"							"way"	"185665775"		"{'highway': 'tertiary', 'name': \"Camí de l'Alberca\", 'oneway': 'yes'}"
"Camí de l'Alberca"	"Camí de l'Alberca"							"way"	"185665781"		"{'highway': 'tertiary', 'name': \"Camí de l'Alberca\", 'oneway': 'yes'}"
"Camí del Bovalar"	"Camí del Bovalar"							"way"	" 31665769"		"{'highway': 'track', 'mtb:scale': '0', 'name': 'Camí del Bovalar'}"
"Camí del Bovalar"	"Camí del Bovalar"							"way"	"236360327"		"{'highway': 'service', 'name': 'Camí del Bovalar'}"
"Camí del Bovalar"	"Camí del Bovalar"							"way"	"236360326"		"{'highway': 'service', 'mtb:scale': '0', 'name': 'Camí del Bovalar'}"
"Camí del Bovalar"	"Camí del Bovalar"							"way"	"262430552"		"{'highway': 'service', 'name': 'Camí del Bovalar'}"
"Camí del Bovalar"	"Camí del Bovalar"							"way"	"236360500"		"{'highway': 'service', 'name': 'Camí del Bovalar'}"
"Camí del Flare"	"Camí del Flare"							"way"	"751250817"		"{'highway': 'residential', 'name': 'Camí del Flare'}"
"Camí del Morgoig"	"Camí del Morgoig"							"way"	"185696663"		"{'highway': 'track', 'incline': 'down', 'mtb:scale': '0', 'mtb:scale:uphill': '1', 'name': 'Camí del Morgoig', 'sac_scale': 'hiking'}"
"Camí Gulapdar"	"Camí Gulapdar"							"way"	"172039029"		"{'highway': 'residential', 'name': 'Camí Gulapdar', 'oneway': 'no'}"
"Camí Gulapdar"	"Camí Gulapdar"							"way"	"676820644"		"{'highway': 'residential', 'name': 'Camí Gulapdar', 'oneway': 'yes'}"
"Camí Runar"	"Camí Runar"							"way"	"172038994"		"{'highway': 'residential', 'name': 'Camí Runar'}"
"Camí Runar"	"Camí Runar"							"way"	"172039162"		"{'highway': 'residential', 'name': 'Camí Runar'}"
"Carrer Aitana"	"Carrer Aitana"							"way"	"172039001"		"{'highway': 'tertiary', 'name': 'Carrer Aitana', 'surface': 'asphalt'}"
"Carrer Aitana"	"Carrer Aitana"							"way"	"243589036"		"{'highway': 'tertiary', 'name': 'Carrer Aitana', 'surface': 'asphalt'}"
"Carrer Aitana"	"Carrer Aitana"							"way"	"648577671"		"{'highway': 'tertiary', 'name': 'Carrer Aitana', 'surface': 'asphalt'}"
"Carrer Alacant"	"Carrer Alacant"							"way"	"172039170"		"{'highway': 'residential', 'name': 'Carrer Alacant'}"
"Carrer Alexandria"	"Carrer Alexandria"							"way"	"942687679"		"{'highway': 'construction', 'name': 'Carrer Alexandria'}"
"Carrer Alférez Navarro"	"Carrer Alférez Navarro"							"way"	"444013779"		"{'highway': 'living_street', 'name': 'Carrer Alférez Navarro'}"
"Carrer Algesires"	"Carrer Algesires"							"way"	"185760841"		"{'highway': 'residential', 'name': 'Carrer Algesires'}"
"Carrer Almería"	"Carrer Almería"							"way"	"185667025"		"{'highway': 'residential', 'name': 'Carrer Almería', 'oneway': 'yes'}"
"Carrer Almonte"	"Carrer Almonte"							"way"	"185760859"		"{'highway': 'residential', 'name': 'Carrer Almonte'}"
"Carrer Amsterdam"	"Carrer Amsterdam"							"way"	"185665767"		"{'highway': 'residential', 'name': 'Carrer Amsterdam'}"
"Carrer Amsterdam"	"Carrer Amsterdam"							"way"	"977994675"		"{'highway': 'residential', 'name': 'Carrer Amsterdam'}"
"Carrer Amsterdam"	"Carrer Amsterdam"							"way"	"977994676"		"{'highway': 'residential', 'name': 'Carrer Amsterdam'}"
"Carrer Anvers"	"Carrer Anvers"							"way"	"185665779"		"{'highway': 'residential', 'name': 'Carrer Anvers', 'oneway': 'yes'}"
"Carrer Anzio"	"Carrer Anzio"							"way"	"751246210"		"{'highway': 'residential', 'name': 'Carrer Anzio'}"
"Carrer Àvila"	"Carrer Àvila"							"way"	"942687659"		"{'highway': 'construction', 'name': 'Carrer Àvila'}"
"Carrer Baiona"	"Carrer Baiona"							"way"	"942687674"		"{'highway': 'construction', 'name': 'Carrer Baiona'}"
"Carrer Barcelona"	"Carrer Barcelona"							"way"	"560485718"		"{'highway': 'construction', 'name': 'Carrer Barcelona'}"
"Carrer Bari"	"Carrer Bari"							"way"	"942687693"		"{'highway': 'pedestrian', 'name': 'Carrer Bari'}"
"Carrer Becquer"	"Carrer Becquer"							"way"	"172039135"		"{'highway': 'residential', 'name': 'Carrer Becquer', 'oneway': 'yes'}"
"Carrer Bernia"	"Carrer Bernia"							"way"	"185804633"		"{'highway': 'residential', 'name': 'Carrer Bernia'}"
"Carrer Bogotà"	"Carrer Bogotà"							"way"	"942687678"		"{'highway': 'construction', 'name': 'Carrer Bogotà'}"
"Carrer Bordeus"	"Carrer Bordeus"							"way"	"942687673"		"{'highway': 'construction', 'name': 'Carrer Bordeus'}"
"Carrer Breda"	"Carrer Breda"							"way"	"648571701"		"{'highway': 'residential', 'name': 'Carrer Breda', 'oneway': 'yes'}"
"Carrer Bruges"	"Carrer Bruges"							"way"	"185665768"		"{'highway': 'residential', 'name': 'Carrer Bruges', 'oneway': 'yes'}"
"Carrer Brussel·les"	"Carrer Brussel·les"							"way"	"942687690"		"{'highway': 'residential', 'name': 'Carrer Brussel·les', 'oneway': 'yes'}"
"Carrer Burgos"	"Carrer Burgos"							"way"	"942687662"		"{'highway': 'construction', 'name': 'Carrer Burgos'}"
"Carrer Cadis"	"Carrer Cadis"							"way"	"942687692"		"{'highway': 'residential', 'name': 'Carrer Cadis'}"
"Carrer Capri"	"Carrer Capri"							"way"	"185645770"		"{'highway': 'residential', 'name': 'Carrer Capri'}"
"Carrer Capri"	"Carrer Capri"							"way"	"185665766"		"{'highway': 'residential', 'name': 'Carrer Capri'}"
"Carrer Casablanca"	"Carrer Casablanca"							"way"	"942687686"		"{'highway': 'construction', 'name': 'Carrer Casablanca'}"
"Carrer Castelló"	"Carrer Castelló"							"way"	"172039073"		"{'highway': 'residential', 'name': 'Carrer Castelló'}"
"Carrer Ciutat del Cap"	"Carrer Ciutat del Cap"							"way"	"942687676"		"{'highway': 'construction', 'name': 'Carrer Ciutat del Cap'}"
"Carrer Córdoba"	"Carrer Córdoba"							"way"	"751246217"		"{'highway': 'residential', 'name': 'Carrer Córdoba'}"
"Carrer Córdoba"	"Carrer Córdoba"							"way"	"751246214"		"{'highway': 'residential', 'name': 'Carrer Córdoba'}"
"Carrer d'Alcoi"	"Carrer d'Alcoi"							"way"	"172258030"		"{'highway': 'residential', 'name': \"Carrer d'Alcoi\"}"
"Carrer de Baix"	"Carrer de Baix"							"way"	"172258037"		"{'highway': 'residential', 'name': 'Carrer de Baix'}"
"Carrer de Braçalet"	"Carrer de Braçalet"							"way"	"977994665"		"{'highway': 'residential', 'name': 'Carrer de Braçalet'}"
"Carrer de Braçalet"	"Carrer de Braçalet"							"way"	"751262051"		"{'highway': 'residential', 'name': 'Carrer de Braçalet'}"
"Carrer de Braçalet"	"Carrer de Braçalet"							"way"	"172039045"		"{'highway': 'residential', 'name': 'Carrer de Braçalet'}"
"Carrer de Braçalet"	"Carrer de Braçalet"							"way"	"751262052"		"{'highway': 'residential', 'name': 'Carrer de Braçalet', 'oneway': 'yes'}"
"Carrer de Braçalet"	"Carrer de Braçalet"							"way"	"484971690"		"{'highway': 'residential', 'name': 'Carrer de Braçalet', 'oneway': 'yes'}"
"Carrer de l'Era"	"Carrer de l'Era"							"way"	"172039013"		"{'highway': 'residential', 'name': \"Carrer de l'Era\", 'oneway': 'yes'}"
"Carrer de l'Ermita"	"Carrer de l'Ermita"							"way"	"943606458"		"{'highway': 'residential', 'name': \"Carrer de l'Ermita\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Carrer de la Bomba"	"Carrer de la Bomba"							"way"	"444013785"		"{'highway': 'living_street', 'name': 'Carrer de la Bomba'}"
"Carrer de la Pau"	"Carrer de la Pau"							"way"	"751250816"		"{'highway': 'residential', 'name': 'Carrer de la Pau'}"
"Carrer de la Serreta"	"Carrer de la Serreta"							"way"	"172258035"		"{'highway': 'residential', 'lanes': '1', 'name': 'Carrer de la Serreta'}"
"Carrer de Luisa Vela"	"Carrer de Luisa Vela"							"way"	"172039088"		"{'highway': 'residential', 'name': 'Carrer de Luisa Vela', 'oneway': 'no'}"
"Carrer de Luisa Vela"	"Carrer de Luisa Vela"							"way"	"830439476"		"{'highway': 'pedestrian', 'name': 'Carrer de Luisa Vela'}"
"Carrer de Sant Antoni"	"Carrer de Sant Antoni"							"way"	"172258042"		"{'highway': 'residential', 'name': 'Carrer de Sant Antoni'}"
"Carrer del Campanar"	"Carrer del Campanar"							"way"	"444013783"		"{'drive_in': 'yes', 'highway': 'living_street', 'name': 'Carrer del Campanar'}"
"Carrer del Castell"	"Carrer del Castell"							"way"	"444013792"		"{'drive_in': 'no', 'highway': 'living_street', 'name': 'Carrer del Castell'}"
"Carrer del Forn"	"Carrer del Forn"							"way"	"444013793"		"{'highway': 'living_street', 'name': 'Carrer del Forn'}"
"Carrer del Forn"	"Carrer del Forn"							"way"	"444013778"		"{'highway': 'living_street', 'name': 'Carrer del Forn'}"
