"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda del País Valencià"	"Avinguda del País Valencià"							"way"	" 197908050"		"{'highway': 'residential', 'name': 'Avinguda del País Valencià'}"
"Avinguda del País Valencià"	"Avinguda del País Valencià"							"way"	" 456214455"		"{'highway': 'service', 'name': 'Avinguda del País Valencià'}"
"Camí de Benasau a Quatretondeta"	"Camí de Benasau a Quatretondeta"							"way"	" 243958843"		"{'highway': 'unclassified', 'name': 'Camí de Benasau a Quatretondeta'}"
"Camí de Costurera"	"Camí de Costurera"							"way"	" 411721703"		"{'highway': 'unclassified', 'name': 'Camí de Costurera', 'tracktype': 'grade1'}"
"Camí de la Font Roja"	"Camí de la Font Roja"	"Camí de les Foietes"	"Camí de les Foietes"					"way"	" 172612632"		"{'alt_name': 'Camí de les Foietes', 'highway': 'track', 'name': 'Camí de la Font Roja', 'surface': 'ground', 'tracktype': 'grade3'}"
"Camí de la Font Roja"	"Camí de la Font Roja"	"Camí de les Foietes"	"Camí de les Foietes"					"way"	" 724159866"		"{'alt_name': 'Camí de les Foietes', 'highway': 'track', 'name': 'Camí de la Font Roja', 'tracktype': 'grade2'}"
"Camí de la Font Roja"	"Camí de la Font Roja"	"Camí de les Foietes"	"Camí de les Foietes"					"way"	" 172614745"		"{'alt_name': 'Camí de les Foietes', 'highway': 'service', 'name': 'Camí de la Font Roja'}"
"Camí de la Font Roja"	"Camí de la Font Roja"							"way"	" 724159864"		"{'highway': 'service', 'name': 'Camí de la Font Roja'}"
"Camí de Serrella"	"Camí de Serrella"							"way"	" 249243985"		"{'highway': 'track', 'name': 'Camí de Serrella', 'tracktype': 'grade2'}"
"Camí de Serrella"	"Camí de Serrella"							"way"	" 204615723"		"{'highway': 'track', 'name': 'Camí de Serrella', 'tracktype': 'grade2'}"
"Camí de Serrella"	"Camí de Serrella"							"way"	" 724159870"		"{'highway': 'track', 'name': 'Camí de Serrella', 'tracktype': 'grade2'}"
"Camí de Serrella"	"Camí de Serrella"							"way"	" 888290468"		"{'highway': 'track', 'name': 'Camí de Serrella', 'surface': 'compacted', 'tracktype': 'grade2'}"
"Camí de Serrella"	"Camí de Serrella"							"way"	" 892642344"		"{'highway': 'track', 'name': 'Camí de Serrella', 'surface': 'compacted', 'tracktype': 'grade2'}"
"Camí dels Carrascals"	"Camí dels Carrascals"							"way"	" 250506799"		"{'highway': 'track', 'name': 'Camí dels Carrascals', 'tracktype': 'grade2'}"
"Camí dels Carrascals"	"Camí dels Carrascals"							"way"	" 172611402"		"{'highway': 'track', 'name': 'Camí dels Carrascals', 'tracktype': 'grade2'}"
"Camí dels Carrascals"	"Camí dels Carrascals"							"way"	" 172611635"		"{'highway': 'track', 'name': 'Camí dels Carrascals', 'tracktype': 'grade3'}"
"Camí dels Carrascals"	"Camí dels Carrascals"							"way"	"1028530590"		"{'highway': 'track', 'name': 'Camí dels Carrascals', 'tracktype': 'grade2'}"
"Carrer de Na Matilde"	"Carrer de Na Matilde"							"way"	" 887801456"		"{'highway': 'residential', 'name': 'Carrer de Na Matilde'}"
"Carrer de Na Matilde"	"Carrer de Na Matilde"							"way"	" 197908049"		"{'highway': 'residential', 'name': 'Carrer de Na Matilde'}"
"Carrer Na Matilde"	"Carrer Na Matilde"							"way"	" 197905257"	"name:es=Calle Doña Matilde"	"{'highway': 'residential', 'name': 'Carrer Na Matilde', 'name:es': 'Calle Doña Matilde'}"
"Carrer Sant Blai"	"Carrer Sant Blai"							"way"	" 887801455"		"{'highway': 'residential', 'name': 'Carrer Sant Blai'}"
"Carrer Sant Blai"	"Carrer Sant Blai"							"way"	" 197908051"		"{'highway': 'steps', 'incline': 'down', 'name': 'Carrer Sant Blai'}"
"Carrer Sant Blai"	"Carrer Sant Blai"							"way"	" 197908045"		"{'highway': 'residential', 'name': 'Carrer Sant Blai'}"
"Carrer Sant Blai"	"Carrer Sant Blai"							"way"	" 245794088"		"{'highway': 'steps', 'incline': 'down', 'name': 'Carrer Sant Blai'}"
"Carrer Sant Blai"	"Carrer Sant Blai"							"way"	" 456214462"		"{'highway': 'residential', 'name': 'Carrer Sant Blai'}"
"Carrer Sant Blai"	"Carrer Sant Blai"							"way"	" 456212431"		"{'highway': 'residential', 'name': 'Carrer Sant Blai'}"
"Carrer Sant Blai"	"Carrer Sant Blai"							"way"	"1028530594"		"{'highway': 'service', 'name': 'Carrer Sant Blai'}"
"Carrer Trinquet"	"Carrer Trinquet"							"way"	" 245975624"		"{'highway': 'residential', 'name': 'Carrer Trinquet'}"
"Carrer Trinquet"	"Carrer Trinquet"							"way"	" 245975626"		"{'highway': 'steps', 'incline': 'up', 'name': 'Carrer Trinquet'}"
"Carrer Trinquet"	"Carrer Trinquet"							"way"	" 197905255"		"{'highway': 'residential', 'name': 'Carrer Trinquet'}"
"Carrer Trinquet"	"Carrer Trinquet"							"way"	" 245794093"		"{'highway': 'service', 'name': 'Carrer Trinquet'}"
"Plaça del Rector en Antoni Llidó i Mengual"	"Plaça del Rector en Antoni Llidó i Mengual"							"way"	"1028530596"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaça del Rector en Antoni Llidó i Mengual', 'place': 'square'}"
