"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Barranc de Barber"	"Barranc de Barber"							"way"	"216581054"		"{'intermittent': 'yes', 'name': 'Barranc de Barber', 'waterway': 'stream'}"
"Barranc de l'Os"	"Barranc de l'Os"							"way"	"752139716"		"{'intermittent': 'yes', 'name': \"Barranc de l'Os\", 'waterway': 'stream'}"
"Barranc de la Font"	"Barranc de la Font"							"way"	"1030972001"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Barranc de la Font', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc de la Font"	"Barranc de la Font"							"way"	"752141377"		"{'intermittent': 'yes', 'name': 'Barranc de la Font', 'waterway': 'stream'}"
"Barranc de la Font"	"Barranc de la Font"							"way"	"364456834"		"{'intermittent': 'yes', 'name': 'Barranc de la Font', 'waterway': 'stream'}"
"Barranc de la Font"	"Barranc de la Font"							"way"	"364534773"		"{'intermittent': 'yes', 'name': 'Barranc de la Font', 'waterway': 'stream'}"
"Barranc del Cocó"	"Barranc del Cocó"							"way"	"384612596"		"{'intermittent': 'yes', 'name': 'Barranc del Cocó', 'waterway': 'stream'}"
"Barranc del Fondo"	"Barranc del Fondo"							"way"	"1031828020"		"{'intermittent': 'yes', 'name': 'Barranc del Fondo', 'waterway': 'stream'}"
"Barranc del Regall"	"Barranc del Regall"							"way"	"938608414"		"{'intermittent': 'yes', 'name': 'Barranc del Regall', 'waterway': 'stream'}"
"Tossal dels Caragols"	"Tossal dels Caragols"							"node"	"8695312402"		"{'name': 'Tossal dels Caragols', 'place': 'locality'}"
