"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Barranc de Bota"	"Barranc de Bota"							"way"	"80681409"		"{'layer': '-1', 'name': 'Barranc de Bota', 'waterway': 'river'}"
"Barranc de la Bota"	"Barranc de la Bota"							"node"	"944852811"		"{'name': 'Barranc de la Bota', 'place': 'locality'}"
"Barranc de les Canyes"	"Barranc de les Canyes"							"way"	"755325567"		"{'layer': '-1', 'name': 'Barranc de les Canyes', 'tunnel': 'culvert', 'waterway': 'river'}"
"Barranc de les Canyes"	"Barranc de les Canyes"							"way"	"755325568"		"{'layer': '-1', 'name': 'Barranc de les Canyes', 'waterway': 'river'}"
"Barranc de les Canyes"	"Barranc de les Canyes"							"way"	"755325566"		"{'layer': '-1', 'name': 'Barranc de les Canyes', 'waterway': 'river'}"
"Barranc de les Canyes"	"Barranc de les Canyes"							"way"	"80682455"		"{'layer': '-1', 'name': 'Barranc de les Canyes', 'waterway': 'river'}"
"Barranc de les Canyes"	"Barranc de les Canyes"							"way"	"755325565"		"{'layer': '-1', 'name': 'Barranc de les Canyes', 'tunnel': 'culvert', 'waterway': 'river'}"
"Barranc del Gallec-Salesians"	"Barranc del Gallec-Salesians"							"node"	"941312803"		"{'name': 'Barranc del Gallec-Salesians', 'place': 'locality'}"
"Barranc dels Gils"	"Barranc dels Gils"							"way"	"80682073"		"{'layer': '-1', 'name': 'Barranc dels Gils', 'waterway': 'river'}"
"Barranc dels Gils"	"Barranc dels Gils"							"way"	"755325542"		"{'layer': '-1', 'name': 'Barranc dels Gils', 'tunnel': 'culvert', 'waterway': 'river'}"
"Barranc dels Gils"	"Barranc dels Gils"							"way"	"755297345"		"{'layer': '-1', 'name': 'Barranc dels Gils', 'waterway': 'river'}"
"Barranc dels Gils"	"Barranc dels Gils"							"way"	"755325541"		"{'layer': '-1', 'name': 'Barranc dels Gils', 'waterway': 'river'}"
"Barranc dels Gils"	"Barranc dels Gils"							"way"	"755297344"		"{'layer': '-1', 'name': 'Barranc dels Gils', 'tunnel': 'culvert', 'waterway': 'river'}"
"Camp de futbol de l'Alter"	"Camp de futbol de l'Alter"							"way"	"266783394"	"name:es=Campo de fútbol del Alter"	"{'leisure': 'pitch', 'name': \"Camp de futbol de l'Alter\", 'name:es': 'Campo de fútbol del Alter', 'sport': 'soccer'}"
"Col·legi d'Educació Infantil i Primària Sant Pasqual"	"Col·legi d'Educació Infantil i Primària Sant Pasqual"							"way"	"483185028"	"short_name=CEIP Sant Pasqual"	"{'addr:city': 'Torrent', 'addr:housenumber': '149', 'addr:postcode': '46900', 'addr:street': 'Carrer del Pare Méndez', 'amenity': 'school', 'email': '46008728@edu.gva.es', 'fax': '+34 961552093', 'name': \"Col·legi d'Educació Infantil i Primària Sant Pasqual\", 'operator': \"Conselleria d'Educació, Investigació, Cultura i Esport\", 'phone': '+34 961205440', 'short_name': 'CEIP Sant Pasqual'}"
"Col·legi El Vedat"	"Col·legi El Vedat"							"relation"	"8132250"		"{'name': 'Col·legi El Vedat', 'public_transport': 'stop_area', 'type': 'public_transport'}"
"Col·legi El Vedat"	"Col·legi El Vedat"							"node"	"3361694307"		"{'name': 'Col·legi El Vedat', 'public_transport': 'station', 'railway': 'station', 'station': 'subway', 'subway': 'yes'}"
"Col·legi El Vedat"	"Col·legi El Vedat"							"node"	"287082480"		"{'name': 'Col·legi El Vedat', 'public_transport': 'stop_position', 'railway': 'stop', 'subway': 'yes'}"
"Escola El Drac"	"Escola El Drac"							"way"	"481690545"		"{'addr:city': 'Torrent', 'addr:housenumber': '21-23', 'addr:postcode': '46901', 'addr:street': 'Carrer de Méndez Núñez', 'amenity': 'school', 'fax': '+34 961 13 51 41', 'name': 'Escola El Drac', 'operator': 'El Drac Sociedad Cooperativa', 'phone': '+34 961 55 96 64', 'website': 'http://www.escolaeldrac.com'}"
"Tossal de Barret"	"Tossal de Barret"							"node"	"944857475"		"{'name': 'Tossal de Barret', 'place': 'locality'}"
