"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Mas de Boix"	"Mas de Boix"							"way"	" 163810806"		"{'building': 'yes', 'name': 'Mas de Boix'}"
"Mas de Cabeço"	"Mas de Cabeço"							"way"	"1103527831"		"{'building': 'ruins', 'name': 'Mas de Cabeço'}"
"Mas de Costa"	"Mas de Costa"							"way"	"1103527827"		"{'building': 'ruins', 'name': 'Mas de Costa'}"
"Mas de Fonollosa"	"Mas de Fonollosa"							"way"	"1103527832"		"{'building': 'ruins', 'name': 'Mas de Fonollosa'}"
"Mas de l'Era de Sant Domingo"	"Mas de l'Era de Sant Domingo"							"way"	"1081385696"		"{'building': 'yes', 'name': \"Mas de l'Era de Sant Domingo\"}"
"Mas de l'Escala"	"Mas de l'Escala"							"way"	" 163810803"		"{'building': 'yes', 'name': \"Mas de l'Escala\"}"
"Mas de la Borja"	"Mas de la Borja"							"node"	"9142974758"		"{'name': 'Mas de la Borja', 'place': 'isolated_dwelling'}"
"Mas de la Caseta"	"Mas de la Caseta"							"way"	" 163810804"		"{'abandoned:building': 'yes', 'area': 'yes', 'name': 'Mas de la Caseta'}"
"Mas de la Clapissa"	"Mas de la Clapissa"							"way"	" 636366970"		"{'building': 'yes', 'name': 'Mas de la Clapissa'}"
"Mas de la Joquera"	"Mas de la Joquera"							"way"	"1081390870"		"{'building': 'ruins', 'name': 'Mas de la Joquera'}"
"Mas de la Joquereta"	"Mas de la Joquereta"							"way"	"1081390866"		"{'building': 'yes', 'name': 'Mas de la Joquereta'}"
"Mas de la Llosa"	"Mas de la Llosa"							"way"	" 989721847"		"{'building': 'house', 'name': 'Mas de la Llosa'}"
"Mas de la Llosa"	"Mas de la Llosa"							"way"	" 989721848"		"{'building': 'house', 'name': 'Mas de la Llosa'}"
"Mas de la Solà"	"Mas de la Solà"							"way"	"1103527825"		"{'building': 'ruins', 'name': 'Mas de la Solà'}"
"Mas de la Torreta"	"Mas de la Torreta"							"way"	"1081555983"		"{'building': 'detached', 'name': 'Mas de la Torreta'}"
"Mas de les Argiles"	"Mas de les Argiles"							"way"	" 934796932"		"{'building': 'detached', 'name': 'Mas de les Argiles'}"
"Mas de les Dogues"	"Mas de les Dogues"							"way"	" 934796927"		"{'abandoned:building': 'yes', 'name': 'Mas de les Dogues'}"
"Mas de les Pruneres"	"Mas de les Pruneres"							"node"	"9067812652"		"{'name': 'Mas de les Pruneres', 'place': 'isolated_dwelling'}"
"Mas de les Saleres"	"Mas de les Saleres"							"way"	" 980234577"		"{'abandoned:building': 'yes', 'name': 'Mas de les Saleres'}"
"Mas de les Vives"	"Mas de les Vives"							"way"	"1081390860"		"{'building': 'ruins', 'name': 'Mas de les Vives'}"
"Mas de Miquel"	"Mas de Miquel"							"way"	"1081385689"		"{'building': 'detached', 'name': 'Mas de Miquel'}"
"Mas de Pasqualet"	"Mas de Pasqualet"							"way"	"1103527824"		"{'building': 'ruins', 'name': 'Mas de Pasqualet'}"
"Mas de Pau"	"Mas de Pau"							"way"	"1081385700"		"{'building': 'detached', 'name': 'Mas de Pau'}"
"Mas de Prades"	"Mas de Prades"							"node"	"9067812718"		"{'name': 'Mas de Prades', 'place': 'isolated_dwelling'}"
"Mas de Santa Àgueda"	"Mas de Santa Àgueda"							"way"	"1092981553"		"{'building': 'detached', 'name': 'Mas de Santa Àgueda'}"
"Mas de Susana"	"Mas de Susana"							"way"	" 934433799"		"{'building': 'yes', 'name': 'Mas de Susana'}"
"Mas de Tabola"	"Mas de Tabola"							"way"	"1103527822"		"{'building': 'yes', 'name': 'Mas de Tabola'}"
"Mas de Tena"	"Mas de Tena"							"way"	"1103527821"		"{'building': 'ruins', 'name': 'Mas de Tena'}"
"Mas del Bosc"	"Mas del Bosc"							"way"	"1081390856"		"{'building': 'yes', 'name': 'Mas del Bosc'}"
"Mas del Clot"	"Mas del Clot"							"way"	" 934796909"		"{'abandoned:building': 'yes', 'name': 'Mas del Clot'}"
"Mas del Grau"	"Mas del Grau"							"way"	" 163964890"		"{'building': 'yes', 'name': 'Mas del Grau'}"
"Mas Ferrer Dalt"	"Mas Ferrer Dalt"							"way"	"1103527826"		"{'building': 'ruins', 'name': 'Mas Ferrer Dalt'}"
"Mas nou"	"Mas nou"							"way"	"1103527823"		"{'building': 'ruins', 'name': 'Mas nou'}"
"Mas Roig"	"Mas Roig"							"node"	"6039799230"		"{'name': 'Mas Roig', 'place': 'isolated_dwelling'}"
