"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de la Bassa de les Oronetes al Mas d'Apol·linari"	"Camí de la Bassa de les Oronetes al Mas d'Apol·linari"							"way"	" 135906188"		"{'highway': 'track', 'name': \"Camí de la Bassa de les Oronetes al Mas d'Apol·linari\", 'tracktype': 'grade2'}"
"Camí de la Penella"	"Camí de la Penella"							"way"	" 823249350"		"{'highway': 'track', 'name': 'Camí de la Penella', 'surface': 'unpaved', 'tracktype': 'grade3'}"
"Camí de les Clotxes"	"Camí de les Clotxes"							"way"	" 201781382"		"{'highway': 'track', 'name': 'Camí de les Clotxes', 'surface': 'asphalt', 'tracktype': 'grade1'}"
"Camí de les Clotxes"	"Camí de les Clotxes"							"way"	" 201781376"		"{'highway': 'track', 'name': 'Camí de les Clotxes', 'tracktype': 'grade1'}"
"Camí de les Clotxes"	"Camí de les Clotxes"							"way"	" 201781375"		"{'highway': 'residential', 'lanes': '2', 'name': 'Camí de les Clotxes', 'oneway': 'no', 'sidewalk': 'both'}"
"Camí de Mollet"	"Camí de Mollet"							"way"	" 135906114"		"{'highway': 'track', 'name': 'Camí de Mollet', 'surface': 'ground', 'tracktype': 'grade1'}"
"Camí de Vilafamés a Cabanes"	"Camí de Vilafamés a Cabanes"							"way"	" 209247322"		"{'highway': 'unclassified', 'name': 'Camí de Vilafamés a Cabanes', 'oneway': 'no'}"
"Camí dels Estrets"	"Camí dels Estrets"							"way"	" 279382430"		"{'highway': 'track', 'name': 'Camí dels Estrets', 'surface': 'asphalt', 'tracktype': 'grade1'}"
"Camí dels Estrets"	"Camí dels Estrets"							"way"	" 279382457"		"{'highway': 'track', 'name': 'Camí dels Estrets', 'tracktype': 'grade2'}"
"Camí Real"	"Camí Real"							"way"	" 279382439"		"{'highway': 'track', 'name': 'Camí Real', 'tracktype': 'grade2'}"
"Camí Real"	"Camí Real"							"way"	" 279382456"		"{'highway': 'track', 'name': 'Camí Real', 'tracktype': 'grade2'}"
"Camí Real"	"Camí Real"							"way"	" 279382420"		"{'highway': 'track', 'name': 'Camí Real', 'tracktype': 'grade3'}"
"Camí Real de l'Alcora a Vilafamés"	"Camí Real de l'Alcora a Vilafamés"							"way"	" 436201710"		"{'highway': 'track', 'name': \"Camí Real de l'Alcora a Vilafamés\"}"
"Camí Real de l'Alcora a Vilafamés"	"Camí Real de l'Alcora a Vilafamés"							"way"	" 244105503"		"{'highway': 'unclassified', 'name': \"Camí Real de l'Alcora a Vilafamés\"}"
"Camí Real de l'Alcora a Vilafamés"	"Camí Real de l'Alcora a Vilafamés"							"way"	" 135906201"		"{'highway': 'track', 'name': \"Camí Real de l'Alcora a Vilafamés\", 'tracktype': 'grade2'}"
"Camí Real de l'Alcora a Vilafamés"	"Camí Real de l'Alcora a Vilafamés"							"way"	" 135906240"		"{'highway': 'track', 'name': \"Camí Real de l'Alcora a Vilafamés\", 'tracktype': 'grade2'}"
"Carrer Colsets"	"Carrer Colsets"							"way"	"  84958687"		"{'highway': 'residential', 'name': 'Carrer Colsets', 'oneway': 'no'}"
"Carrer de Colón"	"Carrer de Colón"							"way"	" 463102323"		"{'highway': 'living_street', 'name': 'Carrer de Colón', 'oneway': 'no'}"
"Carrer de la Font d'En Jana"	"Carrer de la Font d'En Jana"							"way"	" 420060302"		"{'highway': 'living_street', 'name': \"Carrer de la Font d'En Jana\", 'oneway': 'no'}"
"Carrer de la Sang"	"Carrer de la Sang"							"way"	" 463102290"		"{'highway': 'living_street', 'name': 'Carrer de la Sang', 'oneway': 'no'}"
"Carrer de la Sang"	"Carrer de la Sang"							"way"	"1102932756"		"{'highway': 'steps', 'name': 'Carrer de la Sang', 'oneway': 'no'}"
"Carrer del Pintor Cantalapiedra"	"Carrer del Pintor Cantalapiedra"							"way"	" 463102324"		"{'highway': 'residential', 'junction': 'roundabout', 'name': 'Carrer del Pintor Cantalapiedra', 'surface': 'compacted', 'width': '5'}"
