"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"passatge del Cardenal Vicente Enrique Tarancón"	"passatge del Cardenal Vicente Enrique Tarancón"							"way"	"202203000"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'passatge del Cardenal Vicente Enrique Tarancón'}"
"Passatge del Doctor Santos"	"Passatge del Doctor Santos"							"way"	"202202962"		"{'highway': 'residential', 'name': 'Passatge del Doctor Santos', 'source': 'PNOA;Catastro'}"
"passeig de Blasco Ibáñez"	"passeig de Blasco Ibáñez"							"way"	"538570470"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'passeig de Blasco Ibáñez'}"
"passeig de Blasco Ibáñez"	"passeig de Blasco Ibáñez"							"way"	"521924500"		"{'highway': 'living_street', 'name': 'passeig de Blasco Ibáñez', 'oneway': 'no', 'surface': 'paved'}"
"passeig de Colom"	"passeig de Colom"							"way"	"219441687"		"{'bicycle': 'designated', 'highway': 'living_street', 'maxspeed': '20', 'name': 'passeig de Colom', 'oneway': 'no', 'surface': 'paved'}"
"passeig de Colom"	"passeig de Colom"							"way"	"538570471"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'passeig de Colom'}"
"Passeig de Jaume I"	"Passeig de Jaume I"							"way"	" 33095765"		"{'highway': 'residential', 'name': 'Passeig de Jaume I', 'oneway': 'yes'}"
"Passeig de Jaume I"	"Passeig de Jaume I"							"way"	"202203002"		"{'highway': 'residential', 'name': 'Passeig de Jaume I', 'oneway': 'yes'}"
"passeig de Juan Ribera"	"passeig de Juan Ribera"							"way"	" 33094222"		"{'highway': 'residential', 'name': 'passeig de Juan Ribera'}"
"passeig de Sant Pere"	"passeig de Sant Pere"							"way"	"538570472"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'passeig de Sant Pere'}"
"Passeig Fora del Forat"	"Passeig Fora del Forat"							"way"	"202203004"		"{'highway': 'residential', 'name': 'Passeig Fora del Forat', 'oneway': 'no'}"
