"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Xodos"	"Ajuntament de Xodos"							"node"	" 537765344"	"name:es=Ayuntamiento de Chodos/Xodos"	"{'amenity': 'townhall', 'name': 'Ajuntament de Xodos', 'name:es': 'Ayuntamiento de Chodos/Xodos'}"
"Ajuntament de Xodos"	"Ajuntament de Xodos"							"way"	" 733973746"		"{'building': 'yes', 'name': 'Ajuntament de Xodos'}"
"Mas d'Aicart de Dalt"	"Mas d'Aicart de Dalt"							"way"	" 742297606"		"{'building': 'yes', 'name': \"Mas d'Aicart de Dalt\"}"
"Mas d'Arminyà"	"Mas d'Arminyà"							"node"	"1243277840"		"{'name': \"Mas d'Arminyà\", 'place': 'locality'}"
"Mas d'Otrelles"	"Mas d'Otrelles"							"way"	" 739168766"		"{'abandoned:building': 'yes', 'historic': 'ruins', 'name': \"Mas d'Otrelles\"}"
"Mas de Baix la Roca"	"Mas de Baix la Roca"							"way"	" 734878195"		"{'building': 'yes', 'name': 'Mas de Baix la Roca'}"
"Mas de Barranc"	"Mas de Barranc"							"way"	" 739157175"		"{'building': 'house', 'name': 'Mas de Barranc'}"
"Mas de Blau"	"Mas de Blau"							"way"	" 739157172"		"{'building': 'house', 'name': 'Mas de Blau'}"
"Mas de Caixó"	"Mas de Caixó"							"way"	" 739157182"		"{'building': 'house', 'name': 'Mas de Caixó'}"
"Mas de Cotna"	"Mas de Cotna"							"way"	" 742297602"		"{'building': 'yes', 'name': 'Mas de Cotna'}"
"Mas de Gargant"	"Mas de Gargant"							"node"	"8264065861"		"{'name': 'Mas de Gargant', 'place': 'isolated_dwelling'}"
"Mas de Griva"	"Mas de Griva"							"way"	" 739157180"		"{'building': 'house', 'name': 'Mas de Griva'}"
"Mas de Joan del Molí"	"Mas de Joan del Molí"							"way"	" 739067071"		"{'building': 'house', 'name': 'Mas de Joan del Molí'}"
"Mas de l'Estepar"	"Mas de l'Estepar"							"way"	" 739649192"		"{'building': 'house', 'name': \"Mas de l'Estepar\"}"
"Mas de l'Ombria"	"Mas de l'Ombria"							"way"	" 742302305"		"{'building': 'yes', 'name': \"Mas de l'Ombria\"}"
"Mas de la Canaleja"	"Mas de la Canaleja"							"way"	" 739186764"		"{'building': 'house', 'name': 'Mas de la Canaleja'}"
"Mas de la Carrasca"	"Mas de la Carrasca"							"way"	" 846197464"		"{'building': 'house', 'name': 'Mas de la Carrasca'}"
"Mas de la Carrascosa"	"Mas de la Carrascosa"							"way"	" 739168767"		"{'building': 'house', 'name': 'Mas de la Carrascosa'}"
"Mas de la Font"	"Mas de la Font"							"way"	" 734878200"		"{'building': 'yes', 'name': 'Mas de la Font'}"
"Mas de la Fonteta"	"Mas de la Fonteta"							"way"	" 233534189"		"{'building': 'yes', 'name': 'Mas de la Fonteta'}"
"Mas de la Lloma"	"Mas de la Lloma"							"node"	"9408432974"		"{'name': 'Mas de la Lloma', 'place': 'isolated_dwelling'}"
"Mas de la Noguereta"	"Mas de la Noguereta"							"way"	" 395187636"		"{'building': 'house', 'name': 'Mas de la Noguereta'}"
"Mas de la Romera de Baix"	"Mas de la Romera de Baix"							"way"	" 739182000"		"{'building': 'house', 'name': 'Mas de la Romera de Baix'}"
"Mas de la Romera de Dalt"	"Mas de la Romera de Dalt"							"way"	" 739182002"		"{'building': 'house', 'name': 'Mas de la Romera de Dalt'}"
"Mas de la Solana"	"Mas de la Solana"							"way"	" 451118075"		"{'building': 'yes', 'name': 'Mas de la Solana'}"
"Mas de la Vega"	"Mas de la Vega"							"way"	" 486793639"		"{'building': 'yes', 'name': 'Mas de la Vega'}"
"Mas de les Calçades"	"Mas de les Calçades"							"node"	"1243273580"		"{'name': 'Mas de les Calçades', 'place': 'isolated_dwelling'}"
"Mas de les Penyes"	"Mas de les Penyes"							"way"	" 233534184"		"{'building': 'house', 'name': 'Mas de les Penyes'}"
"Mas de les Pomeres"	"Mas de les Pomeres"							"way"	" 235504155"		"{'building': 'yes', 'name': 'Mas de les Pomeres'}"
"Mas de les Roques Llises"	"Mas de les Roques Llises"							"node"	"9408433107"		"{'name': 'Mas de les Roques Llises', 'place': 'isolated_dwelling'}"
"Mas de Llamba"	"Mas de Llamba"							"way"	" 395187638"		"{'building': 'house', 'name': 'Mas de Llamba'}"
"Mas de Llamba de Baix"	"Mas de Llamba de Baix"							"way"	" 791397640"		"{'building': 'house', 'name': 'Mas de Llamba de Baix'}"
"Mas de Lluís"	"Mas de Lluís"							"way"	" 742302316"		"{'building': 'yes', 'name': 'Mas de Lluís'}"
