"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de Baix"	"Camí de Baix"							"way"	" 222665896"		"{'highway': 'residential', 'name': 'Camí de Baix'}"
"Camí la Mola"	"Camí la Mola"							"way"	" 222665829"		"{'highway': 'unclassified', 'name': 'Camí la Mola'}"
"Carrer Calvari"	"Carrer Calvari"							"way"	" 222665821"		"{'highway': 'residential', 'name': 'Carrer Calvari'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	" 208924171"		"{'highway': 'residential', 'name': 'Carrer Cervantes', 'oneway': 'yes'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	" 222665844"		"{'highway': 'residential', 'name': 'Carrer Cervantes', 'oneway': 'yes'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	" 208924182"		"{'highway': 'residential', 'name': 'Carrer Cervantes', 'oneway': 'no'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	"1108096999"		"{'highway': 'residential', 'name': 'Carrer Cervantes', 'oneway': 'yes'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	" 208924195"		"{'highway': 'residential', 'name': 'Carrer Cervantes', 'oneway': 'yes'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	" 208924188"		"{'highway': 'residential', 'name': 'Carrer Cervantes', 'oneway': 'yes'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	" 222665892"		"{'highway': 'residential', 'name': 'Carrer Cervantes'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	" 222665887"		"{'highway': 'service', 'name': 'Carrer Cervantes'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	" 208924166"		"{'highway': 'residential', 'name': 'Carrer Cervantes', 'oneway': 'yes'}"
"Carrer Major"	"Carrer Major"							"way"	" 222665815"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Major"	"Carrer Major"							"way"	" 222665863"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Major"	"Carrer Major"							"way"	" 222665856"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Mestre Ramis"	"Carrer Mestre Ramis"							"way"	" 222665869"		"{'highway': 'residential', 'name': 'Carrer Mestre Ramis'}"
"Carrer Mestre Serrano"	"Carrer Mestre Serrano"							"way"	" 222665820"		"{'highway': 'residential', 'name': 'Carrer Mestre Serrano'}"
"Carrer Poliesportiu"	"Carrer Poliesportiu"							"way"	" 222665827"		"{'highway': 'residential', 'name': 'Carrer Poliesportiu'}"
"Carrer Primer de Maig"	"Carrer Primer de Maig"							"way"	" 222665837"		"{'highway': 'residential', 'name': 'Carrer Primer de Maig'}"
"Carrer Sant Antoni"	"Carrer Sant Antoni"							"way"	" 222665872"		"{'highway': 'residential', 'name': 'Carrer Sant Antoni'}"
"Carrer Sant Antoni"	"Carrer Sant Antoni"							"way"	" 222665848"		"{'highway': 'residential', 'name': 'Carrer Sant Antoni'}"
"Carrer Sant Antoni"	"Carrer Sant Antoni"							"way"	" 222665891"		"{'highway': 'residential', 'name': 'Carrer Sant Antoni'}"
"Carrer Sant Cristòfol"	"Carrer Sant Cristòfol"							"way"	" 222665823"		"{'highway': 'residential', 'name': 'Carrer Sant Cristòfol'}"
"Carrer Sant Ramón"	"Carrer Sant Ramón"							"way"	" 222665840"		"{'highway': 'residential', 'name': 'Carrer Sant Ramón'}"
"Carrer Sant Ramón"	"Carrer Sant Ramón"							"way"	" 222665895"		"{'highway': 'residential', 'name': 'Carrer Sant Ramón'}"
"Carrer Sant Ramón"	"Carrer Sant Ramón"							"way"	" 222665850"		"{'highway': 'residential', 'name': 'Carrer Sant Ramón'}"
"Carrer Sant Ramón"	"Carrer Sant Ramón"							"way"	" 222665890"		"{'highway': 'residential', 'name': 'Carrer Sant Ramón'}"
"Carrer Santíssim Crist"	"Carrer Santíssim Crist"							"way"	" 222665842"		"{'highway': 'residential', 'name': 'Carrer Santíssim Crist'}"
