"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de la Constitucio"	"Avinguda de la Constitucio"							"way"	" 715686161"		"{'highway': 'residential', 'name': 'Avinguda de la Constitucio'}"
"Avinguda de la Constitucio"	"Avinguda de la Constitucio"							"way"	" 123230937"		"{'highway': 'service', 'name': 'Avinguda de la Constitucio', 'oneway': 'yes', 'service': 'alley'}"
"Avinguda de la Constitucio"	"Avinguda de la Constitucio"							"way"	" 123258470"		"{'highway': 'service', 'name': 'Avinguda de la Constitucio', 'service': 'alley'}"
"Avinguda de la Excel·lenticima Diputació"	"Avinguda de la Excel·lenticima Diputació"							"way"	" 123257502"		"{'highway': 'residential', 'name': 'Avinguda de la Excel·lenticima Diputació', 'oneway': 'yes'}"
"Avinguda de la Excel·lenticima Diputació"	"Avinguda de la Excel·lenticima Diputació"							"way"	" 205672051"		"{'highway': 'residential', 'name': 'Avinguda de la Excel·lenticima Diputació', 'oneway': 'yes'}"
"Avinguda de la Excel·lenticima Diputació"	"Avinguda de la Excel·lenticima Diputació"							"way"	" 123257504"		"{'highway': 'residential', 'name': 'Avinguda de la Excel·lenticima Diputació'}"
"Avinguda de la Saafor"	"Avinguda de la Saafor"							"way"	" 123230948"		"{'highway': 'residential', 'name': 'Avinguda de la Saafor'}"
"Camí d’Oliva"	"Camí d’Oliva"							"way"	" 123229404"		"{'highway': 'tertiary', 'maxspeed': '50', 'name': 'Camí d’Oliva', 'narrow': 'yes', 'ref': 'CV-683'}"
"Camí d’Oliva"	"Camí d’Oliva"							"way"	" 123257249"		"{'highway': 'tertiary', 'name': 'Camí d’Oliva', 'oneway': 'yes', 'ref': 'CV-683'}"
"Camí d’Oliva"	"Camí d’Oliva"							"way"	" 123232251"		"{'highway': 'tertiary', 'name': 'Camí d’Oliva', 'oneway': 'yes', 'ref': 'CV-683'}"
"Camí d’Oliva"	"Camí d’Oliva"							"way"	" 995418132"		"{'access': 'no', 'construction': 'tertiary', 'highway': 'construction', 'name': 'Camí d’Oliva', 'ref': 'CV-683'}"
"Camí d’Oliva"	"Camí d’Oliva"							"way"	"  58429710"		"{'highway': 'tertiary', 'name': 'Camí d’Oliva', 'narrow': 'yes', 'ref': 'CV-683'}"
"Camí d’Oliva"	"Camí d’Oliva"							"way"	" 123229405"		"{'highway': 'tertiary', 'layer': '-1', 'name': 'Camí d’Oliva'}"
"Camí Xàtiva"	"Camí Xàtiva"							"way"	" 627461828"		"{'highway': 'tertiary', 'name': 'Camí Xàtiva', 'oneway': 'yes'}"
