"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Coll de l'Àguila"	"Coll de l'Àguila"							"node"	"1243238803"		"{'name': \"Coll de l'Àguila\", 'natural': 'saddle', 'place': 'locality'}"
"coll de la Creu"	"coll de la Creu"							"node"	"8173226354"		"{'name': 'coll de la Creu', 'natural': 'saddle'}"
"Coll de les Eres"	"Coll de les Eres"							"node"	"1243240815"		"{'name': 'Coll de les Eres', 'place': 'locality'}"
"Coll del Curandero"	"Coll del Curandero"							"node"	"9066214700"		"{'name': 'Coll del Curandero', 'natural': 'saddle'}"
"Coll del Ferri"	"Coll del Ferri"							"node"	"8830180527"		"{'ele': '785', 'name': 'Coll del Ferri', 'natural': 'saddle'}"
"Font de l'Esparver"	"Font de l'Esparver"							"node"	"9067925972"		"{'name': \"Font de l'Esparver\", 'natural': 'spring'}"
"Font de l'Ombria"	"Font de l'Ombria"							"node"	"9081145757"		"{'name': \"Font de l'Ombria\", 'natural': 'spring'}"
"Font de la Ballestera"	"Font de la Ballestera"							"node"	"8173258685"		"{'name': 'Font de la Ballestera', 'natural': 'spring'}"
"Font de la Canaleta"	"Font de la Canaleta"							"node"	"9065927944"		"{'name': 'Font de la Canaleta', 'natural': 'spring'}"
"Font de la Saltadora"	"Font de la Saltadora"							"node"	"9589564520"		"{'intermittent': 'yes', 'name': 'Font de la Saltadora', 'natural': 'spring'}"
"Font de la Saltadora"	"Font de la Saltadora"							"node"	"9686716271"		"{'description': '8-254-Font Saltadora', 'name': 'Font de la Saltadora', 'natural': 'spring', 'note': '8-254-Font Saltadora', 'seasonal': 'yes'}"
"Font de Pallerols"	"Font de Pallerols"							"node"	"9590152256"		"{'amenity': 'drinking_water', 'name': 'Font de Pallerols'}"
"Font de Sant Pere"	"Font de Sant Pere"							"node"	"4907274786"		"{'amenity': 'restaurant', 'cuisine': 'regional', 'email': 'info@fontdesantpere.com', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'name': 'Font de Sant Pere', 'opening_hours': 'Mo-Su 13:00-16:00; Tu off; Fr,Sa 13:00-23:00', 'outdoor_seating': 'yes', 'phone': '+34977575551', 'website': 'http://www.fontdesantpere.com/', 'wheelchair': 'yes'}"
"Font del Bassiol"	"Font del Bassiol"	"Font Freda"	"Font Freda"					"node"	"8665700375"		"{'alt_name': 'Font Freda', 'amenity': 'drinking_water', 'name': 'Font del Bassiol'}"
"Font del Catxo"	"Font del Catxo"							"node"	"9083729681"		"{'name': 'Font del Catxo', 'natural': 'spring'}"
"Font del Grau"	"Font del Grau"							"node"	"9067913472"		"{'name': 'Font del Grau', 'natural': 'spring'}"
"Font del Mas del Castellar"	"Font del Mas del Castellar"							"node"	"9686716269"		"{'description': '8-256-Font Mas Castellar', 'intermittent': 'yes', 'name': 'Font del Mas del Castellar', 'natural': 'spring', 'note': '8-256-Font Mas Castellar', 'seasonal': 'yes'}"
"Font del Mas del Castellar"	"Font del Mas del Castellar"							"node"	"9589549293"		"{'intermittent': 'yes', 'name': 'Font del Mas del Castellar', 'natural': 'spring'}"
"Font del Pi"	"Font del Pi"							"node"	"9067812612"		"{'intermittent': 'yes', 'name': 'Font del Pi', 'natural': 'spring'}"
"Font del Teix"	"Font del Teix"							"node"	"6038800915"		"{'name': 'Font del Teix', 'natural': 'spring'}"
"Font Lluny"	"Font Lluny"							"node"	"7774320333"		"{'amenity': 'drinking_water', 'name': 'Font Lluny'}"
"Serra de la Creu"	"Serra de la Creu"							"way"	"980234571"		"{'name': 'Serra de la Creu', 'natural': 'mountain_range'}"
"Serra de les Albardes"	"Serra de les Albardes"							"way"	"982120334"		"{'name': 'Serra de les Albardes', 'natural': 'mountain_range'}"
"Serra de Sant Cristòfol"	"Serra de Sant Cristòfol"							"way"	"982189768"		"{'name': 'Serra de Sant Cristòfol', 'natural': 'mountain_range'}"
"Serra Pelada"	"Serra Pelada"							"way"	"980066744"		"{'name': 'Serra Pelada', 'natural': 'mountain_range'}"
