"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de les Coves de Vinromà"	"Ajuntament de les Coves de Vinromà"							"way"	"  560578991"		"{'amenity': 'townhall', 'building': 'yes', 'name': 'Ajuntament de les Coves de Vinromà'}"
"Mas d'Albert"	"Mas d'Albert"							"node"	"10074001677"		"{'name': \"Mas d'Albert\", 'place': 'isolated_dwelling'}"
"mas d'Eixarca"	"mas d'Eixarca"							"way"	"  919114914"		"{'building': 'ruins', 'name': \"mas d'Eixarca\"}"
"Mas d'en Godes"	"Mas d'en Godes"							"node"	" 1243267042"		"{'name': \"Mas d'en Godes\", 'place': 'locality'}"
"Mas d'en Godes"	"Mas d'en Godes"							"way"	"  929295114"		"{'abandoned:building': 'yes', 'name': \"Mas d'en Godes\"}"
"Mas d'en Ramona"	"Mas d'en Ramona"							"node"	" 2063695919"		"{'ele': '285', 'name': \"Mas d'en Ramona\", 'place': 'hamlet', 'population': '40', 'population:date': '2009', 'ref:ine': '12050000800', 'source': 'Instituto Geográfico Nacional', 'source:date': '2011-06', 'source:ele': 'MDT5', 'source:name': 'Nomenclátor Geográfico de Municipios y Entidades de Población'}"
"Mas d'en Rieres"	"Mas d'en Rieres"							"node"	" 2063695920"		"{'ele': '315', 'name': \"Mas d'en Rieres\", 'place': 'hamlet', 'population': '115', 'population:date': '2009', 'ref:ine': '12050000200', 'source': 'Instituto Geográfico Nacional', 'source:date': '2011-06', 'source:ele': 'MDT5', 'source:name': 'Nomenclátor Geográfico de Municipios y Entidades de Población'}"
"Mas de Benet"	"Mas de Benet"							"way"	" 1030886007"		"{'building': 'yes', 'name': 'Mas de Benet'}"
"Mas de Boira"	"Mas de Boira"							"node"	" 1243241392"		"{'name': 'Mas de Boira', 'place': 'locality'}"
"Mas de Bosseta"	"Mas de Bosseta"							"node"	"10074001723"		"{'name': 'Mas de Bosseta', 'place': 'isolated_dwelling'}"
"Mas de Carbó"	"Mas de Carbó"							"node"	" 1243282134"		"{'name': 'Mas de Carbó', 'place': 'locality'}"
"Mas de Carreró de Baix"	"Mas de Carreró de Baix"							"node"	" 9685272057"		"{'name': 'Mas de Carreró de Baix', 'place': 'isolated_dwelling'}"
"Mas de Carruano"	"Mas de Carruano"							"node"	" 2063695923"		"{'ele': '195', 'name': 'Mas de Carruano', 'place': 'hamlet', 'population': '13', 'population:date': '2009', 'ref:ine': '12050000600', 'source': 'Instituto Geográfico Nacional', 'source:date': '2011-06', 'source:ele': 'MDT5', 'source:name': 'Nomenclátor Geográfico de Municipios y Entidades de Población'}"
"Mas de Cento"	"Mas de Cento"							"way"	" 1053910878"		"{'building': 'ruins', 'name': 'Mas de Cento'}"
"Mas de Gironeta"	"Mas de Gironeta"							"way"	" 1053910879"		"{'building': 'ruins', 'name': 'Mas de Gironeta'}"
"Mas de Granell"	"Mas de Granell"							"way"	" 1078866453"		"{'building': 'detached', 'name': 'Mas de Granell'}"
"Mas de l'Hereu"	"Mas de l'Hereu"							"node"	" 9685233275"		"{'name': \"Mas de l'Hereu\", 'place': 'isolated_dwelling'}"
"Mas de la Punta"	"Mas de la Punta"							"way"	" 1078866468"		"{'building': 'detached', 'name': 'Mas de la Punta'}"
"Mas de Moliner"	"Mas de Moliner"							"node"	" 1243278149"		"{'name': 'Mas de Moliner', 'place': 'locality'}"
"Mas de Pasqualet"	"Mas de Pasqualet"							"node"	" 3616193999"		"{'name': 'Mas de Pasqualet', 'place': 'hamlet', 'population': '8'}"
"Mas de Patequilla"	"Mas de Patequilla"							"way"	"  741952230"		"{'building': 'yes', 'name': 'Mas de Patequilla'}"
"Mas de Savoia"	"Mas de Savoia"							"way"	" 1072672041"		"{'building': 'detached', 'name': 'Mas de Savoia'}"
"mas de Sucaina"	"mas de Sucaina"							"way"	"  919114929"		"{'historic': 'ruins', 'historic:civilization': 'modern', 'name': 'mas de Sucaina'}"
"Mas de Tanàsio"	"Mas de Tanàsio"							"node"	"10074001724"		"{'name': 'Mas de Tanàsio', 'place': 'isolated_dwelling'}"
