"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament Agullana"	"Ajuntament Agullana"							"way"	"  85866752"		"{'addr:city': 'Agullana', 'addr:housenumber': '2', 'addr:postcode': '17707', 'addr:street': 'Carrer Lluis Gomis', 'amenity': 'townhall', 'building': 'yes', 'contact:phone': '+34 972535206', 'contact:website': 'http://ca.agullana.cat/', 'name': 'Ajuntament Agullana', 'opening_hours': 'Mo-Fr 09:00-15:00'}"
"Bosc d'en Cristòfol"	"Bosc d'en Cristòfol"							"node"	"1241592721"		"{'name': \"Bosc d'en Cristòfol\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de la Rovira"	"Bosc de la Rovira"							"node"	"1241590534"		"{'name': 'Bosc de la Rovira', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Mas Ferrer"	"Mas Ferrer"							"way"	" 189200076"		"{'building': 'yes', 'name': 'Mas Ferrer', 'ruins': 'yes'}"
"Mas Llinars"	"Mas Llinars"							"node"	"9843928697"		"{'name': 'Mas Llinars', 'place': 'isolated_dwelling'}"
"Mas Mallol"	"Mas Mallol"							"node"	"9843929278"		"{'name': 'Mas Mallol', 'place': 'isolated_dwelling'}"
"Mas Perxes"	"Mas Perxes"							"way"	" 910964884"		"{'building': 'yes', 'name': 'Mas Perxes'}"
"Riu de la Guilla"	"Riu de la Guilla"							"way"	" 525909476"		"{'name': 'Riu de la Guilla', 'source': 'Institut Cartogràfic de Catalunya, cartografia 1:5.000', 'source:date': '2011-10', 'waterway': 'stream'}"
"Riu de la Guilla"	"Riu de la Guilla"							"way"	" 525909464"		"{'name': 'Riu de la Guilla', 'source': 'Institut Cartogràfic de Catalunya, cartografia 1:5.000', 'source:date': '2011-10', 'waterway': 'stream'}"
"Riu de la Guilla"	"Riu de la Guilla"							"way"	" 106118298"		"{'name': 'Riu de la Guilla', 'waterway': 'stream'}"
"Riu de la Guilla"	"Riu de la Guilla"							"way"	" 525909465"		"{'layer': '-1', 'name': 'Riu de la Guilla', 'source': 'Institut Cartogràfic de Catalunya, cartografia 1:5.000', 'source:date': '2011-10', 'tunnel': 'culvert', 'waterway': 'stream'}"
