"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Batllori"	"Can Batllori"							"node"	"1716513203"		"{'name': 'Can Batllori', 'place': 'isolated_dwelling'}"
"Can Calbet"	"Can Calbet"							"node"	"8390140215"		"{'name': 'Can Calbet', 'place': 'isolated_dwelling'}"
"Can Fesol"	"Can Fesol"							"node"	"3847024456"		"{'building': 'yes', 'name': 'Can Fesol'}"
"Can Figueres"	"Can Figueres"							"node"	"5377682572"		"{'building': 'yes', 'name': 'Can Figueres'}"
"Coll de la Caça"	"Coll de la Caça"							"node"	"3934055038"		"{'ele': '709.5', 'name': 'Coll de la Caça', 'natural': 'saddle'}"
"Coll de la Torre de Querol"	"Coll de la Torre de Querol"							"node"	"6943107559"		"{'ele': '827', 'name': 'Coll de la Torre de Querol', 'natural': 'saddle'}"
"Coll de les Forques"	"Coll de les Forques"							"node"	"3869588482"		"{'name': 'Coll de les Forques', 'natural': 'saddle'}"
"Coll de Mas Alegret"	"Coll de Mas Alegret"							"node"	"3888972589"		"{'name': 'Coll de Mas Alegret', 'natural': 'saddle'}"
"Coll del Camp de la Bassa"	"Coll del Camp de la Bassa"							"node"	"4845293222"		"{'name': 'Coll del Camp de la Bassa', 'natural': 'saddle'}"
"Collet de Cal Boada"	"Collet de Cal Boada"							"node"	"6851636714"		"{'ele': '810.7', 'name': 'Collet de Cal Boada', 'natural': 'saddle'}"
"Collet del Vent"	"Collet del Vent"							"node"	"3903352280"		"{'ele': '567.6', 'name': 'Collet del Vent', 'natural': 'saddle'}"
"Puig de l'Hivern"	"Puig de l'Hivern"							"node"	"7391635536"		"{'ele': '521.8', 'name': \"Puig de l'Hivern\", 'natural': 'peak'}"
"Puig del Colomer"	"Puig del Colomer"							"node"	"6003469055"		"{'ele': '744', 'name': 'Puig del Colomer', 'natural': 'peak'}"
"Puig Pastor"	"Puig Pastor"							"node"	"8390140216"		"{'ele': '533.6', 'name': 'Puig Pastor', 'natural': 'peak'}"
"Serra de Cal Baró"	"Serra de Cal Baró"							"way"	"675946527"		"{'name': 'Serra de Cal Baró', 'natural': 'ridge'}"
"Serra de Cal Baró"	"Serra de Cal Baró"							"node"	"1241763614"		"{'name': 'Serra de Cal Baró', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serra de Cal Manco"	"Serra de Cal Manco"							"way"	"785322928"		"{'name': 'Serra de Cal Manco', 'natural': 'ridge'}"
"Serra de l'Albà"	"Serra de l'Albà"							"way"	"927204141"		"{'name': \"Serra de l'Albà\", 'natural': 'ridge'}"
"Serra de l'Albà"	"Serra de l'Albà"							"node"	"1241794235"		"{'name': \"Serra de l'Albà\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serra de Mas Rossell"	"Serra de Mas Rossell"							"node"	"2912922902"		"{'name': 'Serra de Mas Rossell', 'place': 'locality'}"
"Serra de Mas Rossell"	"Serra de Mas Rossell"							"node"	"1241781623"		"{'name': 'Serra de Mas Rossell', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Torrent de la Campanera"	"Torrent de la Campanera"							"way"	"287721177"		"{'intermittent': 'yes', 'name': 'Torrent de la Campanera', 'waterway': 'stream'}"
"Torrent de les Boïgues"	"Torrent de les Boïgues"							"way"	"287728937"		"{'name': 'Torrent de les Boïgues', 'waterway': 'stream'}"
"Torrent de les Deveses"	"Torrent de les Deveses"							"way"	"287728939"		"{'name': 'Torrent de les Deveses', 'waterway': 'stream'}"
"Torrent de les Pereres"	"Torrent de les Pereres"							"way"	"287724459"		"{'intermittent': 'yes', 'name': 'Torrent de les Pereres', 'waterway': 'stream'}"
"Torrent del Clot del Montmell"	"Torrent del Clot del Montmell"							"way"	"287721178"		"{'name': 'Torrent del Clot del Montmell', 'waterway': 'stream'}"
"Torrent del Miracle"	"Torrent del Miracle"							"way"	"287649257"		"{'name': 'Torrent del Miracle', 'waterway': 'stream'}"
"Torrent del Miracle"	"Torrent del Miracle"							"way"	"287649258"		"{'name': 'Torrent del Miracle', 'waterway': 'stream'}"
"Torrent del Pigot"	"Torrent del Pigot"							"way"	"785322927"		"{'intermittent': 'yes', 'name': 'Torrent del Pigot', 'waterway': 'stream'}"
"Turó de Cal Cardó"	"Turó de Cal Cardó"							"node"	"6872871909"		"{'ele': '610.5', 'name': 'Turó de Cal Cardó', 'natural': 'peak'}"
"Turó de Can Fesol"	"Turó de Can Fesol"							"node"	"8295974274"		"{'ele': '690.3', 'name': 'Turó de Can Fesol', 'natural': 'peak'}"
"Turó de Mas Corrubí"	"Turó de Mas Corrubí"							"node"	"8174169753"		"{'ele': '550.8', 'name': 'Turó de Mas Corrubí', 'natural': 'peak'}"
"Turó de Mas d'en Bosc"	"Turó de Mas d'en Bosc"							"node"	"1241762183"		"{'name': \"Turó de Mas d'en Bosc\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Turó del Mas Alegret"	"Turó del Mas Alegret"							"node"	"1241789698"		"{'name': 'Turó del Mas Alegret', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
