"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Baró"	"Can Baró"							"way"	"283503179"		"{'building': 'yes', 'name': 'Can Baró', 'source': 'Institut Cartogràfic i Geològic de Catalunya; cartografia 1:1000'}"
"Can Bosch"	"Can Bosch"	"Can Bosc"	"Can Bosc"					"node"	"9839803884"		"{'alt_name': 'Can Bosc', 'name': 'Can Bosch', 'place': 'isolated_dwelling'}"
"Can Bosch"	"Can Bosch"							"node"	"3545011948"		"{'ele': '560', 'information': 'guidepost', 'name': 'Can Bosch', 'network:type': 'node_network', 'rwn_ref': 'G112', 'tourism': 'information'}"
"Can Bosch"	"Can Bosch"							"way"	"251763988"		"{'addr:postcode': '17853', 'building': 'yes', 'name': 'Can Bosch', 'tourism': 'chalet'}"
"Can Coll"	"Can Coll"							"node"	"9844349831"		"{'name': 'Can Coll', 'place': 'isolated_dwelling'}"
"Can Garrofí"	"Can Garrofí"							"way"	"727325942"		"{'building': 'house', 'name': 'Can Garrofí'}"
"Can Mas"	"Can Mas"							"node"	"9841254867"		"{'name': 'Can Mas', 'place': 'isolated_dwelling'}"
"Can Nou"	"Can Nou"							"node"	"1368182988"		"{'amenity': 'restaurant', 'building': 'yes', 'name': 'Can Nou'}"
"Can Nou"	"Can Nou"							"node"	"9844359138"		"{'name': 'Can Nou', 'place': 'isolated_dwelling'}"
"Can Pau"	"Can Pau"							"way"	"478862111"		"{'building': 'yes', 'name': 'Can Pau'}"
"Can Perot"	"Can Perot"							"way"	"283502332"		"{'building': 'yes', 'name': 'Can Perot', 'source': 'Institut Cartogràfic i Geològic de Catalunya; cartografia 1:1000'}"
"Can Principi"	"Can Principi"							"node"	"1368182857"		"{'building': 'yes', 'ele': '910', 'historic': 'ruins', 'name': 'Can Principi'}"
"Can Vim"	"Can Vim"							"way"	"478851193"		"{'building': 'yes', 'name': 'Can Vim', 'source': 'PNOA'}"
"Coll d'Alts"	"Coll d'Alts"							"node"	"1886472017"		"{'ele': '872.1', 'mountain_pass': 'yes', 'name': \"Coll d'Alts\", 'natural': 'saddle', 'source': 'Institut Cartogràfic de Catalunya'}"
"Coll de Bassegoda"	"Coll de Bassegoda"							"node"	"1279869805"		"{'ele': '1101.5', 'mountain_pass': 'yes', 'name': 'Coll de Bassegoda', 'natural': 'saddle', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Coll de Daina"	"Coll de Daina"							"node"	"3754086192"		"{'name': 'Coll de Daina', 'natural': 'saddle'}"
"Coll de Finestrelles"	"Coll de Finestrelles"							"node"	"3727412716"		"{'ele': '988.4', 'name': 'Coll de Finestrelles', 'natural': 'saddle'}"
"Coll de l'Abellar"	"Coll de l'Abellar"							"node"	"3701586671"		"{'ele': '997.3', 'name': \"Coll de l'Abellar\", 'natural': 'saddle'}"
"Coll de la Bassa"	"Coll de la Bassa"							"node"	"4885551879"		"{'ele': '846', 'name': 'Coll de la Bassa', 'natural': 'saddle'}"
"Coll de la Ginesta"	"Coll de la Ginesta"							"node"	"3701586672"		"{'ele': '784.2', 'name': 'Coll de la Ginesta', 'natural': 'saddle'}"
"Coll de la Maçana"	"Coll de la Maçana"							"node"	"9356512108"		"{'ele': '1069', 'name': 'Coll de la Maçana', 'natural': 'saddle'}"
"Coll de Parat"	"Coll de Parat"							"node"	"3702570237"		"{'ele': '875.8', 'name': 'Coll de Parat', 'natural': 'saddle'}"
"Coll de Principi"	"Coll de Principi"							"node"	"1368182941"		"{'ele': '1105', 'mountain_pass': 'yes', 'name': 'Coll de Principi', 'natural': 'saddle', 'source': 'Institut Cartogràfic de Catalunya'}"
"Coll de Sant Bernabé"	"Coll de Sant Bernabé"							"node"	"3701586670"		"{'ele': '1118.6', 'name': 'Coll de Sant Bernabé', 'natural': 'saddle', 'source': 'Institut Cartogràfic de Catalunya'}"
