"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí Català per Lleida"	"Camí Català per Lleida"			"Camí de Sant Jaume, Camí de Santiago, Camino de Santiago, El cami de sant jaume, Camiño de Santiago"	"Camí de Sant Jaume"	"pilgrims' way"	"Q41150"	"relation"	"   2164136"	""	"{'name': 'Camí Català per Lleida', 'network': 'nwn', 'note': 'western part of this Camino (divided to keep the relation short)', 'operator': \"Asociación del Camino de Santiago de L'Hospitalet\", 'osmc:symbol': 'blue:blue:shell_modern', 'pilgrimage': 'Camí de Sant Jaume', 'religion': 'christian', 'route': 'hiking', 'type': 'route', 'wiki:symbol': 'Symbol_Jakobsweg.png', 'wikidata': 'Q41150', 'wikipedia': 'ca:Camí de Sant Jaume'}"
"Camí d'Artesa de Lleida"	"Camí d'Artesa de Lleida"			""	""	""	""	"way"	"  84014000"	""	"{'highway': 'unclassified', 'name': \"Camí d'Artesa de Lleida\"}"
"Camí d'Artesa de Lleida"	"Camí d'Artesa de Lleida"			""	""	""	""	"way"	" 754230260"	""	"{'highway': 'track', 'name': \"Camí d'Artesa de Lleida\", 'tracktype': 'grade1'}"
"Camí d'Artesa de Lleida"	"Camí d'Artesa de Lleida"			""	""	""	""	"way"	" 411819677"	""	"{'bridge': 'yes', 'highway': 'unclassified', 'layer': '1', 'name': \"Camí d'Artesa de Lleida\"}"
"Camí d'Artesa de Lleida"	"Camí d'Artesa de Lleida"			""	""	""	""	"way"	" 411819675"	""	"{'highway': 'unclassified', 'name': \"Camí d'Artesa de Lleida\"}"
"Camí de l'Om"	"Camí de l'Om"			""	""	""	""	"way"	"  84013992"	""	"{'highway': 'unclassified', 'maxspeed': '50', 'name': \"Camí de l'Om\", 'source': 'PNOA', 'source:date': '2008'}"
"Camí de l'Om"	"Camí de l'Om"			""	""	""	""	"way"	" 245692681"	""	"{'highway': 'unclassified', 'name': \"Camí de l'Om\"}"
"Camí de la Gavarrera"	"Camí de la Gavarrera"			""	""	""	""	"way"	" 509242672"	""	"{'highway': 'unclassified', 'name': 'Camí de la Gavarrera'}"
"Camí de la Gavarrera"	"Camí de la Gavarrera"			""	""	""	""	"way"	" 149758246"	""	"{'bridge': 'yes', 'highway': 'unclassified', 'layer': '1', 'name': 'Camí de la Gavarrera'}"
