"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passeig de l'Estació"	"Passeig de l'Estació"							"way"	"767678836"		"{'highway': 'residential', 'name': \"Passeig de l'Estació\", 'oneway': 'no', 'source': 'PNOA', 'source:date': '2008'}"
"Passeig de l'Estació"	"Passeig de l'Estació"							"way"	"767678835"		"{'highway': 'residential', 'name': \"Passeig de l'Estació\", 'oneway': 'no', 'source': 'PNOA', 'source:date': '2008'}"
"Passeig de l'Estació"	"Passeig de l'Estació"							"way"	"202177568"		"{'highway': 'residential', 'lanes': '2', 'maxspeed': '30', 'name': \"Passeig de l'Estació\", 'oneway': 'no', 'source': 'PNOA', 'source:date': '2008', 'surface': 'asphalt'}"
"Passeig de l'Estació"	"Passeig de l'Estació"							"way"	"222318594"		"{'highway': 'residential', 'name': \"Passeig de l'Estació\", 'oneway': 'no', 'source': 'PNOA', 'source:date': '2008'}"
"Passeig de l'Estació"	"Passeig de l'Estació"							"way"	"767678828"		"{'highway': 'residential', 'lanes': '2', 'maxspeed': '30', 'name': \"Passeig de l'Estació\", 'oneway': 'no', 'source': 'PNOA', 'source:date': '2008', 'surface': 'asphalt'}"
"Urbanització Mas Llorenç"	"Urbanització Mas Llorenç"							"way"	"295287332"		"{'highway': 'residential', 'name': 'Urbanització Mas Llorenç', 'oneway': 'no'}"
"Urbanització Mas Llorenç"	"Urbanització Mas Llorenç"							"way"	"295287355"		"{'highway': 'residential', 'name': 'Urbanització Mas Llorenç', 'oneway': 'no'}"
"Urbanització Mas Llorenç"	"Urbanització Mas Llorenç"							"way"	"295287366"		"{'highway': 'residential', 'name': 'Urbanització Mas Llorenç', 'oneway': 'no'}"
"Urbanització Mas Llorenç"	"Urbanització Mas Llorenç"							"way"	"432713551"		"{'highway': 'residential', 'name': 'Urbanització Mas Llorenç', 'oneway': 'no'}"
"Urbanització Mas Llorenç"	"Urbanització Mas Llorenç"							"way"	"432713645"		"{'highway': 'residential', 'name': 'Urbanització Mas Llorenç', 'oneway': 'no'}"
"Urbanització Residencial El Remei"	"Urbanització Residencial El Remei"							"way"	" 89040600"		"{'landuse': 'residential', 'name': 'Urbanització Residencial El Remei', 'source': 'PNOA', 'source:date': '2008'}"
