"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Cortès"	"Can Cortès"							"node"	"1241555189"		"{'name': 'Can Cortès', 'place': 'locality'}"
"Can Duran"	"Can Duran"							"node"	"6327683764"		"{'addr:city': 'Alella', 'addr:housenumber': '18', 'addr:postcode': '08328', 'addr:street': \"Rambla d'Àngel Guimerà\", 'amenity': 'restaurant', 'cuisine': 'regional;mediterranean;cafe', 'name': 'Can Duran', 'opening_hours': '08:30 - 15:45 (Wed closed)', 'outdoor_seating': 'yes', 'website': 'http://restaurantcanduran.com/'}"
"Can Sors"	"Can Sors"							"node"	"1636539069"		"{'name': 'Can Sors', 'place': 'neighbourhood'}"
"Can Torres"	"Can Torres"							"node"	"5437986719"		"{'bus': 'yes', 'name': 'Can Torres', 'public_transport': 'stop_position'}"
"Can Torres"	"Can Torres"							"node"	"1636539030"		"{'name': 'Can Torres', 'place': 'neighbourhood'}"
"Coll de Font de Cera"	"Coll de Font de Cera"							"node"	"229064120"		"{'ele': '275', 'mountain_pass': 'yes', 'name': 'Coll de Font de Cera', 'natural': 'saddle'}"
"Font de l'Esquerda"	"Font de l'Esquerda"							"node"	"4672398071"		"{'name': \"Font de l'Esquerda\", 'natural': 'spring'}"
"Font del Fonoll"	"Font del Fonoll"							"node"	"4672398070"		"{'name': 'Font del Fonoll', 'natural': 'spring'}"
"Font del Safareig"	"Font del Safareig"							"node"	"4672398072"		"{'name': 'Font del Safareig', 'natural': 'spring'}"
"Font dels Eucaliptus"	"Font dels Eucaliptus"							"node"	"4672398073"		"{'name': 'Font dels Eucaliptus', 'natural': 'spring'}"
"Torrent de Coma Clara"	"Torrent de Coma Clara"							"way"	"665339521"		"{'intermittent': 'yes', 'name': 'Torrent de Coma Clara', 'waterway': 'stream'}"
"Torrent de les Alzines"	"Torrent de les Alzines"							"way"	"234487056"		"{'highway': 'residential', 'name': 'Torrent de les Alzines'}"
"Torrent de Rials"	"Torrent de Rials"							"way"	"770816415"		"{'highway': 'track', 'name': 'Torrent de Rials'}"
"Torrent de Vallbona"	"Torrent de Vallbona"							"way"	"665428874"		"{'intermittent': 'yes', 'name': 'Torrent de Vallbona', 'waterway': 'stream'}"
"Torrent de Vallbona"	"Torrent de Vallbona"							"way"	"665428873"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Vallbona', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent del Sarau"	"Torrent del Sarau"							"way"	"665364997"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent del Sarau', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent del Sarau"	"Torrent del Sarau"							"way"	"665364998"		"{'intermittent': 'yes', 'name': 'Torrent del Sarau', 'waterway': 'stream'}"
"Torrent del Sarau"	"Torrent del Sarau"							"way"	"665364996"		"{'intermittent': 'yes', 'name': 'Torrent del Sarau', 'waterway': 'stream'}"
"Turó de les Monges"	"Turó de les Monges"							"node"	"1241555337"		"{'name': 'Turó de les Monges', 'place': 'locality'}"
"Turó del Bessó"	"Turó del Bessó"							"node"	"10046952447"		"{'ele': '227.7', 'name': 'Turó del Bessó', 'natural': 'peak'}"
