"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí d'Alfara de Carles al Toscar"	"Camí d'Alfara de Carles al Toscar"							"way"	"140923391"		"{'highway': 'track', 'name': \"Camí d'Alfara de Carles al Toscar\", 'surface': 'concrete', 'tracktype': 'grade1'}"
"Camí d'Alfara de Carles al Toscar"	"Camí d'Alfara de Carles al Toscar"							"way"	"140923336"		"{'highway': 'track', 'name': \"Camí d'Alfara de Carles al Toscar\", 'surface': 'asphalt', 'tracktype': 'grade1'}"
"Camí d'Alfara de Carles al Toscar"	"Camí d'Alfara de Carles al Toscar"							"way"	"182395594"		"{'highway': 'track', 'name': \"Camí d'Alfara de Carles al Toscar\", 'surface': 'concrete', 'tracktype': 'grade1'}"
"Camí d'Alfara de Carles al Toscar"	"Camí d'Alfara de Carles al Toscar"							"way"	"509696272"		"{'highway': 'path', 'name': \"Camí d'Alfara de Carles al Toscar\"}"
"Camí de l'Enclusa"	"Camí de l'Enclusa"							"way"	"238788699"		"{'highway': 'track', 'name': \"Camí de l'Enclusa\", 'tracktype': 'grade3'}"
"Camí de la Cova Pintada"	"Camí de la Cova Pintada"							"way"	"635425433"		"{'highway': 'path', 'name': 'Camí de la Cova Pintada', 'sac_scale': 'mountain_hiking', 'trail_visibility': 'good'}"
"Camí de la Cova Pintada"	"Camí de la Cova Pintada"							"way"	"141051421"		"{'highway': 'path', 'name': 'Camí de la Cova Pintada', 'sac_scale': 'mountain_hiking', 'trail_visibility': 'good'}"
"Camí de la Font de Nadal"	"Camí de la Font de Nadal"							"way"	"168180970"		"{'highway': 'track', 'name': 'Camí de la Font de Nadal'}"
"Camí de la Font de Perera"	"Camí de la Font de Perera"							"way"	"944572150"		"{'highway': 'track', 'name': 'Camí de la Font de Perera'}"
"Camí de la Gavarda"	"Camí de la Gavarda"							"way"	"508029783"		"{'highway': 'track', 'name': 'Camí de la Gavarda', 'tracktype': 'grade2'}"
"Camí de la Gavarda"	"Camí de la Gavarda"							"way"	"166121544"		"{'highway': 'track', 'name': 'Camí de la Gavarda'}"
"Camí de la Mola de Catí"	"Camí de la Mola de Catí"							"way"	"166121545"		"{'highway': 'track', 'name': 'Camí de la Mola de Catí', 'tracktype': 'grade2'}"
"Camí de la Mola de Catí"	"Camí de la Mola de Catí"							"way"	"141060190"		"{'highway': 'track', 'name': 'Camí de la Mola de Catí', 'tracktype': 'grade1'}"
"Camí de la Mola de Catí"	"Camí de la Mola de Catí"							"way"	"140954192"		"{'highway': 'track', 'name': 'Camí de la Mola de Catí'}"
"Camí de les Canals"	"Camí de les Canals"							"way"	" 97213608"		"{'highway': 'path', 'mtb:scale': '4', 'name': 'Camí de les Canals', 'sac_scale': 'mountain_hiking'}"
"Camí de les Feixes"	"Camí de les Feixes"							"way"	"141051396"		"{'highway': 'path', 'name': 'Camí de les Feixes', 'sac_scale': 'mountain_hiking', 'trail_visibility': 'good'}"
"Camí de les Foies"	"Camí de les Foies"							"way"	"141051412"		"{'highway': 'path', 'name': 'Camí de les Foies', 'sac_scale': 'mountain_hiking', 'trail_visibility': 'good'}"
"Camí de Mas de n'Adell"	"Camí de Mas de n'Adell"							"way"	"667703400"		"{'highway': 'unclassified', 'name': \"Camí de Mas de n'Adell\", 'surface': 'asphalt'}"
"Camí de Paüls a Alfara de Carles"	"Camí de Paüls a Alfara de Carles"							"way"	"182400555"		"{'highway': 'path', 'name': 'Camí de Paüls a Alfara de Carles', 'sac_scale': 'hiking', 'surface': 'ground', 'trail_visibility': 'good'}"
