"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de l'Alou"	"Camí de l'Alou"							"way"	" 177128172"		"{'highway': 'track', 'name': \"Camí de l'Alou\", 'tracktype': 'grade1'}"
"Camí de Sant Pere"	"Camí de Sant Pere"							"way"	" 580216014"		"{'highway': 'track', 'name': 'Camí de Sant Pere', 'surface': 'grass', 'tracktype': 'grade5'}"
"Camí de Sora a Alpens"	"Camí de Sora a Alpens"							"way"	" 488022160"		"{'highway': 'track', 'mtb:scale': '0', 'name': 'Camí de Sora a Alpens', 'smoothness': 'bad', 'surface': 'ground', 'tracktype': 'grade3', 'width': '3'}"
"Camí ral d'Alpens a Santa Eulàlia de Puig-oriol"	"Camí ral d'Alpens a Santa Eulàlia de Puig-oriol"							"way"	" 472339792"		"{'brp_access': '2', 'highway': 'track', 'name': \"Camí ral d'Alpens a Santa Eulàlia de Puig-oriol\", 'smoothness': 'bad', 'surface': 'ground', 'tracktype': 'grade2', 'width': '4.5'}"
"Camí ral d'Alpens a Santa Eulàlia de Puig-oriol"	"Camí ral d'Alpens a Santa Eulàlia de Puig-oriol"							"way"	" 190939298"		"{'brp_access': '2', 'highway': 'track', 'name': \"Camí ral d'Alpens a Santa Eulàlia de Puig-oriol\", 'smoothness': 'bad', 'surface': 'ground', 'tracktype': 'grade2', 'width': '4.5'}"
"Camí ral d'Alpens a Santa Eulàlia de Puig-oriol i Lluçà"	"Camí ral d'Alpens a Santa Eulàlia de Puig-oriol i Lluçà"							"way"	" 190939295"		"{'highway': 'track', 'name': \"Camí ral d'Alpens a Santa Eulàlia de Puig-oriol i Lluçà\", 'tracktype': 'grade2'}"
"camí Ramader"	"camí Ramader"							"way"	" 418561821"		"{'highway': 'path', 'name': 'camí Ramader'}"
"Carrer de Baix"	"Carrer de Baix"							"way"	"1073100445"		"{'highway': 'living_street', 'lit': 'yes', 'name': 'Carrer de Baix', 'oneway': 'no', 'parking:lane:both': 'no', 'sidewalk': 'no', 'smoothness': 'intermediate', 'source:width': 'ARCore', 'surface': 'concrete', 'width': '3.9'}"
"Carrer de Baix"	"Carrer de Baix"							"way"	" 163399579"		"{'highway': 'living_street', 'lit': 'no', 'name': 'Carrer de Baix', 'oneway': 'no', 'parking:lane:both': 'no', 'sidewalk': 'no', 'source:width': 'ARCore', 'surface': 'concrete', 'width': '3.9'}"
