"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Estany Blau"	"Estany Blau"							"relation"	"7006603"		"{'name': 'Estany Blau', 'natural': 'water', 'type': 'multipolygon'}"
"Estany de Bou"	"Estany de Bou"							"way"	"292725514"		"{'name': 'Estany de Bou', 'natural': 'water', 'water': 'lake'}"
"Estany de Clavera"	"Estany de Clavera"							"way"	"296157420"	"name:fr=Étang de Clauere"	"{'name': 'Estany de Clavera', 'name:fr': 'Étang de Clauere', 'natural': 'water', 'water': 'lake'}"
"Estany Gelat"	"Estany Gelat"							"relation"	"14128250"		"{'name': 'Estany Gelat', 'natural': 'water', 'type': 'multipolygon'}"
"Estany Llong"	"Estany Llong"							"way"	"174344170"		"{'name': 'Estany Llong', 'natural': 'water'}"
"Estany Llong"	"Estany Llong"							"way"	"366836528"		"{'name': 'Estany Llong', 'natural': 'water', 'source': 'Institut Cartogràfic de Catalunya', 'water': 'lake'}"
"Estany Pudo"	"Estany Pudo"							"relation"	"7026432"		"{'name': 'Estany Pudo', 'natural': 'water', 'type': 'multipolygon'}"
"Estany Redó"	"Estany Redó"							"way"	"174344166"		"{'name': 'Estany Redó', 'natural': 'water'}"
"Pla de la Font"	"Pla de la Font"							"node"	"1241640328"		"{'name': 'Pla de la Font', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de Monet"	"Pla de Monet"							"node"	"1241635636"		"{'name': 'Pla de Monet', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
