"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passatge Fruiteria"	"Passatge Fruiteria"							"way"	" 348010964"		"{'highway': 'pedestrian', 'name': 'Passatge Fruiteria'}"
"passatge Rocamora"	"passatge Rocamora"							"way"	" 696010813"		"{'highway': 'footway', 'name': 'passatge Rocamora'}"
"passatge Rocamora"	"passatge Rocamora"							"way"	" 696010814"		"{'highway': 'residential', 'name': 'passatge Rocamora'}"
"Passeig del Bastareny"	"Passeig del Bastareny"							"way"	" 374435387"		"{'highway': 'residential', 'name': 'Passeig del Bastareny'}"
"Passeig del Bastareny"	"Passeig del Bastareny"							"way"	" 307131573"		"{'highway': 'residential', 'name': 'Passeig del Bastareny'}"
"Passeig del Bastareny"	"Passeig del Bastareny"							"way"	" 130196278"		"{'highway': 'residential', 'name': 'Passeig del Bastareny'}"
"Passeig del Bastareny"	"Passeig del Bastareny"							"way"	" 307131562"		"{'bridge': 'yes', 'highway': 'residential', 'layer': '1', 'name': 'Passeig del Bastareny'}"
"Passeig del Bastareny"	"Passeig del Bastareny"							"way"	"1009931267"		"{'highway': 'living_street', 'maxspeed': '20', 'name': 'Passeig del Bastareny', 'sett:shape': 'irregular', 'surface': 'sett'}"
"Passeig del Gibellàs"	"Passeig del Gibellàs"							"way"	" 130196277"		"{'highway': 'tertiary', 'maxspeed': '30', 'name': 'Passeig del Gibellàs', 'ref': 'BV-4024', 'surface': 'asphalt'}"
"Passeig del Gibellàs"	"Passeig del Gibellàs"							"way"	"  33114603"		"{'highway': 'residential', 'lit': 'yes', 'name': 'Passeig del Gibellàs', 'sidewalk': 'right', 'surface': 'asphalt'}"
"Passeig del Gibellàs"	"Passeig del Gibellàs"							"way"	" 539984720"		"{'highway': 'residential', 'name': 'Passeig del Gibellàs', 'sidewalk': 'right', 'surface': 'asphalt'}"
"Passeig del Gibellàs"	"Passeig del Gibellàs"							"way"	" 539984722"		"{'highway': 'residential', 'name': 'Passeig del Gibellàs'}"
