"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Grau del Coll"	"Can Grau del Coll"							"way"	"704954250"		"{'building': 'house', 'building:levels': '2', 'name': 'Can Grau del Coll'}"
"Can Grau del Coll"	"Can Grau del Coll"							"way"	"705032089"		"{'addr:housenumber': '9', 'addr:postcode': '08859', 'addr:street': 'FIXME: Calle Torrelles de Llobregat', 'building': 'house', 'building:levels': '1', 'name': 'Can Grau del Coll'}"
"Can Lluïs"	"Can Lluïs"							"way"	"705937831"		"{'building': 'yes', 'name': 'Can Lluïs'}"
"Can Pasqual"	"Can Pasqual"							"way"	"703997348"		"{'building:levels': '2', 'name': 'Can Pasqual', 'place': 'isolated_dwelling'}"
"Can Pau"	"Can Pau"							"way"	"704962116"		"{'addr:housename': 'Can Pau', 'addr:postcode': '08859', 'building:levels': '2', 'name': 'Can Pau', 'place': 'isolated_dwelling'}"
"Can Pau"	"Can Pau"							"way"	"705352054"		"{'addr:housename': 'Can Pau', 'building': 'yes', 'building:levels': '2', 'name': 'Can Pau'}"
"Can Pau Martí"	"Can Pau Martí"							"way"	"705414817"		"{'building': 'residential', 'building:levels': '3', 'name': 'Can Pau Martí'}"
"Can Pi"	"Can Pi"							"way"	"705029513"		"{'addr:housename': 'Can Pi', 'addr:postcode': '08859', 'building': 'residential', 'building:levels': '3', 'name': 'Can Pi'}"
"Can Rata"	"Can Rata"							"way"	"705029522"		"{'addr:housename': 'Can Rata', 'addr:postcode': '08859', 'building': 'residential', 'building:levels': '2', 'name': 'Can Rata'}"
"Can Romagosa"	"Can Romagosa"			"Can Pairot Romagosa"	"Can Pairot Romagosa"	"house"	"Q21789877"	"way"	"705419159"		"{'building': 'residential', 'building:levels': '3', 'name': 'Can Romagosa', 'wikidata': 'Q21789877', 'wikipedia': 'ca:Can Pairot Romagosa'}"
