"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Frigolet"	"Can Frigolet"							"way"	"817298653"		"{'building': 'house', 'name': 'Can Frigolet'}"
"Can Frigolet"	"Can Frigolet"							"relation"	"11215325"		"{'addr:city': 'Esclanyà', 'building': 'house', 'name': 'Can Frigolet', 'type': 'multipolygon'}"
"Can Marc"	"Can Marc"							"node"	"9044256017"		"{'amenity': 'bar', 'name': 'Can Marc'}"
"Can Pere"	"Can Pere"							"node"	"9111213428"		"{'amenity': 'restaurant', 'name': 'Can Pere'}"
"Can Pol"	"Can Pol"							"node"	"4143002790"		"{'amenity': 'cafe', 'name': 'Can Pol'}"
"Can Torrades"	"Can Torrades"							"node"	"6034557485"		"{'addr:street': 'Carrer de la Concepció Pi \"Tató\"', 'amenity': 'restaurant', 'name': 'Can Torrades'}"
"Coll dels Ocells"	"Coll dels Ocells"							"node"	"801144480"		"{'ele': '53.6', 'mountain_pass': 'yes', 'name': 'Coll dels Ocells', 'natural': 'saddle'}"
"Font de l'Anastàsia"	"Font de l'Anastàsia"							"node"	"7694418616"		"{'name': \"Font de l'Anastàsia\", 'natural': 'spring'}"
"Font de l'Anastàsia"	"Font de l'Anastàsia"							"way"	"266620578"		"{'disused:natural': 'water', 'name': \"Font de l'Anastàsia\"}"
"Puig Creu d'en Rodo"	"Puig Creu d'en Rodo"							"node"	"3615608623"		"{'ele': '258.9', 'name': \"Puig Creu d'en Rodo\", 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Puig de la Coma"	"Puig de la Coma"							"node"	"7652041036"		"{'ele': '121.3', 'name': 'Puig de la Coma', 'natural': 'peak'}"
"Puig de sa Guàrdia"	"Puig de sa Guàrdia"							"node"	"5111061503"		"{'ele': '248.7', 'name': 'Puig de sa Guàrdia', 'natural': 'peak', 'source': 'Institut Cartogràfic i Geològic de Catalunya'}"
"Puig Rodó"	"Puig Rodó"							"node"	"3589734653"		"{'ele': '183.0', 'name': 'Puig Rodó', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Puig Rodó d'Aiguafreda"	"Puig Rodó d'Aiguafreda"							"node"	"3589734652"		"{'ele': '116.2', 'name': \"Puig Rodó d'Aiguafreda\", 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
