"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Pla de Campanya"	"Pla de Campanya"							"node"	"1241593425"		"{'name': 'Pla de Campanya', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de Can Batlle"	"Pla de Can Batlle"							"node"	"1241592507"		"{'name': 'Pla de Can Batlle', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de Can Bellsolà"	"Pla de Can Bellsolà"							"node"	"1241590665"		"{'name': 'Pla de Can Bellsolà', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de Can Costa"	"Pla de Can Costa"							"node"	"1241585869"		"{'name': 'Pla de Can Costa', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de Can Surós"	"Pla de Can Surós"							"node"	"1241590170"		"{'name': 'Pla de Can Surós', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de l'Abadia"	"Pla de l'Abadia"							"node"	"1241598038"		"{'name': \"Pla de l'Abadia\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de la Creu"	"Pla de la Creu"							"node"	"1241601824"		"{'name': 'Pla de la Creu', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de la Margenera"	"Pla de la Margenera"							"node"	"1241591614"		"{'name': 'Pla de la Margenera', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de Recolta"	"Pla de Recolta"							"node"	"1241601346"		"{'name': 'Pla de Recolta', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
