"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Castell de Sant Joan"	"Castell de Sant Joan"							"node"	" 948718764"		"{'ele': '172.50', 'ign:latitud': '41.6789884519790021', 'ign:longitud': '2.7984247323620002', 'ign:red': 'Red Geodesica Nacional Convencional (ROI)', 'man_made': 'survey_point', 'name': 'Castell de Sant Joan', 'note': 'This is a point from an official geodetic network. Use it as a reference, but do NOT move it.', 'ref': '36590', 'source': 'Instituto Geográfico Nacional', 'source:ref': 'ftp://ftp.geodesia.ign.es'}"
"Castell de Sant Joan"	"Castell de Sant Joan"							"node"	"8678739817"		"{'information': 'board', 'name': 'Castell de Sant Joan', 'tourism': 'information'}"
"Castell i Ermita de Sant Joan"	"Castell i Ermita de Sant Joan"							"node"	"8678748418"		"{'board_type': 'history', 'information': 'board', 'name': 'Castell i Ermita de Sant Joan', 'tourism': 'information'}"
"Mas Carolet"	"Mas Carolet"							"node"	"1877440363"		"{'bus': 'yes', 'highway': 'bus_stop', 'local_ref': 'L9', 'name': 'Mas Carolet', 'public_transport': 'platform'}"
"Mas Carolet"	"Mas Carolet"							"node"	"5448083307"		"{'bus': 'yes', 'highway': 'bus_stop', 'local_ref': 'L9', 'name': 'Mas Carolet', 'public_transport': 'stop_position'}"
"Mas Cremat"	"Mas Cremat"							"node"	"6595778717"		"{'name': 'Mas Cremat', 'place': 'neighbourhood'}"
"Mas Cremat"	"Mas Cremat"							"node"	"1874192861"		"{'bench': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'local_ref': 'L9', 'name': 'Mas Cremat', 'shelter': 'yes'}"
"Mas Cremat"	"Mas Cremat"							"node"	"5448083304"		"{'bus': 'yes', 'name': 'Mas Cremat', 'public_transport': 'stop_position'}"
"Mas Florit"	"Mas Florit"							"node"	" 331360865"		"{'bus': 'yes', 'name': 'Mas Florit', 'public_transport': 'stop_position'}"
"Mas Torrents"	"Mas Torrents"							"node"	"1874244019"		"{'bus': 'yes', 'highway': 'bus_stop', 'local_ref': 'L9', 'name': 'Mas Torrents'}"
