"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Bosch"	"Can Bosch"							"way"	"341513686"		"{'building': 'house', 'name': 'Can Bosch'}"
"Can Ceba"	"Can Ceba"							"node"	"3607366378"		"{'name': 'Can Ceba', 'place': 'isolated_dwelling'}"
"Can Clanxet"	"Can Clanxet"							"node"	"10098731019"		"{'name': 'Can Clanxet', 'place': 'isolated_dwelling'}"
"Can Cortina"	"Can Cortina"							"way"	"341513688"		"{'building': 'house', 'name': 'Can Cortina'}"
"Can Garola"	"Can Garola"							"node"	"10098688316"		"{'name': 'Can Garola', 'place': 'isolated_dwelling'}"
"Can Mateu"	"Can Mateu"							"node"	"10098688310"		"{'name': 'Can Mateu', 'place': 'isolated_dwelling'}"
"Can Miloca"	"Can Miloca"							"node"	"3607367827"		"{'name': 'Can Miloca', 'place': 'isolated_dwelling'}"
"Can Móra"	"Can Móra"							"node"	"10098688311"		"{'name': 'Can Móra', 'place': 'isolated_dwelling'}"
"Can Padró"	"Can Padró"							"node"	"10098731023"		"{'name': 'Can Padró', 'place': 'isolated_dwelling'}"
"Can Pellofa"	"Can Pellofa"							"node"	"5916287043"		"{'name': 'Can Pellofa', 'place': 'isolated_dwelling'}"
"Can Quatre Pams"	"Can Quatre Pams"							"node"	"10098731021"		"{'name': 'Can Quatre Pams', 'place': 'isolated_dwelling'}"
"Can Ranxo"	"Can Ranxo"							"node"	"5916287042"		"{'name': 'Can Ranxo', 'place': 'isolated_dwelling'}"
"Can Roc I"	"Can Roc I"							"node"	"10098688314"		"{'name': 'Can Roc I', 'place': 'isolated_dwelling'}"
"Can Roc II"	"Can Roc II"							"node"	"10098688315"		"{'name': 'Can Roc II', 'place': 'isolated_dwelling'}"
"Can Salva"	"Can Salva"							"node"	"6875269228"		"{'amenity': 'restaurant', 'name': 'Can Salva'}"
"Can Tetes"	"Can Tetes"							"node"	"6875269225"		"{'amenity': 'bar', 'name': 'Can Tetes'}"
"Font de la Pintoresca"	"Font de la Pintoresca"							"node"	"3072055732"		"{'amenity': 'drinking_water', 'name': 'Font de la Pintoresca'}"
"Torrent de Vila-seca"	"Torrent de Vila-seca"							"way"	"627189885"		"{'intermittent': 'yes', 'name': 'Torrent de Vila-seca', 'waterway': 'stream'}"
"Torrent de Vila-Seca"	"Torrent de Vila-Seca"							"way"	"627189881"		"{'intermittent': 'yes', 'name': 'Torrent de Vila-Seca', 'waterway': 'stream'}"
"Torrent de Vila-Seca"	"Torrent de Vila-Seca"							"way"	"627189882"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Vila-Seca', 'tunnel': 'yes', 'waterway': 'stream'}"
"Turó de Santa Anna"	"Turó de Santa Anna"							"node"	"1241597983"		"{'name': 'Turó de Santa Anna', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
