"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Pla d'en Cuca"	"Pla d'en Cuca"							"node"	"1241590443"		"{'name': \"Pla d'en Cuca\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla d'Espolla"	"Pla d'Espolla"							"node"	"1241601213"		"{'name': \"Pla d'Espolla\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de Bàscara"	"Pla de Bàscara"							"node"	"1241582974"		"{'name': 'Pla de Bàscara', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de Calabuig"	"Pla de Calabuig"							"node"	"1241599116"		"{'name': 'Pla de Calabuig', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Rec de Mas d'Espolla"	"Rec de Mas d'Espolla"							"way"	"527234639"		"{'name': \"Rec de Mas d'Espolla\", 'source': 'Institut Cartogràfic de Catalunya, cartografia 1:5.000', 'waterway': 'stream'}"
"Rec de Mas d'Espolla"	"Rec de Mas d'Espolla"							"way"	"527234636"		"{'layer': '-1', 'name': \"Rec de Mas d'Espolla\", 'source': 'Institut Cartogràfic de Catalunya, cartografia 1:5.000', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Rec de Mas d'Espolla"	"Rec de Mas d'Espolla"							"way"	"527234612"		"{'name': \"Rec de Mas d'Espolla\", 'source': 'Institut Cartogràfic de Catalunya, cartografia 1:5.000', 'waterway': 'stream'}"
"Rec de Mas d'Espolla"	"Rec de Mas d'Espolla"							"way"	"527234618"		"{'layer': '-1', 'name': \"Rec de Mas d'Espolla\", 'source': 'Institut Cartogràfic de Catalunya, cartografia 1:5.000', 'tunnel': 'yes', 'waterway': 'stream'}"
"Rec de Mas d'Espolla"	"Rec de Mas d'Espolla"							"way"	"527234629"		"{'name': \"Rec de Mas d'Espolla\", 'source': 'Institut Cartogràfic de Catalunya, cartografia 1:5.000', 'waterway': 'stream'}"
"Rec de Mas d'Espolla"	"Rec de Mas d'Espolla"							"way"	"527234625"		"{'layer': '-1', 'name': \"Rec de Mas d'Espolla\", 'source': 'Institut Cartogràfic de Catalunya, cartografia 1:5.000', 'tunnel': 'yes', 'waterway': 'stream'}"
