"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Cambrils"	"Ajuntament de Cambrils"							"way"	" 306529595"	"name:es=ayuntamiento de Cambrils"	"{'amenity': 'townhall', 'building': 'yes', 'name': 'Ajuntament de Cambrils', 'name:es': 'ayuntamiento de Cambrils', 'source': 'bing'}"
"Mas del Grifoll"	"Mas del Grifoll"							"node"	"1241771715"		"{'name': 'Mas del Grifoll', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Mas dels Tegells"	"Mas dels Tegells"							"way"	" 485092133"		"{'building': 'yes', 'name': 'Mas dels Tegells'}"
"Mas Foresa"	"Mas Foresa"							"way"	" 570661722"		"{'crop': 'wheat', 'landuse': 'farmland', 'name': 'Mas Foresa', 'produce': 'oil'}"
"Mas Gallau"	"Mas Gallau"							"way"	" 713468171"		"{'name': 'Mas Gallau', 'tourism': 'hotel'}"
"Mas Montbrió Belvedere"	"Mas Montbrió Belvedere"							"way"	" 531232936"		"{'area': 'yes', 'name': 'Mas Montbrió Belvedere', 'place': 'isolated_dwelling', 'tourism': 'chalet', 'website': 'https://www.montbriobelvedere.com/'}"
"Platja Cap de Sant Pere"	"Platja Cap de Sant Pere"							"relation"	"   1748107"		"{'name': 'Platja Cap de Sant Pere', 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}"
"Platja Cavet"	"Platja Cavet"							"relation"	"   1749457"		"{'name': 'Platja Cavet', 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}"
"Platja de L'Esquirol"	"Platja de L'Esquirol"							"relation"	"   1747964"		"{'name': \"Platja de L'Esquirol\", 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}"
"Platja del Regueral"	"Platja del Regueral"							"relation"	"   1747893"		"{'name': 'Platja del Regueral', 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}"
"Platja del Torrent d'en Gener"	"Platja del Torrent d'en Gener"							"relation"	"  14486574"		"{'name': \"Platja del Torrent d'en Gener\", 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}"
"Platja El Mas De L'Arany"	"Platja El Mas De L'Arany"							"relation"	"   1749801"		"{'name': \"Platja El Mas De L'Arany\", 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}"
"Platja L'Ardiaca"	"Platja L'Ardiaca"							"relation"	"   1749790"		"{'name': \"Platja L'Ardiaca\", 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}"
"Platja La Llosa"	"Platja La Llosa"							"relation"	"   1749758"		"{'name': 'Platja La Llosa', 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}"
"Platja Vilafortuny"	"Platja Vilafortuny"							"relation"	"   1747965"		"{'name': 'Platja Vilafortuny', 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}"
