"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Campdevànol"	"Ajuntament de Campdevànol"							"node"	"7026376359"		"{'amenity': 'townhall', 'name': 'Ajuntament de Campdevànol'}"
"Mas Coromina"	"Mas Coromina"							"way"	"1037810975"		"{'building': 'house', 'name': 'Mas Coromina'}"
"Mas Coronetes"	"Mas Coronetes"							"node"	"8705214622"		"{'board_type': 'history', 'information': 'board', 'name': 'Mas Coronetes', 'tourism': 'information'}"
"Mas de l'Empalme"	"Mas de l'Empalme"							"way"	"1037810958"		"{'building': 'house', 'building:levels': '3', 'name': \"Mas de l'Empalme\", 'roof:levels': '0'}"
"Mas del Carme"	"Mas del Carme"							"way"	"1037810997"		"{'building': 'house', 'name': 'Mas del Carme'}"
"Mas el Cornut"	"Mas el Cornut"							"node"	"8704260218"		"{'board_type': 'history', 'information': 'board', 'name': 'Mas el Cornut', 'tourism': 'information'}"
"Mas Pujol"	"Mas Pujol"							"node"	"3476261116"		"{'name': 'Mas Pujol', 'place': 'isolated_dwelling'}"
"Mas Pujol"	"Mas Pujol"							"node"	"9835560111"		"{'email': 'maspujol79@gmail.com', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'name': 'Mas Pujol', 'tourism': 'apartment', 'website': 'https://maspujol.net/'}"
"Riu Freser"	"Riu Freser"							"relation"	"  10363493"		"{'intermittent': 'no', 'name': 'Riu Freser', 'natural': 'water', 'type': 'multipolygon', 'water': 'river'}"
"Riu Merdàs"	"Riu Merdàs"							"relation"	"  14230249"		"{'name': 'Riu Merdàs', 'natural': 'water', 'type': 'multipolygon', 'water': 'river'}"
