"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Batlle"	"Can Batlle"							"way"	"463697825"		"{'building': 'house', 'name': 'Can Batlle'}"
"Can Biel Misser"	"Can Biel Misser"							"way"	"463696336"		"{'building': 'house', 'building:levels': '3', 'name': 'Can Biel Misser'}"
"Can Catà"	"Can Catà"							"way"	"574198588"		"{'building': 'house', 'name': 'Can Catà'}"
"Can Corbera de Dalt"	"Can Corbera de Dalt"							"way"	"463696996"		"{'building': 'house', 'name': 'Can Corbera de Dalt'}"
"Can Gallina"	"Can Gallina"							"way"	"721106285"		"{'building': 'yes', 'name': 'Can Gallina'}"
"Can Genis Carbonell"	"Can Genis Carbonell"							"way"	"463490112"		"{'building': 'house', 'name': 'Can Genis Carbonell'}"
"Can Giol"	"Can Giol"							"way"	"463697581"		"{'building': 'house', 'name': 'Can Giol'}"
"Can Jover"	"Can Jover"							"way"	"463696559"		"{'building': 'house', 'name': 'Can Jover'}"
"Can Roig Claret"	"Can Roig Claret"							"way"	"463694098"		"{'building': 'house', 'name': 'Can Roig Claret'}"
"Can Rovira"	"Can Rovira"							"way"	"463490186"		"{'building': 'house', 'name': 'Can Rovira'}"
"Can Tomàs Jover"	"Can Tomàs Jover"							"way"	"579520390"		"{'building': 'house', 'name': 'Can Tomàs Jover'}"
"Font del drac"	"Font del drac"							"node"	"5480122868"		"{'historic': 'memorial', 'memorial': 'sculpture', 'name': 'Font del drac'}"
"Font dels Gossos"	"Font dels Gossos"							"node"	"9721103717"		"{'amenity': 'drinking_water', 'name': 'Font dels Gossos'}"
"Torrent de Can Panet"	"Torrent de Can Panet"							"way"	"661879107"		"{'intermittent': 'yes', 'name': 'Torrent de Can Panet', 'waterway': 'stream'}"
"Torrent de Can Panet"	"Torrent de Can Panet"							"way"	"660543074"		"{'ford': 'yes', 'highway': 'track', 'intermittent': 'yes', 'name': 'Torrent de Can Panet', 'waterway': 'stream'}"
"Torrent de les Pruneres"	"Torrent de les Pruneres"							"way"	"462616621"		"{'intermittent': 'yes', 'name': 'Torrent de les Pruneres', 'waterway': 'stream'}"
"Torrent del Gel"	"Torrent del Gel"							"way"	"661879108"		"{'ford': 'yes', 'highway': 'track', 'intermittent': 'yes', 'name': 'Torrent del Gel', 'waterway': 'stream'}"
"Torrent del Gel"	"Torrent del Gel"							"way"	"660543073"		"{'intermittent': 'yes', 'name': 'Torrent del Gel', 'waterway': 'stream'}"
"Torrent del Gel"	"Torrent del Gel"							"way"	"462611401"		"{'highway': 'path', 'name': 'Torrent del Gel'}"
"Torrent dels Lledoners"	"Torrent dels Lledoners"							"way"	"924868414"		"{'highway': 'residential', 'name': 'Torrent dels Lledoners'}"
"Torrent dels Lledoners"	"Torrent dels Lledoners"							"way"	"569936677"		"{'description': 'Tramo inundable', 'intermittent': 'yes', 'name': 'Torrent dels Lledoners', 'waterway': 'stream'}"
"Torrent dels Lledoners"	"Torrent dels Lledoners"							"way"	"660543051"		"{'description': 'Tramo inundable', 'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent dels Lledoners', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent dels Lledoners"	"Torrent dels Lledoners"							"way"	"660543052"		"{'description': 'Tramo inundable', 'intermittent': 'yes', 'name': 'Torrent dels Lledoners', 'waterway': 'stream'}"
"Torrent dels Lledoners"	"Torrent dels Lledoners"							"way"	"75601300"		"{'highway': 'residential', 'name': 'Torrent dels Lledoners', 'oneway': 'yes', 'sidewalk': 'left'}"
"Torrent dels Lledoners"	"Torrent dels Lledoners"							"way"	"1052740655"		"{'highway': 'residential', 'name': 'Torrent dels Lledoners', 'oneway': 'yes'}"
"Torrent dels Lledoners"	"Torrent dels Lledoners"							"way"	"1052740659"		"{'highway': 'residential', 'name': 'Torrent dels Lledoners', 'oneway': 'yes'}"
"Torrent dels Lledoners"	"Torrent dels Lledoners"							"way"	"710700019"		"{'highway': 'residential', 'name': 'Torrent dels Lledoners'}"
"Turó del Drac"	"Turó del Drac"							"way"	"461186029"		"{'leisure': 'park', 'name': 'Turó del Drac'}"
"Turó del Drac"	"Turó del Drac"							"way"	"994857433"		"{'highway': 'footway', 'name': 'Turó del Drac', 'surface': 'concrete', 'wheelchair': 'yes'}"
"Turó del Drac"	"Turó del Drac"							"way"	"994857430"		"{'highway': 'footway', 'name': 'Turó del Drac', 'surface': 'concrete', 'wheelchair': 'yes'}"
"Turó del Drac"	"Turó del Drac"							"way"	"994857431"		"{'highway': 'footway', 'name': 'Turó del Drac', 'surface': 'concrete', 'wheelchair': 'yes'}"
"Turó del Drac"	"Turó del Drac"							"way"	"994857432"		"{'highway': 'footway', 'name': 'Turó del Drac', 'surface': 'concrete', 'wheelchair': 'yes'}"
"Turó del Drac"	"Turó del Drac"							"way"	"994857434"		"{'highway': 'footway', 'name': 'Turó del Drac', 'surface': 'concrete', 'wheelchair': 'yes'}"
