"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda Castellmar"	"Avinguda Castellmar"							"way"	" 169778297"		"{'highway': 'residential', 'lit': 'yes', 'name': 'Avinguda Castellmar', 'sidewalk': 'both', 'surface': 'concrete'}"
"Avinguda Castellmar"	"Avinguda Castellmar"							"way"	" 169778290"		"{'highway': 'residential', 'name': 'Avinguda Castellmar'}"
"Avinguda de Castellmar"	"Avinguda de Castellmar"							"way"	" 169778262"		"{'highway': 'residential', 'name': 'Avinguda de Castellmar', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda del Doctor Fleming"	"Avinguda del Doctor Fleming"							"way"	" 169722034"	"name:etymology:wikidata=Q37064"	"{'highway': 'residential', 'motorcycle': 'yes', 'name': 'Avinguda del Doctor Fleming', 'name:etymology:wikidata': 'Q37064', 'sidewalk': 'both', 'surface': 'asphalt', 'width': '9'}"
"Avinguda del Doctor Fleming"	"Avinguda del Doctor Fleming"							"way"	" 721215847"	"name:etymology:wikidata=Q37064"	"{'highway': 'residential', 'motorcycle': 'yes', 'name': 'Avinguda del Doctor Fleming', 'name:etymology:wikidata': 'Q37064', 'oneway': 'yes', 'surface': 'asphalt', 'width': '9'}"
"Avinguda del General Moragas"	"Avinguda del General Moragas"							"way"	" 107540016"		"{'cycleway:both': 'no', 'highway': 'residential', 'lit': 'yes', 'maxspeed:type': 'ES:urban', 'name': 'Avinguda del General Moragas', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda del General Moragas"	"Avinguda del General Moragas"							"way"	"  75422346"		"{'cycleway:both': 'no', 'highway': 'residential', 'lit': 'yes', 'maxspeed:type': 'ES:urban', 'name': 'Avinguda del General Moragas', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda del Maresme"	"Avinguda del Maresme"							"way"	" 194487129"		"{'highway': 'residential', 'name': 'Avinguda del Maresme', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda del Maresme"	"Avinguda del Maresme"							"way"	" 194487130"		"{'highway': 'residential', 'name': 'Avinguda del Maresme', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda del Maresme"	"Avinguda del Maresme"							"way"	" 677874960"		"{'highway': 'residential', 'name': 'Avinguda del Maresme', 'oneway': 'yes', 'surface': 'asphalt'}"
"Camí de Canet a Arenys de Munt"	"Camí de Canet a Arenys de Munt"							"way"	" 661879110"		"{'highway': 'track', 'name': 'Camí de Canet a Arenys de Munt', 'surface': 'sand', 'tracktype': 'grade1'}"
"Camí de Canet a Sant Cebrià"	"Camí de Canet a Sant Cebrià"							"way"	" 169865803"		"{'highway': 'track', 'name': 'Camí de Canet a Sant Cebrià', 'surface': 'ground', 'tracktype': 'grade3'}"
"Camí de Coll Safiguera"	"Camí de Coll Safiguera"							"way"	"  77379824"		"{'highway': 'track', 'name': 'Camí de Coll Safiguera', 'surface': 'sand', 'tracktype': 'grade3', 'width': '7'}"
"Camí de la Serra del Puig"	"Camí de la Serra del Puig"							"way"	" 246513901"		"{'highway': 'track', 'name': 'Camí de la Serra del Puig', 'tracktype': 'grade2'}"
"Camí del Fangar"	"Camí del Fangar"							"way"	" 358674267"		"{'highway': 'track', 'name': 'Camí del Fangar', 'tracktype': 'grade2'}"
"Carrer Ample"	"Carrer Ample"							"way"	"  75422357"		"{'highway': 'residential', 'lit': 'yes', 'name': 'Carrer Ample', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Carrer Caldeta"	"Carrer Caldeta"							"way"	"  80143797"		"{'highway': 'residential', 'lit': 'yes', 'motor_vehicle': 'destination', 'name': 'Carrer Caldeta', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Carrer Canigò"	"Carrer Canigò"							"way"	" 169722100"		"{'highway': 'residential', 'name': 'Carrer Canigò', 'oneway': 'yes'}"
"Carrer Concordia"	"Carrer Concordia"							"way"	" 443464387"		"{'highway': 'residential', 'motorcycle': 'yes', 'name': 'Carrer Concordia', 'oneway': 'yes', 'surface': 'asphalt', 'width': '9'}"
"Carrer d'Abell"	"Carrer d'Abell"							"way"	" 169722036"		"{'highway': 'residential', 'name': \"Carrer d'Abell\", 'oneway': 'yes'}"
"Carrer d'Abell Baix"	"Carrer d'Abell Baix"							"way"	" 169722037"		"{'highway': 'residential', 'name': \"Carrer d'Abell Baix\"}"
"Carrer d'Abell Baix"	"Carrer d'Abell Baix"							"way"	" 194493751"		"{'highway': 'residential', 'motor_vehicle': 'no', 'name': \"Carrer d'Abell Baix\"}"
