"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Balart"	"Can Balart"							"node"	"7522629083"		"{'name': 'Can Balart', 'place': 'isolated_dwelling'}"
"Can Riera"	"Can Riera"							"node"	"7522629084"		"{'name': 'Can Riera', 'place': 'isolated_dwelling'}"
"Can Serreta"	"Can Serreta"							"node"	"7522559565"		"{'name': 'Can Serreta', 'place': 'isolated_dwelling'}"
"Can Viladomat"	"Can Viladomat"							"node"	"7522665385"		"{'name': 'Can Viladomat', 'place': 'isolated_dwelling'}"
"Coll de l'Era"	"Coll de l'Era"							"node"	"6359988465"		"{'ele': '1297.8', 'name': \"Coll de l'Era\", 'natural': 'saddle'}"
"Coll del Bassot"	"Coll del Bassot"							"node"	"3676335672"		"{'ele': '1294,3', 'name': 'Coll del Bassot', 'natural': 'saddle'}"
"font de la Mina"	"font de la Mina"							"node"	"6051564383"		"{'name': 'font de la Mina', 'natural': 'spring'}"
"Font de la Salut"	"Font de la Salut"							"node"	"6051552474"		"{'name': 'Font de la Salut', 'natural': 'spring'}"
"Font dels Tossals"	"Font dels Tossals"							"node"	"6164632516"		"{'name': 'Font dels Tossals', 'natural': 'spring'}"
"Serra de Queralt"	"Serra de Queralt"			"Serra de Queralt (Berguedà), Serra de Queralt (Berga)"	"Serra de Queralt (Berguedà)"	"mountain range"	"Q11703833"	"way"	"279044705"		"{'name': 'Serra de Queralt', 'natural': 'ridge', 'wikidata': 'Q11703833', 'wikipedia': 'ca:Serra de Queralt (Berguedà)'}"
"Serra dels Lladres"	"Serra dels Lladres"							"node"	"1241564734"		"{'ele': '1601', 'name': 'Serra dels Lladres', 'natural': 'peak', 'prominence': '293'}"
"Serra dels Tossals"	"Serra dels Tossals"							"node"	"1241572266"		"{'name': 'Serra dels Tossals', 'place': 'locality'}"
"Serra dels Tossals"	"Serra dels Tossals"							"way"	"845120058"		"{'name': 'Serra dels Tossals', 'natural': 'ridge'}"
"Serrat de la Moneda"	"Serrat de la Moneda"							"node"	"3770302479"		"{'ele': '1286.4', 'name': 'Serrat de la Moneda', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Serrat de les Greixes"	"Serrat de les Greixes"							"node"	"3770302482"		"{'ele': '1349.1', 'name': 'Serrat de les Greixes', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Serrat de les Pipes"	"Serrat de les Pipes"							"way"	"845957135"		"{'name': 'Serrat de les Pipes', 'natural': 'ridge'}"
"Serrat de Malla"	"Serrat de Malla"							"node"	"3770302476"		"{'ele': '1242.2', 'name': 'Serrat de Malla', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Serrat del Cap de la Costa"	"Serrat del Cap de la Costa"							"node"	"1241565436"		"{'name': 'Serrat del Cap de la Costa', 'place': 'locality'}"
"Serrat del Moro"	"Serrat del Moro"							"node"	"6164632501"		"{'ele': '1402.7', 'name': 'Serrat del Moro', 'natural': 'peak'}"
"Serrat Gran"	"Serrat Gran"							"node"	"1241559975"		"{'name': 'Serrat Gran', 'place': 'locality'}"
