"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Balcells"	"Can Balcells"							"way"	"773569277"		"{'building': 'ruins', 'name': 'Can Balcells'}"
"Can Fangars"	"Can Fangars"							"node"	"5184134879"		"{'historic': 'ruins', 'name': 'Can Fangars'}"
"Font Farigola"	"Font Farigola"							"node"	"7239724617"		"{'leisure': 'park', 'name': 'Font Farigola'}"
"Puig d'Orpinell"	"Puig d'Orpinell"							"node"	"576779016"		"{'ele': '736', 'name': \"Puig d'Orpinell\", 'natural': 'peak'}"
"Torrent de Cal Palet"	"Torrent de Cal Palet"							"way"	"909254661"		"{'intermittent': 'yes', 'name': 'Torrent de Cal Palet', 'waterway': 'stream'}"
"Torrent de la Font Canyeta"	"Torrent de la Font Canyeta"							"way"	"904096638"		"{'intermittent': 'yes', 'name': 'Torrent de la Font Canyeta', 'waterway': 'stream'}"
"Torrent de la Font de l'Astruc"	"Torrent de la Font de l'Astruc"							"way"	"909254662"		"{'intermittent': 'yes', 'name': \"Torrent de la Font de l'Astruc\", 'waterway': 'stream'}"
"Torrent de les Garrigues"	"Torrent de les Garrigues"							"way"	"904106652"		"{'intermittent': 'yes', 'name': 'Torrent de les Garrigues', 'waterway': 'stream'}"
"Turó de la Solana de Can Guineu"	"Turó de la Solana de Can Guineu"							"node"	"8396616987"		"{'ele': '351.4', 'name': 'Turó de la Solana de Can Guineu', 'natural': 'peak'}"
