"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Castell d'Aro"	"Castell d'Aro"							"node"	"8357892156"		"{'ele': '14', 'man_made': 'monitoring_station', 'monitoring:weather': 'yes', 'name': \"Castell d'Aro\", 'operator': 'Servei Meteorològic de Catalunya', 'operator:wikidata': 'Q11949463', 'operator:wikipedia': 'ca:Servei Meteorològic de Catalunya', 'recording:automated': 'yes', 'start_date': '2001-05-10', 'website': 'https://www.meteo.cat/observacions/xema/dades?codi=DO'}"
"Castell d'Aro"	"Castell d'Aro"							"node"	"3044321951"		"{'name': \"Castell d'Aro\", 'place': 'village'}"
"Castell d'Aro"	"Castell d'Aro"							"relation"	"   9375028"		"{'landuse': 'residential', 'name': \"Castell d'Aro\", 'type': 'multipolygon'}"
"Mas Bou"	"Mas Bou"							"way"	" 202791696"		"{'building': 'yes', 'name': 'Mas Bou', 'place': 'isolated_dwelling'}"
"Mas Nou"	"Mas Nou"							"node"	" 290911455"		"{'name': 'Mas Nou', 'place': 'locality'}"
"Mas Pou"	"Mas Pou"							"way"	" 277516771"		"{'building': 'yes', 'name': 'Mas Pou'}"
"Palau d'Esports de i Congressos"	"Palau d'Esports de i Congressos"							"way"	" 167440286"		"{'building': 'yes', 'name': \"Palau d'Esports de i Congressos\"}"
"Platja d'Aro, Castell d'Aro"	"Platja d'Aro, Castell d'Aro"							"node"	"5563106423"		"{'bus': 'yes', 'highway': 'bus_stop', 'name': \"Platja d'Aro, Castell d'Aro\", 'operator': 'Sarbus - Sarfa', 'public_transport': 'stop_position'}"
"Platja D'Aro, Castell D'Aro"	"Platja D'Aro, Castell D'Aro"							"node"	"5563106478"		"{'bus': 'yes', 'name': \"Platja D'Aro, Castell D'Aro\", 'operator': 'Sarbus - Sarfa', 'public_transport': 'platform', 'ref': '504'}"
"Platja d'Aro, Sarfa"	"Platja d'Aro, Sarfa"							"node"	"5563106477"		"{'bus': 'yes', 'name': \"Platja d'Aro, Sarfa\", 'operator': 'Sarbus - Sarfa', 'public_transport': 'platform', 'ref': '16068'}"
"Platja de Port d'Aro (Punta Prima)"	"Platja de Port d'Aro (Punta Prima)"							"relation"	"   8280344"		"{'name': \"Platja de Port d'Aro (Punta Prima)\", 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}"
"Platja de Sa Conca"	"Platja de Sa Conca"							"relation"	"   8280364"		"{'name': 'Platja de Sa Conca', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja de Sant Pol"	"Platja de Sant Pol"							"relation"	"   2154198"	"name:es=Playa de San Pablo"	"{'name': 'Platja de Sant Pol', 'name:es': 'Playa de San Pablo', 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}"
"Platja Llarga"	"Platja Llarga"							"relation"	"   6503689"		"{'name': 'Platja Llarga', 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}"
"Riu Ràpid"	"Riu Ràpid"							"way"	" 200359107"		"{'attraction': 'water_slide', 'name': 'Riu Ràpid'}"
