"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Gall de Baix"	"Can Gall de Baix"							"node"	"6887976648"		"{'name': 'Can Gall de Baix', 'place': 'isolated_dwelling'}"
"Can Gall de Dalt"	"Can Gall de Dalt"							"node"	"5250183821"		"{'historic': 'ruins', 'name': 'Can Gall de Dalt'}"
"Can Gall de Dalt"	"Can Gall de Dalt"							"node"	"1241563483"		"{'name': 'Can Gall de Dalt', 'place': 'locality'}"
"Can Grau"	"Can Grau"							"node"	"1241548269"		"{'name': 'Can Grau', 'place': 'isolated_dwelling'}"
"Can Padró"	"Can Padró"							"node"	"6862351719"		"{'name': 'Can Padró', 'place': 'isolated_dwelling'}"
"Can Prat"	"Can Prat"							"node"	"6317939103"		"{'name': 'Can Prat', 'place': 'neighbourhood'}"
"Can Prat"	"Can Prat"							"node"	"5404911645"		"{'name': 'Can Prat', 'place': 'neighbourhood'}"
"Can Puig"	"Can Puig"							"node"	"1241565725"		"{'name': 'Can Puig', 'place': 'locality'}"
"Coll de la Creu del Capellà"	"Coll de la Creu del Capellà"							"node"	"9465336317"		"{'ele': '418.7', 'name': 'Coll de la Creu del Capellà', 'natural': 'saddle'}"
"Font de l'Alba"	"Font de l'Alba"							"node"	"8114587780"		"{'name': \"Font de l'Alba\", 'natural': 'spring'}"
"Font de la Canaleta"	"Font de la Canaleta"							"node"	"6804283585"		"{'name': 'Font de la Canaleta', 'natural': 'spring'}"
"Font del Carner"	"Font del Carner"							"node"	"1690379439"		"{'name': 'Font del Carner', 'natural': 'spring'}"
"Serra de l'Obaga Fosca"	"Serra de l'Obaga Fosca"							"node"	"1241569032"		"{'name': \"Serra de l'Obaga Fosca\", 'place': 'locality'}"
"Serra del Casot"	"Serra del Casot"							"node"	"1241551998"		"{'name': 'Serra del Casot', 'place': 'locality'}"
"Serrat de la Beguda"	"Serrat de la Beguda"							"node"	"1241559155"		"{'name': 'Serrat de la Beguda', 'place': 'locality'}"
"Torrent de Can Jan"	"Torrent de Can Jan"							"way"	"735094806"		"{'name': 'Torrent de Can Jan', 'waterway': 'stream'}"
"Torrent de Can Joan Domingo"	"Torrent de Can Joan Domingo"							"way"	"191901844"		"{'name': 'Torrent de Can Joan Domingo', 'waterway': 'stream'}"
"Torrent de Can Martorell"	"Torrent de Can Martorell"							"way"	"182464454"		"{'intermittent': 'yes', 'name': 'Torrent de Can Martorell', 'waterway': 'stream'}"
"Torrent de Can Padró"	"Torrent de Can Padró"							"way"	"783118511"		"{'intermittent': 'yes', 'name': 'Torrent de Can Padró', 'waterway': 'stream'}"
"Torrent de Can Padró"	"Torrent de Can Padró"							"way"	"191901845"		"{'name': 'Torrent de Can Padró', 'waterway': 'stream'}"
"Torrent de Can Padró"	"Torrent de Can Padró"							"way"	"884174780"		"{'intermittent': 'yes', 'name': 'Torrent de Can Padró', 'waterway': 'stream'}"
"Torrent de Can Padró"	"Torrent de Can Padró"							"way"	"884174781"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Can Padró', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Torrent de l'Alba"	"Torrent de l'Alba"							"way"	"182516466"		"{'intermittent': 'yes', 'name': \"Torrent de l'Alba\", 'waterway': 'stream'}"
"Torrent de les Pasteres"	"Torrent de les Pasteres"							"way"	"735119528"		"{'name': 'Torrent de les Pasteres', 'waterway': 'stream'}"
"Torrent del Carner"	"Torrent del Carner"							"way"	"182464783"		"{'name': 'Torrent del Carner', 'waterway': 'stream'}"
"Torrent dels Abadals"	"Torrent dels Abadals"							"way"	"540170151"		"{'intermittent': 'yes', 'name': 'Torrent dels Abadals', 'waterway': 'stream'}"
"Turó de l'Escletxa"	"Turó de l'Escletxa"							"node"	"9492211376"		"{'ele': '419.1', 'fixme': \"Aquest és el veritable Turó de l'Escletxa, documentat des del segle passat. Font: Mapa Patrimoni Castellbell i el Vilar.\", 'name': \"Turó de l'Escletxa\", 'natural': 'peak'}"
"Turó de les Casetes"	"Turó de les Casetes"							"node"	"4382284932"		"{'ele': '295.5', 'name': 'Turó de les Casetes', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Turó de les Coixes"	"Turó de les Coixes"							"node"	"1241565584"		"{'name': 'Turó de les Coixes', 'place': 'locality'}"
"Turó del Colomer"	"Turó del Colomer"							"node"	"9465303915"		"{'ele': '431.9', 'name': 'Turó del Colomer', 'natural': 'peak'}"
"Turó del Montconill"	"Turó del Montconill"							"node"	"948708245"		"{'ele': '448.60', 'ign:latitud': '41.6287001564598995', 'ign:longitud': '1.8869514579440001', 'ign:red': 'Red Geodesica Nacional Convencional (ROI)', 'man_made': 'survey_point', 'name': 'Turó del Montconill', 'note': 'This is a point from an official geodetic network. Use it as a reference, but do NOT move it.', 'ref': '39227', 'source': 'Instituto Geográfico Nacional', 'source:ref': 'ftp://ftp.geodesia.ign.es'}"
"Turó del Pinsà"	"Turó del Pinsà"							"node"	"6325715268"		"{'ele': '336.1', 'name': 'Turó del Pinsà', 'natural': 'peak'}"
"Turó del Ros"	"Turó del Ros"							"node"	"3426985023"		"{'ele': '344.3', 'name': 'Turó del Ros', 'natural': 'peak', 'source': 'Institut Cartogràfic i Geològic de Catalunya'}"
