"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passatge d'Emili Vendrell"	"Passatge d'Emili Vendrell"							"way"	" 392507428"		"{'highway': 'residential', 'name': \"Passatge d'Emili Vendrell\"}"
"Passatge de Francesc Callao"	"Passatge de Francesc Callao"							"way"	" 392507438"		"{'highway': 'residential', 'name': 'Passatge de Francesc Callao'}"
"passatge de J. Aragay"	"passatge de J. Aragay"							"way"	" 147538083"		"{'highway': 'residential', 'name': 'passatge de J. Aragay'}"
"Passatge de l'Agricultura"	"Passatge de l'Agricultura"							"way"	"  48071906"		"{'highway': 'residential', 'name': \"Passatge de l'Agricultura\"}"
"Passatge de la Palmera"	"Passatge de la Palmera"							"way"	" 393243586"		"{'highway': 'residential', 'name': 'Passatge de la Palmera'}"
"passatge de M. Fleta"	"passatge de M. Fleta"							"way"	" 392507442"		"{'highway': 'residential', 'name': 'passatge de M. Fleta'}"
"Passatge del Mestre Morera"	"Passatge del Mestre Morera"							"way"	" 133333934"		"{'highway': 'residential', 'name': 'Passatge del Mestre Morera'}"
"Passatge del Po"	"Passatge del Po"							"way"	" 147538063"		"{'highway': 'residential', 'name': 'Passatge del Po'}"
"Passatge del Po"	"Passatge del Po"							"way"	" 393243576"		"{'highway': 'residential', 'name': 'Passatge del Po'}"
"Passatge Hipólit Lázaro"	"Passatge Hipólit Lázaro"							"way"	" 392507433"		"{'highway': 'residential', 'name': 'Passatge Hipólit Lázaro'}"
"Passatge Lluís Maria Xirinacs"	"Passatge Lluís Maria Xirinacs"							"way"	" 146991413"		"{'highway': 'steps', 'name': 'Passatge Lluís Maria Xirinacs'}"
"Passatge Lluís Maria Xirinacs"	"Passatge Lluís Maria Xirinacs"							"way"	" 608573759"		"{'highway': 'unclassified', 'motor_vehicle': 'no', 'name': 'Passatge Lluís Maria Xirinacs', 'surface': 'paved'}"
"Passatge Tenor Viñas"	"Passatge Tenor Viñas"							"way"	" 392507435"		"{'highway': 'residential', 'name': 'Passatge Tenor Viñas'}"
"Passeig d'Esparraguera"	"Passeig d'Esparraguera"							"way"	" 555726569"		"{'highway': 'residential', 'name': \"Passeig d'Esparraguera\"}"
"Passeig d'Esparraguera"	"Passeig d'Esparraguera"							"way"	" 555726570"		"{'highway': 'residential', 'name': \"Passeig d'Esparraguera\"}"
"passeig d'Olesa"	"passeig d'Olesa"							"way"	" 783164890"		"{'highway': 'residential', 'name': \"passeig d'Olesa\"}"
