"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Clariana"	"Avinguda de Clariana"							"way"	"1098872227"		"{'cycleway:both': 'no', 'highway': 'tertiary', 'lanes': '2', 'name': 'Avinguda de Clariana', 'surface': 'asphalt'}"
"Avinguda de Clariana"	"Avinguda de Clariana"							"way"	" 401923806"		"{'highway': 'tertiary', 'name': 'Avinguda de Clariana'}"
"Avinguda de Cunit"	"Avinguda de Cunit"							"way"	" 151642089"		"{'highway': 'residential', 'name': 'Avinguda de Cunit'}"
"Avinguda de La Gornal"	"Avinguda de La Gornal"							"way"	" 151650614"		"{'highway': 'tertiary', 'name': 'Avinguda de La Gornal', 'oneway': 'no'}"
"Avinguda de la Mare de Déu de l'Assunció"	"Avinguda de la Mare de Déu de l'Assunció"							"way"	" 258956625"		"{'TODO': 'ref correct?', 'highway': 'residential', 'name': \"Avinguda de la Mare de Déu de l'Assunció\", 'oneway': 'no', 'ref': 'N-340a'}"
"Avinguda de Rocallisa"	"Avinguda de Rocallisa"							"way"	" 152254245"		"{'highway': 'residential', 'name': 'Avinguda de Rocallisa'}"
"Avinguda de Santa Maria de Montserrat"	"Avinguda de Santa Maria de Montserrat"							"way"	" 151650651"		"{'highway': 'residential', 'name': 'Avinguda de Santa Maria de Montserrat'}"
"Avinguda de Valldemar"	"Avinguda de Valldemar"							"way"	" 400554824"		"{'highway': 'tertiary', 'lanes': '1', 'maxspeed': '30', 'name': 'Avinguda de Valldemar', 'oneway': 'yes', 'source': 'survey 07.2021 and Imagery'}"
"Avinguda de Valldemar"	"Avinguda de Valldemar"							"way"	" 196602733"		"{'highway': 'tertiary', 'maxspeed': '30', 'name': 'Avinguda de Valldemar', 'source': 'survey 07.2021 and Imagery', 'source:maxspeed': 'sign'}"
"Avinguda de Valldemar"	"Avinguda de Valldemar"							"way"	" 196770304"		"{'highway': 'tertiary', 'name': 'Avinguda de Valldemar', 'oneway': 'yes'}"
"Avinguda de Valldemar"	"Avinguda de Valldemar"							"way"	" 400554823"		"{'highway': 'tertiary', 'lanes': '1', 'maxspeed': '30', 'name': 'Avinguda de Valldemar', 'oneway': 'yes', 'source': 'survey 07.2021 and Imagery'}"
"Avinguda de Valldemar"	"Avinguda de Valldemar"							"way"	" 400554822"		"{'highway': 'tertiary', 'lanes': '1', 'maxspeed': '30', 'name': 'Avinguda de Valldemar', 'oneway': 'yes', 'source': 'survey 07.2021 and Imagery'}"
"Avinguda de Valldemar"	"Avinguda de Valldemar"							"way"	" 196934772"		"{'highway': 'tertiary', 'maxspeed': '40', 'name': 'Avinguda de Valldemar', 'source': 'survey 07.2021 and Imagery', 'source:maxspeed': 'sign'}"
"Avinguda dels Jardins"	"Avinguda dels Jardins"							"way"	" 151650621"		"{'highway': 'residential', 'name': 'Avinguda dels Jardins'}"
"Avinguda dels Rosers"	"Avinguda dels Rosers"							"way"	" 151642120"		"{'highway': 'residential', 'name': 'Avinguda dels Rosers'}"
"Avinguda dels Rosers"	"Avinguda dels Rosers"							"way"	"1009896063"		"{'highway': 'residential', 'name': 'Avinguda dels Rosers', 'oneway': 'no'}"
"Avinguda dels Rosers"	"Avinguda dels Rosers"							"way"	"1009896065"		"{'highway': 'residential', 'name': 'Avinguda dels Rosers', 'oneway': 'no'}"
"Avinguda dels Rosers"	"Avinguda dels Rosers"							"way"	" 979542219"		"{'highway': 'residential', 'name': 'Avinguda dels Rosers'}"
"Avinguda dels Rosers"	"Avinguda dels Rosers"							"way"	" 151642093"		"{'highway': 'residential', 'name': 'Avinguda dels Rosers'}"
"Avinguda dels Rosers"	"Avinguda dels Rosers"							"way"	" 401923807"		"{'highway': 'residential', 'name': 'Avinguda dels Rosers'}"
"Camí de Bellvei a Banyeres del Penedès"	"Camí de Bellvei a Banyeres del Penedès"							"way"	" 166272085"		"{'highway': 'track', 'name': 'Camí de Bellvei a Banyeres del Penedès'}"
"Camí de Bellvei a Clariana"	"Camí de Bellvei a Clariana"							"way"	" 216384281"		"{'highway': 'track', 'mtb:scale': '1', 'name': 'Camí de Bellvei a Clariana', 'surface': 'ground', 'tracktype': 'grade2'}"
"Camí de Bellvei a Clariana"	"Camí de Bellvei a Clariana"							"way"	" 196600208"		"{'highway': 'track', 'name': 'Camí de Bellvei a Clariana', 'tracktype': 'grade1'}"
"Camí de Cal Cassanyes"	"Camí de Cal Cassanyes"							"way"	"  50261649"		"{'highway': 'track', 'mtb:scale': '1', 'mtb:scale:uphill': '2', 'name': 'Camí de Cal Cassanyes', 'surface': 'paved', 'tracktype': 'grade1'}"
"Camí de Cal Cassanyes"	"Camí de Cal Cassanyes"							"way"	" 530274923"		"{'highway': 'track', 'mtb:scale': '1', 'mtb:scale:uphill': '2', 'name': 'Camí de Cal Cassanyes', 'surface': 'unpaved', 'tracktype': 'grade2'}"
