"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Bernardí"	"Cal Bernardí"							"node"	"7679246306"		"{'historic': 'ruins', 'name': 'Cal Bernardí'}"
"Cal Guinard"	"Cal Guinard"							"node"	"2412243719"		"{'name': 'Cal Guinard', 'place': 'isolated_dwelling'}"
"Cal Miquelet"	"Cal Miquelet"							"node"	"2412296284"		"{'name': 'Cal Miquelet', 'place': 'isolated_dwelling'}"
"Cal Perutxo"	"Cal Perutxo"							"node"	"3521991997"		"{'historic': 'ruins', 'name': 'Cal Perutxo'}"
"Cal Quec"	"Cal Quec"							"node"	"2412296285"		"{'name': 'Cal Quec', 'place': 'isolated_dwelling'}"
"Cal Quec"	"Cal Quec"							"node"	"7679246307"		"{'historic': 'ruins', 'name': 'Cal Quec'}"
"Cal Roters"	"Cal Roters"							"node"	"7679246369"		"{'historic': 'ruins', 'name': 'Cal Roters'}"
"Cal Tiquet"	"Cal Tiquet"							"node"	"2412243721"		"{'name': 'Cal Tiquet', 'place': 'isolated_dwelling'}"
"Cal Tiquet"	"Cal Tiquet"							"node"	"8764998630"		"{'name': 'Cal Tiquet', 'place': 'locality'}"
"Obaga de Cal Roters"	"Obaga de Cal Roters"							"node"	"8764998661"		"{'name': 'Obaga de Cal Roters', 'place': 'locality'}"
"Obaga de Castellanes"	"Obaga de Castellanes"							"node"	"7679246364"		"{'name': 'Obaga de Castellanes', 'place': 'locality'}"
"Obaga de Gilet"	"Obaga de Gilet"							"node"	"7679246308"		"{'name': 'Obaga de Gilet', 'place': 'locality'}"
