"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de la Indústria"	"Avinguda de la Indústria"			""	""	""	""	"way"	" 157558964"	""	"{'highway': 'residential', 'name': 'Avinguda de la Indústria'}"
"Avinguda de Montserrat"	"Avinguda de Montserrat"			""	""	""	""	"way"	" 107063812"	""	"{'highway': 'residential', 'name': 'Avinguda de Montserrat', 'oneway': 'no'}"
"Avinguda de Montserrat"	"Avinguda de Montserrat"			""	""	""	""	"way"	" 157558883"	""	"{'highway': 'residential', 'name': 'Avinguda de Montserrat'}"
"Avinguda de Montserrat"	"Avinguda de Montserrat"			""	""	""	""	"way"	" 157558969"	""	"{'highway': 'residential', 'name': 'Avinguda de Montserrat'}"
"Avinguda de Roma"	"Avinguda de Roma"			""	""	""	""	"way"	" 189838868"	""	"{'bridge': 'yes', 'highway': 'residential', 'layer': '1', 'name': 'Avinguda de Roma'}"
"Avinguda de Roma"	"Avinguda de Roma"			""	""	""	""	"way"	" 189838872"	""	"{'highway': 'residential', 'name': 'Avinguda de Roma', 'surface': 'asphalt'}"
"Avinguda de Roma"	"Avinguda de Roma"			""	""	""	""	"way"	"  97403225"	""	"{'highway': 'residential', 'name': 'Avinguda de Roma'}"
"Avinguda de Roma"	"Avinguda de Roma"			""	""	""	""	"way"	"  97403230"	""	"{'highway': 'residential', 'name': 'Avinguda de Roma'}"
"Camí de Can Cassassaies"	"Camí de Can Cassassaies"			""	""	""	""	"way"	" 705930455"	""	"{'highway': 'track', 'name': 'Camí de Can Cassassaies', 'tracktype': 'grade2'}"
"Camí de Can Cassassaies"	"Camí de Can Cassassaies"			""	""	""	""	"way"	" 161858518"	""	"{'highway': 'track', 'name': 'Camí de Can Cassassaies', 'surface': 'unpaved', 'tracktype': 'grade2'}"
"Camí de Can Cassassaies"	"Camí de Can Cassassaies"			""	""	""	""	"way"	" 562101499"	""	"{'highway': 'track', 'name': 'Camí de Can Cassassaies', 'tracktype': 'grade2'}"
