"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Carreró de les Bruixes"	"Carreró de les Bruixes"							"way"	"181282322"		"{'highway': 'pedestrian', 'name': 'Carreró de les Bruixes', 'tunnel': 'yes'}"
"Carreró de les Bruixes"	"Carreró de les Bruixes"							"way"	"181282313"		"{'highway': 'pedestrian', 'name': 'Carreró de les Bruixes'}"
"Carreró de les Bruixes"	"Carreró de les Bruixes"							"way"	"181282310"		"{'highway': 'pedestrian', 'name': 'Carreró de les Bruixes', 'tunnel': 'yes'}"
"Carreró de les Bruixes"	"Carreró de les Bruixes"							"way"	"181282311"		"{'highway': 'pedestrian', 'name': 'Carreró de les Bruixes'}"
"Carreró de les Bruixes"	"Carreró de les Bruixes"							"way"	"181282312"		"{'highway': 'pedestrian', 'name': 'Carreró de les Bruixes'}"
"Carreró de les Bruixes"	"Carreró de les Bruixes"							"way"	"181282319"		"{'highway': 'pedestrian', 'name': 'Carreró de les Bruixes', 'tunnel': 'yes'}"
"Carreró de les Bruixes"	"Carreró de les Bruixes"							"way"	"181282320"		"{'highway': 'pedestrian', 'layer': '-1', 'name': 'Carreró de les Bruixes', 'tunnel': 'yes'}"
"Carreró de les Bruixes"	"Carreró de les Bruixes"							"way"	"181282317"		"{'highway': 'pedestrian', 'name': 'Carreró de les Bruixes', 'tunnel': 'yes'}"
"Carreró de les Bruixes"	"Carreró de les Bruixes"							"way"	"181282318"		"{'highway': 'pedestrian', 'name': 'Carreró de les Bruixes', 'tunnel': 'yes'}"
"Carreró de les Bruixes"	"Carreró de les Bruixes"							"way"	"181282321"		"{'highway': 'pedestrian', 'name': 'Carreró de les Bruixes'}"
"Carreró de les Bruixes"	"Carreró de les Bruixes"							"way"	"222319193"		"{'highway': 'pedestrian', 'layer': '-1', 'name': 'Carreró de les Bruixes', 'tunnel': 'yes'}"
"Carreró del Remor"	"Carreró del Remor"							"way"	"401946199"		"{'highway': 'pedestrian', 'lit': 'yes', 'name': 'Carreró del Remor', 'surface': 'sett'}"
"Carreró del Remor"	"Carreró del Remor"							"way"	"181282316"		"{'highway': 'pedestrian', 'lit': 'no', 'name': 'Carreró del Remor', 'surface': 'sett', 'tunnel': 'yes'}"
"Carreró del Salí"	"Carreró del Salí"							"way"	"177353791"		"{'highway': 'residential', 'maxspeed': '20', 'maxspeed:type': 'ES:zone20', 'name': 'Carreró del Salí'}"
"Passatge del Sindicat Agrícola"	"Passatge del Sindicat Agrícola"							"way"	"307190130"		"{'highway': 'pedestrian', 'name': 'Passatge del Sindicat Agrícola'}"
"Passatge del Sindicat Agrícola"	"Passatge del Sindicat Agrícola"							"way"	"307190131"		"{'highway': 'pedestrian', 'name': 'Passatge del Sindicat Agrícola'}"
"Passatge del Sindicat Agrícola"	"Passatge del Sindicat Agrícola"							"way"	"318508713"		"{'highway': 'pedestrian', 'name': 'Passatge del Sindicat Agrícola'}"
"Passatge Emsesa"	"Passatge Emsesa"							"way"	"307193474"		"{'highway': 'residential', 'name': 'Passatge Emsesa', 'surface': 'asphalt'}"
"Passatge Emsesa"	"Passatge Emsesa"							"way"	"307193476"		"{'highway': 'residential', 'name': 'Passatge Emsesa', 'surface': 'asphalt', 'tunnel': 'yes'}"
"Passeig de Jaume Balmes"	"Passeig de Jaume Balmes"							"way"	"706954360"		"{'highway': 'residential', 'name': 'Passeig de Jaume Balmes', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passeig de Jaume Balmes"	"Passeig de Jaume Balmes"							"way"	"695832859"		"{'highway': 'residential', 'name': 'Passeig de Jaume Balmes', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passeig de Jaume Balmes"	"Passeig de Jaume Balmes"							"way"	"706954359"		"{'highway': 'residential', 'lit': 'yes', 'name': 'Passeig de Jaume Balmes', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passeig de l'Estació"	"Passeig de l'Estació"							"way"	" 47497448"		"{'highway': 'residential', 'lit': 'yes', 'name': \"Passeig de l'Estació\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Passeig de l'Estació"	"Passeig de l'Estació"							"way"	" 47497451"		"{'highway': 'tertiary', 'maxspeed': '30', 'name': \"Passeig de l'Estació\", 'oneway': 'yes', 'ref': 'N-141f', 'surface': 'asphalt'}"
"Passeig de l'Estació"	"Passeig de l'Estació"							"way"	"395078062"		"{'highway': 'pedestrian', 'name': \"Passeig de l'Estació\"}"
"Passeig de l'Estació"	"Passeig de l'Estació"							"way"	"370931343"		"{'highway': 'pedestrian', 'name': \"Passeig de l'Estació\"}"
"Passeig de l'Estació"	"Passeig de l'Estació"							"way"	"375763394"		"{'highway': 'tertiary', 'maxspeed': '20', 'name': \"Passeig de l'Estació\", 'oneway': 'yes', 'ref': 'N-141f', 'surface': 'asphalt'}"
"Passeig de l'Estació"	"Passeig de l'Estació"							"way"	"375769599"		"{'highway': 'residential', 'maxspeed': '30', 'name': \"Passeig de l'Estació\", 'oneway': 'yes'}"
"Passeig de la Ginesta"	"Passeig de la Ginesta"							"way"	" 59044106"		"{'highway': 'residential', 'name': 'Passeig de la Ginesta'}"
