"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda d'Agramunt"	"Avinguda d'Agramunt"							"way"	"  47843879"		"{'highway': 'secondary', 'maxspeed': '30', 'name': \"Avinguda d'Agramunt\", 'ref': 'L-303', 'surface': 'asphalt'}"
"Avinguda d'Agramunt"	"Avinguda d'Agramunt"							"way"	" 181312831"		"{'highway': 'secondary', 'maxspeed': '30', 'name': \"Avinguda d'Agramunt\", 'oneway': 'no', 'ref': 'L-303', 'surface': 'concrete'}"
"Avinguda d'Agramunt"	"Avinguda d'Agramunt"							"way"	" 823928767"		"{'highway': 'secondary', 'maxspeed': '30', 'name': \"Avinguda d'Agramunt\", 'ref': 'L-303', 'surface': 'asphalt'}"
"Avinguda d'Agramunt"	"Avinguda d'Agramunt"							"way"	" 823928768"		"{'highway': 'secondary', 'maxspeed': '30', 'name': \"Avinguda d'Agramunt\", 'ref': 'L-303', 'surface': 'asphalt'}"
"Avinguda d'Agramunt"	"Avinguda d'Agramunt"							"way"	" 402695456"		"{'highway': 'secondary', 'maxspeed': '30', 'name': \"Avinguda d'Agramunt\", 'ref': 'L-303'}"
"Avinguda d'Agramunt"	"Avinguda d'Agramunt"							"way"	" 181312840"		"{'highway': 'secondary', 'maxspeed': '30', 'name': \"Avinguda d'Agramunt\", 'oneway': 'yes', 'ref': 'L-303', 'surface': 'asphalt'}"
"Avinguda d'Agramunt"	"Avinguda d'Agramunt"							"way"	"  47844660"		"{'highway': 'secondary', 'maxspeed': '40', 'name': \"Avinguda d'Agramunt\", 'oneway': 'yes', 'ref': 'L-303'}"
"Avinguda d'Agramunt"	"Avinguda d'Agramunt"							"way"	" 396517544"		"{'highway': 'secondary', 'maxspeed': '30', 'name': \"Avinguda d'Agramunt\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda d'Agramunt"	"Avinguda d'Agramunt"							"way"	" 396517545"		"{'highway': 'secondary', 'maxspeed': '30', 'name': \"Avinguda d'Agramunt\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda d'Agramunt"	"Avinguda d'Agramunt"							"way"	"  47844659"		"{'highway': 'secondary', 'maxspeed': '40', 'name': \"Avinguda d'Agramunt\", 'oneway': 'yes', 'ref': 'L-303'}"
"Avinguda d'Igualada"	"Avinguda d'Igualada"							"way"	" 426561932"		"{'highway': 'tertiary', 'maxspeed': '30', 'name': \"Avinguda d'Igualada\"}"
"Avinguda d'Igualada"	"Avinguda d'Igualada"							"way"	" 180996324"		"{'highway': 'tertiary_link', 'name': \"Avinguda d'Igualada\", 'oneway': 'yes'}"
"Avinguda d'Igualada"	"Avinguda d'Igualada"							"way"	" 706954361"		"{'highway': 'tertiary', 'maxspeed': '30', 'name': \"Avinguda d'Igualada\", 'surface': 'asphalt'}"
"Avinguda d'Igualada"	"Avinguda d'Igualada"							"way"	" 180438565"		"{'highway': 'tertiary', 'maxspeed': '50', 'name': \"Avinguda d'Igualada\", 'surface': 'asphalt'}"
"Avinguda d'Igualada"	"Avinguda d'Igualada"							"way"	" 180996322"		"{'highway': 'tertiary_link', 'name': \"Avinguda d'Igualada\", 'oneway': 'yes'}"
"Avinguda d'Igualada"	"Avinguda d'Igualada"							"way"	" 180996317"		"{'highway': 'tertiary_link', 'maxspeed': '50', 'name': \"Avinguda d'Igualada\", 'oneway': 'yes'}"
"Avinguda d'Ondara"	"Avinguda d'Ondara"							"way"	" 182322292"		"{'bicycle': 'yes', 'foot': 'yes', 'highway': 'residential', 'maxspeed': '30', 'name': \"Avinguda d'Ondara\", 'oneway': 'no', 'surface': 'asphalt'}"
