"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de Carborriu"	"Camí de Carborriu"							"way"	" 379003392"		"{'highway': 'track', 'name': 'Camí de Carborriu'}"
"Camí de Carborriu a Carreu"	"Camí de Carborriu a Carreu"							"way"	" 379003413"		"{'highway': 'track', 'name': 'Camí de Carborriu a Carreu'}"
"Camí de Coll de Nargó a Montanissell"	"Camí de Coll de Nargó a Montanissell"							"way"	" 180564555"		"{'highway': 'track', 'name': 'Camí de Coll de Nargó a Montanissell', 'surface': 'gravel', 'tracktype': 'grade3', 'width': '2.5'}"
"Camí de Coll de Nargó a Montanissell"	"Camí de Coll de Nargó a Montanissell"							"way"	" 844842978"		"{'highway': 'track', 'name': 'Camí de Coll de Nargó a Montanissell', 'surface': 'gravel', 'tracktype': 'grade2', 'width': '2.5'}"
"Camí de Coll de Nargó a Montanissell"	"Camí de Coll de Nargó a Montanissell"							"way"	"1005177870"		"{'highway': 'track', 'name': 'Camí de Coll de Nargó a Montanissell', 'surface': 'gravel', 'tracktype': 'grade2', 'width': '2.5'}"
"Camí de Gavarra a Casa d'Aubenç"	"Camí de Gavarra a Casa d'Aubenç"							"way"	" 489784960"		"{'highway': 'track', 'name': \"Camí de Gavarra a Casa d'Aubenç\", 'tracktype': 'grade3'}"
"camí de la Collada d'Aubenç"	"camí de la Collada d'Aubenç"							"way"	" 785795914"		"{'highway': 'path', 'name': \"camí de la Collada d'Aubenç\"}"
"camí de la Collada d'Aubenç"	"camí de la Collada d'Aubenç"							"way"	" 785795913"		"{'highway': 'track', 'name': \"camí de la Collada d'Aubenç\"}"
"Camí de Planell"	"Camí de Planell"							"way"	" 588217199"		"{'highway': 'path', 'name': 'Camí de Planell'}"
"Camí de Ramoneda"	"Camí de Ramoneda"							"way"	" 588217193"		"{'highway': 'path', 'name': 'Camí de Ramoneda'}"
"Camí de Sallent"	"Camí de Sallent"							"way"	" 501474815"		"{'highway': 'track', 'name': 'Camí de Sallent', 'source': 'bing', 'surface': 'gravel', 'tracktype': 'grade1'}"
"Camí de Sallent"	"Camí de Sallent"							"way"	" 180595589"		"{'highway': 'track', 'name': 'Camí de Sallent', 'source': 'bing', 'surface': 'compacted', 'tracktype': 'grade2'}"
"Camí de Santa Fe"	"Camí de Santa Fe"							"way"	" 165384511"		"{'highway': 'track', 'name': 'Camí de Santa Fe', 'tracktype': 'grade3'}"
"Camí de Serradarques"	"Camí de Serradarques"							"way"	" 785795919"		"{'highway': 'track', 'name': 'Camí de Serradarques', 'tracktype': 'grade3'}"
"Camí de Valldarques"	"Camí de Valldarques"							"way"	" 284777708"		"{'highway': 'track', 'name': 'Camí de Valldarques', 'tracktype': 'grade2'}"
"Camí del Coscollet"	"Camí del Coscollet"							"way"	" 195442643"		"{'highway': 'track', 'name': 'Camí del Coscollet', 'tracktype': 'grade3'}"
"camí del Pallaret"	"camí del Pallaret"							"way"	" 199202415"		"{'highway': 'residential', 'name': 'camí del Pallaret'}"
"Camí del Roser"	"Camí del Roser"							"way"	" 199202345"		"{'highway': 'residential', 'name': 'Camí del Roser'}"
"Camí del Roser"	"Camí del Roser"							"way"	" 426736756"		"{'highway': 'track', 'name': 'Camí del Roser'}"
"Camí dels Prats"	"Camí dels Prats"							"way"	" 199107988"		"{'highway': 'track', 'name': 'Camí dels Prats', 'source': 'bing', 'surface': 'gravel', 'tracktype': 'grade3', 'width': '2.5'}"
"Camí dels Prats"	"Camí dels Prats"							"way"	" 299029833"		"{'highway': 'track', 'name': 'Camí dels Prats', 'source': 'survey; bing', 'tracktype': 'grade1'}"
"Camí dels Prats"	"Camí dels Prats"							"way"	" 180565286"		"{'highway': 'track', 'name': 'Camí dels Prats', 'source': 'survey; bing', 'tracktype': 'grade1'}"
"Camí dels Prats"	"Camí dels Prats"							"way"	" 165387698"		"{'highway': 'track', 'name': 'Camí dels Prats', 'source': 'bing', 'surface': 'gravel', 'tracktype': 'grade2', 'width': '2.5'}"
"Camí Estret"	"Camí Estret"							"way"	" 199202342"		"{'highway': 'residential', 'name': 'Camí Estret'}"
"Carrer d'Escolomers"	"Carrer d'Escolomers"							"way"	" 199202351"		"{'highway': 'residential', 'name': \"Carrer d'Escolomers\"}"
"Carrer d'Isona"	"Carrer d'Isona"							"way"	" 898158841"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'yes', 'highway': 'tertiary', 'horse': 'yes', 'lanes': '2', 'maxspeed': '50', 'name': \"Carrer d'Isona\", 'oneway': 'no', 'ref': 'L-511', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Carrer d'Isona"	"Carrer d'Isona"							"way"	" 898163061"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'yes', 'highway': 'tertiary', 'horse': 'yes', 'lanes': '2', 'maxspeed': '50', 'name': \"Carrer d'Isona\", 'oneway': 'no', 'ref': 'L-511', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Carrer d'Isona"	"Carrer d'Isona"							"way"	"  25607424"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'yes', 'highway': 'tertiary', 'horse': 'yes', 'lanes': '2', 'maxspeed': '50', 'name': \"Carrer d'Isona\", 'oneway': 'no', 'ref': 'L-511', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Carrer d'Isona"	"Carrer d'Isona"							"way"	" 898158848"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'yes', 'highway': 'tertiary', 'horse': 'yes', 'lanes': '2', 'maxspeed': '50', 'name': \"Carrer d'Isona\", 'oneway': 'no', 'ref': 'L-511', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Carrer de l'Abundància"	"Carrer de l'Abundància"							"way"	" 456246955"		"{'highway': 'living_street', 'name': \"Carrer de l'Abundància\", 'oneway': 'no', 'surface': 'concrete'}"
"Carrer de l'Honor"	"Carrer de l'Honor"							"way"	" 199202418"		"{'highway': 'living_street', 'name': \"Carrer de l'Honor\"}"
"Carrer de l'Hospital"	"Carrer de l'Hospital"							"way"	" 199202374"		"{'highway': 'living_street', 'name': \"Carrer de l'Hospital\", 'oneway': 'no'}"
"Carrer de la Carretera Nova"	"Carrer de la Carretera Nova"							"way"	" 199202357"		"{'highway': 'residential', 'name': 'Carrer de la Carretera Nova'}"
"Carrer de la Rosa"	"Carrer de la Rosa"							"way"	" 426730110"		"{'highway': 'living_street', 'name': 'Carrer de la Rosa'}"
"Carrer de la Unió"	"Carrer de la Unió"							"way"	" 199202417"		"{'highway': 'living_street', 'name': 'Carrer de la Unió'}"
"Carrer de la Unió"	"Carrer de la Unió"							"way"	" 495415299"		"{'highway': 'living_street', 'layer': '-1', 'name': 'Carrer de la Unió', 'tunnel': 'building_passage'}"
"Carrer de la Unió"	"Carrer de la Unió"							"way"	" 898158843"		"{'highway': 'living_street', 'name': 'Carrer de la Unió'}"
"Carrer de la Unió"	"Carrer de la Unió"							"way"	" 199202405"		"{'highway': 'living_street', 'name': 'Carrer de la Unió'}"
"Carrer de les Escoles"	"Carrer de les Escoles"							"way"	" 199108001"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'yes', 'highway': 'unclassified', 'horse': 'yes', 'maxspeed': '20', 'name': 'Carrer de les Escoles', 'oneway': 'no', 'source:date': '2019', 'surface': 'paving_stones'}"
"Carrer de Sant Bartomeu"	"Carrer de Sant Bartomeu"							"way"	" 456249674"		"{'highway': 'residential', 'name': 'Carrer de Sant Bartomeu', 'oneway': 'no'}"
"Carrer de Sant Bartomeu"	"Carrer de Sant Bartomeu"							"way"	" 199202411"		"{'highway': 'living_street', 'name': 'Carrer de Sant Bartomeu'}"
"Carrer de Sant Bartomeu"	"Carrer de Sant Bartomeu"							"way"	" 426730109"		"{'highway': 'living_street', 'name': 'Carrer de Sant Bartomeu', 'oneway': 'no'}"
"Carrer de Xavier Marot"	"Carrer de Xavier Marot"							"way"	" 199202355"		"{'highway': 'residential', 'name': 'Carrer de Xavier Marot'}"
"Carrer del Cal del Roc"	"Carrer del Cal del Roc"							"way"	" 199202416"		"{'highway': 'living_street', 'name': 'Carrer del Cal del Roc'}"
"Carrer del Clavell"	"Carrer del Clavell"							"way"	" 481089740"		"{'highway': 'pedestrian', 'name': 'Carrer del Clavell'}"
"Carrer del Roser"	"Carrer del Roser"							"way"	" 199202403"		"{'highway': 'living_street', 'name': 'Carrer del Roser', 'oneway': 'no'}"
"Carrer dels Bons Aires"	"Carrer dels Bons Aires"							"way"	" 199202367"		"{'highway': 'living_street', 'name': 'Carrer dels Bons Aires'}"
"Carrer dels Raiers"	"Carrer dels Raiers"							"way"	" 199202412"		"{'highway': 'residential', 'name': 'Carrer dels Raiers'}"
"Carrer dels Raiers"	"Carrer dels Raiers"							"way"	" 199202394"		"{'highway': 'residential', 'name': 'Carrer dels Raiers'}"
"Carrer Ferran"	"Carrer Ferran"							"way"	" 426730180"		"{'foot': 'designated', 'highway': 'pedestrian', 'name': 'Carrer Ferran'}"
"Carrer Major"	"Carrer Major"							"way"	" 199202420"		"{'highway': 'living_street', 'name': 'Carrer Major'}"
"Carrer Nou"	"Carrer Nou"							"way"	" 199202348"		"{'highway': 'residential', 'name': 'Carrer Nou'}"
