"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passatge Centre"	"Passatge Centre"							"way"	" 549233646"		"{'highway': 'living_street', 'lit': 'yes', 'name': 'Passatge Centre', 'surface': 'paving_stones'}"
"Passatge Centre"	"Passatge Centre"							"way"	" 549233645"		"{'highway': 'living_street', 'lit': 'yes', 'name': 'Passatge Centre', 'surface': 'paving_stones'}"
"Passatge d'Almachar"	"Passatge d'Almachar"							"way"	"  42510185"		"{'highway': 'living_street', 'name': \"Passatge d'Almachar\"}"
"Passatge d'Almachar"	"Passatge d'Almachar"							"way"	" 549233648"		"{'highway': 'living_street', 'name': \"Passatge d'Almachar\"}"
"Passatge d'Isabel Aunión"	"Passatge d'Isabel Aunión"							"way"	" 150543462"		"{'highway': 'residential', 'name': \"Passatge d'Isabel Aunión\", 'oneway': 'no'}"
"Passatge de Cels Busquets i Farrés"	"Passatge de Cels Busquets i Farrés"							"way"	"  24719312"		"{'highway': 'residential', 'name': 'Passatge de Cels Busquets i Farrés', 'oneway': 'yes'}"
"Passatge de Cristòfol Llargués"	"Passatge de Cristòfol Llargués"							"way"	" 384454184"		"{'highway': 'living_street', 'name': 'Passatge de Cristòfol Llargués'}"
"Passatge de Dolors Almeda i Roig"	"Passatge de Dolors Almeda i Roig"							"way"	"  24794008"		"{'created_by': 'Potlatch 0.9c', 'highway': 'residential', 'name': 'Passatge de Dolors Almeda i Roig', 'oneway': 'yes'}"
"Passatge de Federico García Lorca"	"Passatge de Federico García Lorca"							"way"	" 238866897"		"{'highway': 'pedestrian', 'name': 'Passatge de Federico García Lorca'}"
"Passatge de Francesc Layret"	"Passatge de Francesc Layret"							"way"	" 186649383"		"{'highway': 'residential', 'name': 'Passatge de Francesc Layret', 'oneway': 'yes'}"
"Passatge de Huéscar"	"Passatge de Huéscar"							"way"	"  42510181"		"{'highway': 'living_street', 'name': 'Passatge de Huéscar'}"
"Passatge de Huéscar"	"Passatge de Huéscar"							"way"	" 549233650"		"{'highway': 'living_street', 'name': 'Passatge de Huéscar'}"
