"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de l'Últim Càtar"	"Camí de l'Últim Càtar"							"relation"	"   6965131"		"{'distance': '189.64', 'name': \"Camí de l'Últim Càtar\", 'network': 'nwn', 'ref': 'CUC', 'roundtrip': 'no', 'route': 'hiking', 'source': 'http://www.camidelsbonshomes.com/pl24/etapes/id158/el-cami-de-l-ultim-catar-la-ruta-sencera.htm?cat_24=31&subcat_24=36', 'type': 'route'}"
"Camí de les Bordes de Tressó"	"Camí de les Bordes de Tressó"							"way"	" 226779083"		"{'highway': 'track', 'name': 'Camí de les Bordes de Tressó', 'tracktype': 'grade2'}"
"Camí de les Bordes de Tressó"	"Camí de les Bordes de Tressó"							"way"	" 226779084"		"{'highway': 'unclassified', 'name': 'Camí de les Bordes de Tressó', 'tracktype': 'grade2'}"
"Camí de Montesclado al Coll de Cabrils"	"Camí de Montesclado al Coll de Cabrils"							"way"	" 338118757"		"{'highway': 'track', 'lanes': '1', 'name': 'Camí de Montesclado al Coll de Cabrils', 'tracktype': 'grade2'}"
"Camí de Montesclado al Coll de Trescollo"	"Camí de Montesclado al Coll de Trescollo"							"way"	" 226773039"		"{'highway': 'track', 'lanes': '1', 'name': 'Camí de Montesclado al Coll de Trescollo', 'tracktype': 'grade2', 'width': '3'}"
"carrer del Nord"	"carrer del Nord"							"way"	" 397208655"		"{'highway': 'living_street', 'name': 'carrer del Nord'}"
"Carrer Glorieta"	"Carrer Glorieta"							"way"	" 205182763"		"{'highway': 'living_street', 'name': 'Carrer Glorieta'}"
"Carrer Major"	"Carrer Major"							"way"	" 437650854"		"{'highway': 'residential', 'name': 'Carrer Major', 'surface': 'concrete:lanes'}"
"Parc natural de l'Alt Pirineu"	"Parc natural de l'Alt Pirineu"							"node"	"6790136687"		"{'information': 'board', 'name': \"Parc natural de l'Alt Pirineu\", 'tourism': 'information'}"
"Parc natural de l'Alt Pirineu"	"Parc natural de l'Alt Pirineu"							"node"	"6790154085"		"{'information': 'office', 'name': \"Parc natural de l'Alt Pirineu\", 'tourism': 'information'}"
