"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí Antic de Santa Fe"	"Camí Antic de Santa Fe"							"way"	" 531021593"		"{'highway': 'track', 'name': 'Camí Antic de Santa Fe'}"
"Camí de Can Castanyer"	"Camí de Can Castanyer"							"way"	" 979539126"		"{'highway': 'track', 'name': 'Camí de Can Castanyer', 'tracktype': 'grade2'}"
"Camí de Can Folguerola"	"Camí de Can Folguerola"							"way"	" 303367935"		"{'highway': 'track', 'name': 'Camí de Can Folguerola', 'tracktype': 'grade2'}"
"Camí de Can Riera de Siuret"	"Camí de Can Riera de Siuret"							"way"	" 852431534"		"{'highway': 'unclassified', 'name': 'Camí de Can Riera de Siuret'}"
"Camí de Can Riera de Siuret"	"Camí de Can Riera de Siuret"							"way"	"  49261979"		"{'highway': 'unclassified', 'name': 'Camí de Can Riera de Siuret'}"
"Camí de Can Verdaguer"	"Camí de Can Verdaguer"							"way"	" 531090538"		"{'highway': 'track', 'name': 'Camí de Can Verdaguer'}"
"Camí de la Costa a Santa Fe"	"Camí de la Costa a Santa Fe"							"way"	" 208350463"		"{'highway': 'unclassified', 'maxlength': '7', 'maxspeed': '30', 'maxwidth': '4.5', 'name': 'Camí de la Costa a Santa Fe'}"
"Camí de la Gronxadora"	"Camí de la Gronxadora"							"way"	" 885554549"		"{'highway': 'path', 'name': 'Camí de la Gronxadora'}"
"Camí de la Roncallora"	"Camí de la Roncallora"							"way"	" 182910686"		"{'highway': 'track', 'name': 'Camí de la Roncallora'}"
"Camí de les Illes"	"Camí de les Illes"							"way"	" 531090493"		"{'highway': 'unclassified', 'name': 'Camí de les Illes', 'oneway': 'no', 'surface': 'asphalt'}"
"Camí de les Illes"	"Camí de les Illes"							"way"	" 182915508"		"{'highway': 'track', 'name': 'Camí de les Illes', 'tracktype': 'grade1'}"
"Camí de les Illes"	"Camí de les Illes"							"way"	" 852431527"		"{'highway': 'track', 'name': 'Camí de les Illes', 'tracktype': 'grade1'}"
"Camí de Mosqueroles"	"Camí de Mosqueroles"							"way"	" 852431535"		"{'highway': 'track', 'name': 'Camí de Mosqueroles'}"
"Camí de Mosqueroles"	"Camí de Mosqueroles"							"way"	"1066505242"		"{'highway': 'track', 'name': 'Camí de Mosqueroles'}"
"Camí de Mosqueroles"	"Camí de Mosqueroles"							"way"	"  49272130"		"{'highway': 'track', 'name': 'Camí de Mosqueroles'}"
"Camí de pista del Polell a Can Castanyer"	"Camí de pista del Polell a Can Castanyer"							"way"	"1043826427"		"{'access': 'no', 'foot': 'yes', 'highway': 'track', 'hiking': 'yes', 'name': 'Camí de pista del Polell a Can Castanyer', 'surface': 'dirt', 'tracktype': 'grade5', 'trail_visibility': 'intermediate'}"
"Camí de Sant Marçal de Montseny"	"Camí de Sant Marçal de Montseny"							"way"	" 531090495"		"{'highway': 'track', 'name': 'Camí de Sant Marçal de Montseny', 'tracktype': 'grade2'}"
"Camí de Santa Fe del Montseny al Vilar"	"Camí de Santa Fe del Montseny al Vilar"							"way"	" 182906534"		"{'highway': 'track', 'name': 'Camí de Santa Fe del Montseny al Vilar', 'tracktype': 'grade1'}"
"Camí del Càmping"	"Camí del Càmping"							"way"	" 754622675"		"{'highway': 'service', 'name': 'Camí del Càmping'}"
"Camí del Càmping"	"Camí del Càmping"							"way"	" 358408989"		"{'highway': 'service', 'name': 'Camí del Càmping'}"
"Camí del Càmping"	"Camí del Càmping"							"way"	" 911005056"		"{'highway': 'service', 'name': 'Camí del Càmping'}"
"Camí del Cementiri"	"Camí del Cementiri"							"way"	" 337992903"		"{'highway': 'residential', 'name': 'Camí del Cementiri'}"
"Camí del Corral del Deumal"	"Camí del Corral del Deumal"							"way"	"  27066230"		"{'highway': 'path', 'name': 'Camí del Corral del Deumal', 'sac_scale': 'mountain_hiking', 'width': '1'}"
"Camí del Corral del Deumal"	"Camí del Corral del Deumal"							"way"	" 531090533"		"{'highway': 'track', 'name': 'Camí del Corral del Deumal', 'sac_scale': 'mountain_hiking', 'width': '1'}"
"Camí del Corral del Deumal"	"Camí del Corral del Deumal"							"way"	" 531090532"		"{'bridge': 'yes', 'highway': 'path', 'layer': '1', 'name': 'Camí del Corral del Deumal', 'sac_scale': 'mountain_hiking', 'width': '1'}"
"Camí del Mirador de les Golladores"	"Camí del Mirador de les Golladores"							"way"	" 182910665"		"{'highway': 'track', 'name': 'Camí del Mirador de les Golladores'}"
"Carrer de Jaume Valls"	"Carrer de Jaume Valls"							"way"	" 239820778"		"{'highway': 'residential', 'name': 'Carrer de Jaume Valls'}"
"Carrer de Jaume Valls"	"Carrer de Jaume Valls"							"way"	" 852431537"		"{'highway': 'residential', 'name': 'Carrer de Jaume Valls'}"
"Carrer de la font de l'arboç"	"Carrer de la font de l'arboç"							"way"	" 173653605"		"{'highway': 'residential', 'name': \"Carrer de la font de l'arboç\"}"
"Carrer de Sant Fe"	"Carrer de Sant Fe"							"way"	"  49262018"		"{'highway': 'track', 'name': 'Carrer de Sant Fe'}"
"Carrer del Pedró"	"Carrer del Pedró"							"way"	" 306577790"		"{'covered': 'no', 'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer del Pedró', 'oneway': 'no', 'service': 'driveway', 'surface': 'asphalt'}"
"Carrer del Pedró"	"Carrer del Pedró"							"way"	" 838225423"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer del Pedró', 'oneway': 'no', 'service': 'driveway', 'surface': 'asphalt'}"
"Carrer del Pedró"	"Carrer del Pedró"							"way"	" 838302248"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer del Pedró', 'oneway': 'no', 'service': 'driveway', 'surface': 'ground'}"
"Carrer del Pedró, 6"	"Carrer del Pedró, 6"							"node"	"7814698310"		"{'addr:city': 'Fogars de Montclús', 'addr:housenumber': '6', 'addr:postcode': '08479', 'addr:street': 'Carrer del Pedró', 'name': 'Carrer del Pedró, 6'}"
"Carrer del Pertegàs"	"Carrer del Pertegàs"							"way"	" 341447200"		"{'highway': 'residential', 'name': 'Carrer del Pertegàs'}"
"Carrer dels Roures"	"Carrer dels Roures"							"way"	" 239820780"		"{'highway': 'residential', 'name': 'Carrer dels Roures'}"
"Parc Natural del Montseny"	"Parc Natural del Montseny"							"node"	"9301424968"		"{'bicycle': 'yes', 'hiking': 'yes', 'information': 'map', 'map_size': 'region', 'map_type': 'topo', 'name': 'Parc Natural del Montseny', 'tourism': 'information'}"
"Parc Natural del Montseny"	"Parc Natural del Montseny"							"node"	"7612702590"		"{'bicycle': 'no', 'hiking': 'yes', 'information': 'map', 'map_type': 'topo', 'mtb': 'yes', 'name': 'Parc Natural del Montseny', 'tourism': 'information'}"
"Parc Natural del Montseny"	"Parc Natural del Montseny"							"node"	"9295839917"		"{'hiking': 'yes', 'information': 'map', 'map_size': 'region', 'map_type': 'topo', 'name': 'Parc Natural del Montseny', 'tourism': 'information'}"
"Parc Natural del Montseny"	"Parc Natural del Montseny"							"node"	"9295536817"		"{'hiking': 'yes', 'information': 'map', 'map_size': 'region', 'map_type': 'topo', 'name': 'Parc Natural del Montseny', 'tourism': 'information'}"
"Plaça carbonera"	"Plaça carbonera"							"node"	"9295634517"		"{'name': 'Plaça carbonera', 'place': 'locality'}"
"Plaça de l'Esglèsia"	"Plaça de l'Esglèsia"							"node"	"1844217376"		"{'highway': 'turning_circle', 'name': \"Plaça de l'Esglèsia\"}"
"Plaça de les Escoles"	"Plaça de les Escoles"							"way"	" 725205577"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaça de les Escoles', 'place': 'square'}"
