"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Josep Irla"	"Avinguda de Josep Irla"							"way"	"121921630"		"{'highway': 'primary', 'maxspeed': '40', 'name': 'Avinguda de Josep Irla', 'oneway': 'yes', 'ref': 'C-66'}"
"Avinguda de Josep Irla"	"Avinguda de Josep Irla"							"way"	"121921629"		"{'highway': 'primary', 'maxspeed': '40', 'name': 'Avinguda de Josep Irla', 'oneway': 'yes', 'ref': 'C-66'}"
"Avinguda de Josep Irla"	"Avinguda de Josep Irla"							"way"	" 39172937"		"{'highway': 'primary', 'maxspeed': '50', 'name': 'Avinguda de Josep Irla', 'ref': 'C-66', 'surface': 'asphalt'}"
"Avinguda del Puig negre"	"Avinguda del Puig negre"							"way"	" 39172940"		"{'highway': 'residential', 'name': 'Avinguda del Puig negre'}"
"Avinguda del Puig negre"	"Avinguda del Puig negre"							"way"	"121921631"		"{'highway': 'residential', 'name': 'Avinguda del Puig negre', 'oneway': 'yes'}"
"Avinguda del Puig negre"	"Avinguda del Puig negre"							"way"	"121921633"		"{'highway': 'residential', 'name': 'Avinguda del Puig negre', 'oneway': 'yes'}"
"Camí antic de Canapost"	"Camí antic de Canapost"							"way"	"911558013"		"{'bridge': 'yes', 'highway': 'unclassified', 'layer': '1', 'name': 'Camí antic de Canapost'}"
"Camí antic de Canapost"	"Camí antic de Canapost"							"way"	" 32705367"		"{'highway': 'unclassified', 'name': 'Camí antic de Canapost', 'surface': 'asphalt'}"
"Camí antic de Canapost"	"Camí antic de Canapost"							"way"	" 32705373"		"{'highway': 'unclassified', 'name': 'Camí antic de Canapost', 'surface': 'asphalt'}"
"Camí antic de Canapost"	"Camí antic de Canapost"							"way"	"911558012"		"{'highway': 'unclassified', 'name': 'Camí antic de Canapost', 'surface': 'asphalt'}"
"Camí Camp de La Cadena"	"Camí Camp de La Cadena"							"way"	"147551543"		"{'access': 'yes', 'bicycle': 'yes', 'foot': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí Camp de La Cadena', 'surface': 'ground', 'tracktype': 'grade1', 'width': '6'}"
"Camí de Can Florenci"	"Camí de Can Florenci"							"way"	"745511972"		"{'highway': 'unclassified', 'name': 'Camí de Can Florenci'}"
"Camí de Can Florenci"	"Camí de Can Florenci"							"way"	"759211664"		"{'highway': 'unclassified', 'name': 'Camí de Can Florenci'}"
"Camí de Can Ribot"	"Camí de Can Ribot"							"way"	"151633797"		"{'access': 'yes', 'bicycle': 'yes', 'foot': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí de Can Ribot', 'surface': 'unpaved', 'tracktype': 'grade2'}"
"Camí de Can Ribot"	"Camí de Can Ribot"							"way"	"380299026"		"{'access': 'yes', 'bicycle': 'yes', 'foot': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí de Can Ribot', 'surface': 'unpaved', 'tracktype': 'grade2'}"
"Camí de Can Sitges"	"Camí de Can Sitges"							"way"	"147164444"		"{'access': 'yes', 'bicycle': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí de Can Sitges', 'surface': 'unpaved'}"
"Camí de Fitor"	"Camí de Fitor"							"way"	"380299027"		"{'access': 'yes', 'bicycle': 'yes', 'foot': 'yes', 'highway': 'track', 'horse': 'yes', 'motor_vehicle': 'yes', 'name': 'Camí de Fitor', 'surface': 'unpaved', 'tracktype': 'grade2', 'width': '4'}"
