"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Coll de Comadoms"	"Coll de Comadoms"							"node"	"5404348718"		"{'ele': '554.0', 'name': 'Coll de Comadoms', 'natural': 'saddle'}"
"Font de Cal Vinya Vell"	"Font de Cal Vinya Vell"							"node"	"7549684560"		"{'name': 'Font de Cal Vinya Vell', 'natural': 'spring'}"
"Font de la Tosca"	"Font de la Tosca"							"node"	"2019020075"		"{'name': 'Font de la Tosca', 'natural': 'spring'}"
"Font de les Esplugues"	"Font de les Esplugues"							"node"	"7549685137"		"{'name': 'Font de les Esplugues', 'natural': 'spring'}"
"Font Susqueda"	"Font Susqueda"							"node"	"7549677143"		"{'name': 'Font Susqueda', 'natural': 'spring'}"
"Font Vidal"	"Font Vidal"							"node"	"2018933560"		"{'name': 'Font Vidal', 'natural': 'spring'}"
"Puig de la Guineu"	"Puig de la Guineu"							"node"	"1241563492"		"{'name': 'Puig de la Guineu', 'place': 'locality'}"
"Torrent de Cal Cisteller"	"Torrent de Cal Cisteller"							"way"	"807330659"		"{'name': 'Torrent de Cal Cisteller', 'waterway': 'stream'}"
"Torrent de Cal Cornet"	"Torrent de Cal Cornet"							"way"	"807411127"		"{'name': 'Torrent de Cal Cornet', 'waterway': 'stream'}"
"Torrent de la Roca"	"Torrent de la Roca"							"way"	"191322389"		"{'name': 'Torrent de la Roca', 'waterway': 'stream'}"
"Torrent de Matamala"	"Torrent de Matamala"							"way"	"930125802"		"{'name': 'Torrent de Matamala', 'waterway': 'stream'}"
"Turó de Cal Ponç"	"Turó de Cal Ponç"							"node"	"1241548653"		"{'name': 'Turó de Cal Ponç', 'place': 'locality'}"
"Turó de Santa Àgata"	"Turó de Santa Àgata"							"node"	"1241565737"		"{'name': 'Turó de Santa Àgata', 'place': 'locality'}"
