"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Mas d'Arnal"	"Mas d'Arnal"							"way"	"1110186676"		"{'building': 'yes', 'name': \"Mas d'Arnal\"}"
"Mas d'en Tomaset"	"Mas d'en Tomaset"							"node"	"7985034427"		"{'name': \"Mas d'en Tomaset\", 'place': 'isolated_dwelling'}"
"Mas d'en Torner"	"Mas d'en Torner"							"node"	"3906056574"		"{'name': \"Mas d'en Torner\", 'place': 'isolated_dwelling'}"
"Mas d'en Torner"	"Mas d'en Torner"							"way"	" 511813668"		"{'building': 'yes', 'name': \"Mas d'en Torner\"}"
"Mas de Coll"	"Mas de Coll"							"way"	"1109911522"		"{'building': 'yes', 'name': 'Mas de Coll'}"
"Mas de Quetxo"	"Mas de Quetxo"							"way"	"1108475214"		"{'building': 'yes', 'name': 'Mas de Quetxo'}"
"Mas de Sarió"	"Mas de Sarió"							"way"	"1110697971"		"{'building': 'yes', 'name': 'Mas de Sarió'}"
"Mas de Xaparro"	"Mas de Xaparro"							"way"	"1107915358"		"{'building': 'yes', 'name': 'Mas de Xaparro'}"
"Mas del Costurer"	"Mas del Costurer"							"way"	"1105876192"		"{'building': 'ruins', 'name': 'Mas del Costurer'}"
"Mas del Galerà"	"Mas del Galerà"							"way"	"1110184214"		"{'building': 'yes', 'name': 'Mas del Galerà'}"
"Mas del Xollat"	"Mas del Xollat"							"way"	"1106069205"		"{'building': 'yes', 'name': 'Mas del Xollat'}"
"Riu de la Teuleria"	"Riu de la Teuleria"							"way"	" 927170678"		"{'intermittent': 'yes', 'name': 'Riu de la Teuleria', 'waterway': 'stream'}"
"Riu Sec"	"Riu Sec"							"way"	" 466143228"	"name:es=Río Seco"	"{'intermittent': 'yes', 'name': 'Riu Sec', 'name:es': 'Río Seco', 'waterway': 'river'}"
"Riu Sec"	"Riu Sec"							"way"	" 466143229"	"name:es=Río Seco"	"{'intermittent': 'yes', 'name': 'Riu Sec', 'name:es': 'Río Seco', 'waterway': 'river'}"
"Riu Sec"	"Riu Sec"							"way"	" 466143230"	"name:es=Río Seco"	"{'intermittent': 'yes', 'name': 'Riu Sec', 'name:es': 'Río Seco', 'tunnel': 'culvert', 'waterway': 'river'}"
"Riu Sec"	"Riu Sec"							"way"	" 466143233"	"name:es=Río Seco"	"{'intermittent': 'yes', 'name': 'Riu Sec', 'name:es': 'Río Seco', 'waterway': 'river'}"
"Riu Sec"	"Riu Sec"							"way"	" 466143232"	"name:es=Río Seco"	"{'intermittent': 'yes', 'name': 'Riu Sec', 'name:es': 'Río Seco', 'tunnel': 'culvert', 'waterway': 'river'}"
"Riu Sec"	"Riu Sec"							"way"	" 466143234"	"name:es=Río Seco"	"{'intermittent': 'yes', 'name': 'Riu Sec', 'name:es': 'Río Seco', 'tunnel': 'culvert', 'waterway': 'river'}"
"Riu Sec"	"Riu Sec"							"way"	" 466143231"	"name:es=Río Seco"	"{'intermittent': 'yes', 'name': 'Riu Sec', 'name:es': 'Río Seco', 'waterway': 'river'}"
