"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passatge d'Almeria"	"Passatge d'Almeria"							"way"	" 114956009"		"{'highway': 'residential', 'name': \"Passatge d'Almeria\", 'surface': 'asphalt'}"
"Passatge d'Anna Ricci"	"Passatge d'Anna Ricci"							"way"	"  22875686"		"{'highway': 'pedestrian', 'name': \"Passatge d'Anna Ricci\"}"
"Passatge de Dolors Clua"	"Passatge de Dolors Clua"							"way"	"  26341881"		"{'highway': 'residential', 'name': 'Passatge de Dolors Clua', 'oneway': 'yes'}"
"Passatge de la Casa de la Vila"	"Passatge de la Casa de la Vila"							"way"	" 114956005"		"{'highway': 'residential', 'lit': 'yes', 'name': 'Passatge de la Casa de la Vila', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passatge de la Marta Mata"	"Passatge de la Marta Mata"							"way"	" 177999445"		"{'highway': 'footway', 'name': 'Passatge de la Marta Mata', 'surface': 'asphalt'}"
"Passatge de la Plaça Interior"	"Passatge de la Plaça Interior"							"way"	" 452953274"		"{'highway': 'residential', 'name': 'Passatge de la Plaça Interior', 'surface': 'asphalt'}"
"Passatge de la Plaça Interior"	"Passatge de la Plaça Interior"							"way"	" 452953275"		"{'highway': 'residential', 'name': 'Passatge de la Plaça Interior', 'surface': 'asphalt'}"
"Passatge de la Rambla"	"Passatge de la Rambla"							"way"	" 114660675"		"{'highway': 'pedestrian', 'name': 'Passatge de la Rambla'}"
"Passatge de la Verge dels Dolors"	"Passatge de la Verge dels Dolors"							"way"	" 180319078"		"{'highway': 'residential', 'name': 'Passatge de la Verge dels Dolors', 'surface': 'asphalt'}"
"Passatge de Picasso"	"Passatge de Picasso"							"way"	" 114956015"		"{'highway': 'residential', 'name': 'Passatge de Picasso', 'surface': 'asphalt'}"
"Passatge de Sant Martí"	"Passatge de Sant Martí"							"way"	" 117218080"		"{'highway': 'residential', 'name': 'Passatge de Sant Martí', 'oneway': 'yes'}"
"Passatge de Sevilla"	"Passatge de Sevilla"							"way"	" 114956011"		"{'highway': 'residential', 'name': 'Passatge de Sevilla', 'surface': 'asphalt'}"
"Passatge del Polígon Santa Teresa"	"Passatge del Polígon Santa Teresa"							"way"	" 180319077"		"{'highway': 'residential', 'name': 'Passatge del Polígon Santa Teresa', 'surface': 'asphalt'}"
"Passatge del Polígon Santa Teresa"	"Passatge del Polígon Santa Teresa"							"way"	" 195977125"		"{'building': 'yes', 'name': 'Passatge del Polígon Santa Teresa'}"
"Passatge Interior"	"Passatge Interior"							"way"	" 114956013"		"{'highway': 'living_street', 'name': 'Passatge Interior', 'surface': 'asphalt'}"
"Passatge Transversal"	"Passatge Transversal"							"way"	" 114660667"		"{'highway': 'residential', 'name': 'Passatge Transversal'}"
"Passatge Transversal"	"Passatge Transversal"							"way"	" 114806635"		"{'highway': 'residential', 'name': 'Passatge Transversal', 'oneway': 'yes'}"
"Passeig de Joan Maragall"	"Passeig de Joan Maragall"							"way"	"  26356471"	"name:etymology:wikidata=Q562402"	"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Passeig de Joan Maragall', 'name:etymology:wikidata': 'Q562402'}"
"Passeig de Joan Maragall"	"Passeig de Joan Maragall"							"way"	" 114543018"	"name:etymology:wikidata=Q562402"	"{'highway': 'residential', 'maxspeed': '30', 'name': 'Passeig de Joan Maragall', 'name:etymology:wikidata': 'Q562402', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passeig de la Marina"	"Passeig de la Marina"							"way"	"  22924515"		"{'highway': 'residential', 'maxspeed': '40', 'name': 'Passeig de la Marina', 'oneway': 'no', 'surface': 'asphalt'}"
"Passeig de la Terracuita"	"Passeig de la Terracuita"							"way"	" 795346181"		"{'leisure': 'park', 'name': 'Passeig de la Terracuita'}"
"Passeig de la Terracuita"	"Passeig de la Terracuita"							"way"	" 117177825"		"{'highway': 'residential', 'name': 'Passeig de la Terracuita', 'oneway': 'yes'}"
"Passeig de la Terracuita"	"Passeig de la Terracuita"							"way"	"  22875439"		"{'highway': 'residential', 'name': 'Passeig de la Terracuita', 'oneway': 'yes'}"
"Passeig de la Tramontana"	"Passeig de la Tramontana"							"way"	" 550855653"		"{'highway': 'residential', 'name': 'Passeig de la Tramontana', 'oneway': 'yes', 'surface': 'asphalt'}"
