"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Campaner"	"Cal Campaner"							"node"	"4855506720"		"{'addr:city': 'Girona', 'addr:country': 'ES', 'addr:housenumber': '94A', 'addr:postcode': '17007', 'addr:street': 'Disseminat de Campdorà', 'name': 'Cal Campaner', 'source': 'UMAT - Ajuntament de Girona (2017)'}"
"Cal Carboner"	"Cal Carboner"							"way"	"63925382"		"{'building': 'yes', 'local_code': '10660', 'name': 'Cal Carboner', 'source': 'Ajuntament de Girona'}"
"Cal Flequer"	"Cal Flequer"							"node"	"1789788789"		"{'addr:country': 'ES', 'name': 'Cal Flequer', 'shop': 'bakery'}"
"Cal Formatger"	"Cal Formatger"							"node"	"7031442193"		"{'name': 'Cal Formatger', 'shop': 'cheese'}"
"Cal Mico"	"Cal Mico"							"node"	"4455695293"		"{'addr:city': 'Girona', 'addr:postcode': '17003', 'addr:street': 'Carrer de la Universitat de Montpeller', 'name': 'Cal Mico', 'sport': 'climbing', 'website': 'www.rocodromgirona.com'}"
"Cal Mistaire"	"Cal Mistaire"							"way"	"63919435"		"{'building': 'yes', 'local_code': '10576', 'name': 'Cal Mistaire', 'source': 'Ajuntament de Girona'}"
"Cal Rave"	"Cal Rave"							"way"	"63929878"		"{'addr:housename': 'Cal Rave', 'building': 'yes', 'local_code': '10486', 'name': 'Cal Rave', 'source': 'Ajuntament de Girona'}"
"Cal Rave"	"Cal Rave"							"way"	"63931298"		"{'building': 'yes', 'local_code': '10413', 'name': 'Cal Rave', 'source': 'Ajuntament de Girona'}"
"Cal Rei"	"Cal Rei"							"node"	"3437164535"		"{'end_date': '2022-06', 'name': 'Cal Rei', 'shop': 'interior_decoration', 'start_date': '1992'}"
"Cal Ros"	"Cal Ros"							"node"	"781481376"		"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'Cal Ros', 'wheelchair': 'limited'}"
"Cal Sec"	"Cal Sec"							"way"	"63929900"		"{'addr:city': 'Girona', 'addr:country': 'ES', 'addr:housename': 'Mas Camallera Cal Sec', 'addr:housenumber': '99', 'addr:street': \"Carrer del Camp d'Or\", 'building': 'house', 'local_code': '10460', 'name': 'Cal Sec', 'source': 'Ajuntament de Girona'}"
"Cal Tiet"	"Cal Tiet"							"node"	"3667428741"		"{'addr:city': 'Girona', 'addr:housenumber': '16', 'addr:postcode': '17006', 'addr:street': 'Carrer de les Agudes', 'amenity': 'bar', 'name': 'Cal Tiet'}"
"Camp de Bèlit"	"Camp de Bèlit"							"way"	"62036674"		"{'leisure': 'park', 'name': 'Camp de Bèlit'}"
"Camp de Futbol Can Gibert"	"Camp de Futbol Can Gibert"							"relation"	"5388264"		"{'leisure': 'pitch', 'name': 'Camp de Futbol Can Gibert', 'sport': 'soccer', 'type': 'multipolygon'}"
"Camp de futbol municipal de Vila-Roja"	"Camp de futbol municipal de Vila-Roja"							"way"	"501121161"		"{'leisure': 'stadium', 'name': 'Camp de futbol municipal de Vila-Roja'}"
"Camp de Mart"	"Camp de Mart"							"way"	"546099381"		"{'leisure': 'park', 'name': 'Camp de Mart'}"
"Camp Verd"	"Camp Verd"							"node"	"4069357632"		"{'name': 'Camp Verd', 'shop': 'greengrocer'}"
"Col·legi Migdia"	"Col·legi Migdia"							"node"	"2591302195"		"{'bench': 'yes', 'bin': 'no', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'Col·legi Migdia', 'network': 'ATM Girona', 'operator': 'TMG', 'public_transport': 'platform', 'ref': '15145', 'shelter': 'yes', 'tactile_paving': 'yes'}"
"Escola Àgora"	"Escola Àgora"			"Escola Àgora"		"Catalonia school"	"Q111283940"	"relation"	"5120348"		"{'amenity': 'school', 'name': 'Escola Àgora', 'old_name': 'CEE Mare de Déu del Mont', 'old_ref': '17004748', 'ref': '17001838', 'type': 'multipolygon', 'wikidata': 'Q111283940'}"
"Escola Bressol de la Devesa"	"Escola Bressol de la Devesa"							"way"	"244347171"		"{'addr:city': 'Girona', 'addr:housenumber': '9', 'addr:postcode': '17001', 'addr:street': 'Passatge dels Massaguer', 'amenity': 'kindergarten', 'building': 'kindergarten', 'name': 'Escola Bressol de la Devesa', 'ref': '17010347'}"
"Escola Bressol el Pont"	"Escola Bressol el Pont"							"node"	"4847796641"		"{'amenity': 'kindergarten', 'name': 'Escola Bressol el Pont', 'ref': '17008331', 'source': 'UMAT - Aj. de Girona (2017)'}"
