"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"avinguda d'Europa"	"avinguda d'Europa"			""	""	""	""	"way"	" 500509012"	""	"{'highway': 'residential', 'maxspeed': '50', 'name': \"avinguda d'Europa\", 'oneway': 'no', 'source': 'PNOA', 'source:date': '2008'}"
"Avinguda d'Europa"	"Avinguda d'Europa"			""	""	""	""	"way"	" 706242814"	""	"{'highway': 'residential', 'maxspeed': '50', 'name': \"Avinguda d'Europa\", 'source': 'PNOA', 'source:date': '2008'}"
"Avinguda d'Europa"	"Avinguda d'Europa"			""	""	""	""	"way"	"  83898315"	""	"{'highway': 'residential', 'maxspeed': '50', 'name': \"Avinguda d'Europa\", 'source': 'PNOA', 'source:date': '2008'}"
"Avinguda d'Europa"	"Avinguda d'Europa"			""	""	""	""	"way"	"  83898410"	""	"{'highway': 'residential', 'maxspeed': '50', 'name': \"Avinguda d'Europa\", 'oneway': 'yes', 'source': 'PNOA', 'source:date': '2008'}"
"avinguda de la Mediterrània"	"avinguda de la Mediterrània"			""	""	""	""	"way"	"  83898533"	""	"{'highway': 'residential', 'maxspeed': '50', 'name': 'avinguda de la Mediterrània', 'source': 'PNOA', 'source:date': '2008'}"
"Avinguda de la Mediterrània"	"Avinguda de la Mediterrània"			""	""	""	""	"way"	"  38146311"	""	"{'highway': 'residential', 'lanes': '2', 'maxspeed': '50', 'name': 'Avinguda de la Mediterrània', 'oneway': 'no'}"
"Avinguda de les Colònies"	"Avinguda de les Colònies"			""	""	""	""	"way"	" 577305328"	""	"{'highway': 'residential', 'name': 'Avinguda de les Colònies', 'oneway': 'no'}"
"Avinguda dels Pirineus"	"Avinguda dels Pirineus"			""	""	""	""	"way"	"  83898523"	""	"{'highway': 'residential', 'maxspeed': '30', 'name': 'Avinguda dels Pirineus', 'source': 'PNOA', 'source:date': '2008'}"
"Camí Català per Lleida"	"Camí Català per Lleida"			"Camí de Sant Jaume, Camí de Santiago, Camino de Santiago, El cami de sant jaume, Camiño de Santiago"	"Camí de Sant Jaume"	"pilgrims' way"	"Q41150"	"relation"	"   2164136"	""	"{'name': 'Camí Català per Lleida', 'network': 'nwn', 'note': 'western part of this Camino (divided to keep the relation short)', 'operator': \"Asociación del Camino de Santiago de L'Hospitalet\", 'osmc:symbol': 'blue:blue:shell_modern', 'pilgrimage': 'Camí de Sant Jaume', 'religion': 'christian', 'route': 'hiking', 'type': 'route', 'wiki:symbol': 'Symbol_Jakobsweg.png', 'wikidata': 'Q41150', 'wikipedia': 'ca:Camí de Sant Jaume'}"
"Camí Codís"	"Camí Codís"			""	""	""	""	"way"	"  83898509"	""	"{'highway': 'residential', 'maxspeed': '30', 'name': 'Camí Codís', 'oneway': 'no', 'source': 'PNOA', 'source:date': '2008'}"
"camí de Golmés a Miralcamp"	"camí de Golmés a Miralcamp"			""	""	""	""	"way"	" 202892097"	""	"{'highway': 'unclassified', 'name': 'camí de Golmés a Miralcamp'}"
"camí de Golmés a Miralcamp"	"camí de Golmés a Miralcamp"			""	""	""	""	"way"	" 300691908"	""	"{'highway': 'unclassified', 'name': 'camí de Golmés a Miralcamp'}"
"camí de Golmés a Miralcamp"	"camí de Golmés a Miralcamp"			""	""	""	""	"way"	" 202892107"	""	"{'highway': 'unclassified', 'name': 'camí de Golmés a Miralcamp'}"
"camí de Golmés a Miralcamp"	"camí de Golmés a Miralcamp"			""	""	""	""	"way"	" 202892102"	""	"{'highway': 'unclassified', 'name': 'camí de Golmés a Miralcamp'}"
"camí de Golmés a Miralcamp"	"camí de Golmés a Miralcamp"			""	""	""	""	"way"	"1005823324"	""	"{'highway': 'unclassified', 'name': 'camí de Golmés a Miralcamp'}"
"camí de Golmés a Miralcamp"	"camí de Golmés a Miralcamp"			""	""	""	""	"way"	"1005823325"	""	"{'bridge': 'yes', 'highway': 'unclassified', 'layer': '1', 'name': 'camí de Golmés a Miralcamp'}"
"Camí de la Cabanera"	"Camí de la Cabanera"			""	""	""	""	"way"	" 709587457"	""	"{'highway': 'track', 'name': 'Camí de la Cabanera', 'surface': 'unpaved'}"
"Camí de la Cometa"	"Camí de la Cometa"			""	""	""	""	"way"	" 152183881"	""	"{'highway': 'unclassified', 'name': 'Camí de la Cometa', 'oneway': 'no'}"
"Camí de la Quadra"	"Camí de la Quadra"			""	""	""	""	"way"	" 202894734"	""	"{'highway': 'unclassified', 'name': 'Camí de la Quadra'}"
"Camí de la Torre del Calvís"	"Camí de la Torre del Calvís"			""	""	""	""	"way"	" 327954004"	""	"{'highway': 'track', 'name': 'Camí de la Torre del Calvís'}"
"Camí de la Via"	"Camí de la Via"			""	""	""	""	"way"	" 577306243"	""	"{'highway': 'unclassified', 'name': 'Camí de la Via', 'oneway': 'no'}"
"Camí de les Borges Blanques a Golmés"	"Camí de les Borges Blanques a Golmés"			""	""	""	""	"way"	" 760020317"	""	"{'highway': 'unclassified', 'name': 'Camí de les Borges Blanques a Golmés', 'surface': 'asphalt'}"
"Camí de les Borges Blanques a Golmés"	"Camí de les Borges Blanques a Golmés"			""	""	""	""	"way"	" 760020320"	""	"{'highway': 'unclassified', 'name': 'Camí de les Borges Blanques a Golmés', 'surface': 'asphalt'}"
"Camí de les Borges Blanques a Golmés"	"Camí de les Borges Blanques a Golmés"			""	""	""	""	"way"	" 759338486"	""	"{'highway': 'unclassified', 'name': 'Camí de les Borges Blanques a Golmés', 'surface': 'asphalt'}"
"Camí de les Borges Blanques a Golmés"	"Camí de les Borges Blanques a Golmés"			""	""	""	""	"way"	" 635196380"	""	"{'bridge': 'yes', 'highway': 'unclassified', 'layer': '1', 'name': 'Camí de les Borges Blanques a Golmés', 'surface': 'unpaved'}"
"Camí de les Pletes"	"Camí de les Pletes"			""	""	""	""	"way"	" 709217114"	""	"{'highway': 'track', 'name': 'Camí de les Pletes', 'tracktype': 'grade2'}"
"Camí de Llevant"	"Camí de Llevant"			""	""	""	""	"way"	" 152183379"	""	"{'highway': 'unclassified', 'name': 'Camí de Llevant', 'oneway': 'no'}"
"camí de Mollerussa a Belianes"	"camí de Mollerussa a Belianes"			""	""	""	""	"way"	" 709217113"	""	"{'highway': 'track', 'name': 'camí de Mollerussa a Belianes', 'tracktype': 'grade1'}"
"camí de Mollerussa a Belianes"	"camí de Mollerussa a Belianes"			""	""	""	""	"way"	" 360616978"	""	"{'highway': 'unclassified', 'name': 'camí de Mollerussa a Belianes'}"
"camí de Mollerussa a Belianes"	"camí de Mollerussa a Belianes"			""	""	""	""	"way"	" 709587458"	""	"{'highway': 'unclassified', 'maxspeed': '50', 'name': 'camí de Mollerussa a Belianes', 'oneway': 'no', 'source': 'PNOA', 'source:date': '2008'}"
"Camí de Mollerussa a Vilanova de Bellpuig"	"Camí de Mollerussa a Vilanova de Bellpuig"			""	""	""	""	"way"	" 760020321"	""	"{'highway': 'track', 'name': 'Camí de Mollerussa a Vilanova de Bellpuig', 'tracktype': 'grade2'}"
"Camí de Mollerussa a Vilanova de Bellpuig"	"Camí de Mollerussa a Vilanova de Bellpuig"			""	""	""	""	"way"	" 759389338"	""	"{'highway': 'track', 'name': 'Camí de Mollerussa a Vilanova de Bellpuig', 'tracktype': 'grade2'}"
"Camí de Torregrossa a Vilanova de Bellpuig"	"Camí de Torregrossa a Vilanova de Bellpuig"			""	""	""	""	"way"	" 327954016"	""	"{'highway': 'track', 'name': 'Camí de Torregrossa a Vilanova de Bellpuig', 'tracktype': 'grade2'}"
"Camí de Vila-sana"	"Camí de Vila-sana"			""	""	""	""	"way"	" 678419084"	""	"{'highway': 'unclassified', 'name': 'Camí de Vila-sana', 'oneway': 'no'}"
"Camí de Vila-sana"	"Camí de Vila-sana"			""	""	""	""	"way"	"  68874949"	""	"{'bridge': 'yes', 'highway': 'unclassified', 'layer': '1', 'name': 'Camí de Vila-sana'}"
"Camí de Vila-sana"	"Camí de Vila-sana"			""	""	""	""	"way"	" 879507167"	""	"{'highway': 'unclassified', 'name': 'Camí de Vila-sana', 'oneway': 'no'}"
"Camí de Vila-sana"	"Camí de Vila-sana"			""	""	""	""	"way"	" 678419087"	""	"{'highway': 'unclassified', 'name': 'Camí de Vila-sana', 'oneway': 'no'}"
"Camí de Vila-sana"	"Camí de Vila-sana"			""	""	""	""	"way"	"  68874966"	""	"{'bridge': 'yes', 'highway': 'unclassified', 'layer': '1', 'name': 'Camí de Vila-sana'}"
"Camí de Vila-sana"	"Camí de Vila-sana"			""	""	""	""	"way"	" 678419085"	""	"{'highway': 'unclassified', 'name': 'Camí de Vila-sana', 'oneway': 'no'}"
"Camí de Vila-sana"	"Camí de Vila-sana"			""	""	""	""	"way"	"  68874948"	""	"{'highway': 'unclassified', 'name': 'Camí de Vila-sana', 'oneway': 'no'}"
"Camí de Vila-sana"	"Camí de Vila-sana"			""	""	""	""	"way"	" 879507166"	""	"{'highway': 'unclassified', 'name': 'Camí de Vila-sana', 'oneway': 'yes'}"
"Camí de Vilanova"	"Camí de Vilanova"			""	""	""	""	"node"	"1241674287"	""	"{'name': 'Camí de Vilanova', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Camí de Vilanova de BellPuig"	"Camí de Vilanova de BellPuig"			""	""	""	""	"way"	" 225901753"	""	"{'highway': 'unclassified', 'maxspeed': '70', 'name': 'Camí de Vilanova de BellPuig', 'oneway': 'no'}"
"camí del Merlet"	"camí del Merlet"			""	""	""	""	"way"	" 204828704"	""	"{'highway': 'track', 'name': 'camí del Merlet'}"
"camí del Merlet"	"camí del Merlet"			""	""	""	""	"way"	" 204828698"	""	"{'highway': 'unclassified', 'name': 'camí del Merlet'}"
"camí del Merlet"	"camí del Merlet"			""	""	""	""	"way"	" 204828699"	""	"{'highway': 'unclassified', 'name': 'camí del Merlet'}"
"camí del Merlet"	"camí del Merlet"			""	""	""	""	"way"	" 204828702"	""	"{'bridge': 'yes', 'highway': 'unclassified', 'layer': '1', 'name': 'camí del Merlet'}"
"camí del Palau d'Anglesola a Golmés"	"camí del Palau d'Anglesola a Golmés"			""	""	""	""	"way"	" 327954011"	""	"{'highway': 'unclassified', 'name': \"camí del Palau d'Anglesola a Golmés\"}"
