"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Font de l'Ase"	"Font de l'Ase"							"node"	"2753626396"		"{'amenity': 'drinking_water', 'name': \"Font de l'Ase\"}"
"Font de la Canal"	"Font de la Canal"							"node"	"9676391256"		"{'name': 'Font de la Canal', 'natural': 'spring'}"
"Font de la Plaça"	"Font de la Plaça"							"node"	"1367922733"		"{'drinking_water': 'yes', 'drinking_water:legal': 'yes', 'name': 'Font de la Plaça', 'natural': 'spring'}"
"Puig Pedró de la Tossa"	"Puig Pedró de la Tossa"							"node"	"46471675"		"{'ele': '2692', 'name': 'Puig Pedró de la Tossa', 'natural': 'peak', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serra del Comú"	"Serra del Comú"							"node"	"1241588316"		"{'name': 'Serra del Comú', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serra dels Fills"	"Serra dels Fills"							"node"	"1241597935"		"{'name': 'Serra dels Fills', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Torrent de la Mata de l'Ós"	"Torrent de la Mata de l'Ós"							"way"	"390924389"		"{'name': \"Torrent de la Mata de l'Ós\", 'waterway': 'stream'}"
"Torrent de la Mata de l'Ós"	"Torrent de la Mata de l'Ós"							"way"	"390923428"		"{'level': '-1', 'name': \"Torrent de la Mata de l'Ós\", 'waterway': 'stream'}"
"Torrent de Prat D'oró"	"Torrent de Prat D'oró"							"way"	"701370198"		"{'intermittent': 'yes', 'name': \"Torrent de Prat D'oró\", 'waterway': 'stream'}"
"Torrent de Prat D'oró"	"Torrent de Prat D'oró"							"way"	"701370210"		"{'intermittent': 'yes', 'name': \"Torrent de Prat D'oró\", 'waterway': 'stream'}"
"Torrent de Prat D'oró"	"Torrent de Prat D'oró"							"way"	"701370204"		"{'intermittent': 'yes', 'layer': '-1', 'name': \"Torrent de Prat D'oró\", 'tunnel': 'culvert', 'waterway': 'stream'}"
"Torrent Pregon"	"Torrent Pregon"							"way"	"701651291"		"{'intermittent': 'yes', 'name': 'Torrent Pregon', 'waterway': 'stream'}"
"Torrent Pregon"	"Torrent Pregon"							"way"	"701651292"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent Pregon', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Torrent Pregon"	"Torrent Pregon"							"way"	"701651293"		"{'intermittent': 'yes', 'name': 'Torrent Pregon', 'waterway': 'stream'}"
