"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passatge de l'Horta"	"Passatge de l'Horta"							"way"	"149782602"		"{'highway': 'pedestrian', 'name': \"Passatge de l'Horta\"}"
"Passatge de la Feixa"	"Passatge de la Feixa"							"way"	"317921744"		"{'highway': 'residential', 'maxspeed': '40', 'name': 'Passatge de la Feixa', 'oneway': 'no', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Passatge Mas Pugell"	"Passatge Mas Pugell"							"way"	"149250966"		"{'highway': 'residential', 'lanes': '2', 'maxspeed': '30', 'name': 'Passatge Mas Pugell', 'oneway': 'no', 'surface': 'asphalt', 'width': '6'}"
"Passeig de Prixana"	"Passeig de Prixana"							"way"	" 43774280"		"{'highway': 'residential', 'name': 'Passeig de Prixana', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passeig de Prixana"	"Passeig de Prixana"							"way"	"308022834"		"{'cycleway:right': 'lane', 'highway': 'residential', 'name': 'Passeig de Prixana', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passeig de Prixana"	"Passeig de Prixana"							"way"	"833348626"		"{'highway': 'residential', 'name': 'Passeig de Prixana', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passeig de Prixana"	"Passeig de Prixana"							"way"	" 43774296"		"{'hgv': 'no', 'highway': 'residential', 'lanes': '2', 'maxspeed': '30', 'name': 'Passeig de Prixana', 'oneway': 'no', 'surface': 'asphalt'}"
"Passeig de Prixana"	"Passeig de Prixana"							"way"	"308022837"		"{'cycleway:right': 'lane', 'highway': 'residential', 'maxspeed': '50', 'name': 'Passeig de Prixana', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passeig de Prixana"	"Passeig de Prixana"							"way"	"833348627"		"{'cycleway:right': 'lane', 'highway': 'residential', 'name': 'Passeig de Prixana', 'oneway': 'no', 'surface': 'asphalt'}"
"Passeig de Prixana"	"Passeig de Prixana"							"way"	"149661920"		"{'highway': 'residential', 'name': 'Passeig de Prixana', 'oneway': 'no', 'surface': 'asphalt'}"
"Passeig de Prixana"	"Passeig de Prixana"							"way"	"308022836"		"{'highway': 'residential', 'maxspeed': '50', 'name': 'Passeig de Prixana', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passeig de Prixana"	"Passeig de Prixana"							"way"	"833348628"		"{'cycleway:right': 'lane', 'hgv': 'no', 'highway': 'residential', 'lanes': '2', 'maxspeed': '30', 'name': 'Passeig de Prixana', 'oneway': 'no', 'surface': 'asphalt'}"
"Urbanització Serrabonica"	"Urbanització Serrabonica"							"way"	"180060418"		"{'landuse': 'residential', 'name': 'Urbanització Serrabonica'}"
