"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Roure"	"Cal Roure"							"node"	"6622021167"		"{'amenity': 'bar', 'name': 'Cal Roure'}"
"Camp de futbol"	"Camp de futbol"							"way"	"422185494"		"{'leisure': 'pitch', 'name': 'Camp de futbol', 'sport': 'soccer'}"
"Col·legi Maristes Igualada"	"Col·legi Maristes Igualada"			"Centre educatiu privat Maristes Igualada"		"private educational institution in Catalonia"	"Q111595364"	"way"	"1027055009"		"{'amenity': 'school', 'name': 'Col·legi Maristes Igualada', 'ref': '8019541', 'wikidata': 'Q111595364'}"
"Escola Anoia"	"Escola Anoia"			"Centre educatiu privat Anoia"		"private educational institution in Catalonia"	"Q111595670"	"way"	"329706507"		"{'amenity': 'school', 'name': 'Escola Anoia', 'operator': 'Societats mercantils', 'ref': '8056432', 'wikidata': 'Q111595670'}"
"Escola Ateneu Igualadí"	"Escola Ateneu Igualadí"							"way"	"949830543"		"{'amenity': 'school', 'isced:level': '0-1', 'name': 'Escola Ateneu Igualadí', 'operator': \"Departament d'Ensenyament\", 'operator:type': 'public', 'ref': '8036962'}"
"Escola Àuria"	"Escola Àuria"							"way"	"949830542"		"{'amenity': 'school', 'description': 'Escola per a nens i adolescents subdotats (educació especial)', 'isced:level': '0-2', 'name': 'Escola Àuria', 'operator': 'Societat mercantil', 'operator:type': 'private', 'ref': '8019472'}"
"Escola de Dansa del Consell Comarcal de l'Anoia"	"Escola de Dansa del Consell Comarcal de l'Anoia"							"node"	"8792975868"		"{'dance:teaching': 'yes', 'leisure': 'dance', 'name': \"Escola de Dansa del Consell Comarcal de l'Anoia\", 'operator': 'Corporacions locals'}"
"Escola Dolors Martí i Badia"	"Escola Dolors Martí i Badia"			"Escola Dolors Martí i Badia"		"Catalonia school"	"Q111339420"	"way"	"253092831"	"name:etymology:wikidata=Q112174628"	"{'amenity': 'school', 'name': 'Escola Dolors Martí i Badia', 'name:etymology:wikidata': 'Q112174628', 'ref': '8064866', 'wikidata': 'Q111339420'}"
"Escola Emili Vallès"	"Escola Emili Vallès"			"Escola Emili Vallès"		"Catalonia school"	"Q111338651"	"way"	"187649727"		"{'amenity': 'school', 'name': 'Escola Emili Vallès', 'ref': '8019460', 'wikidata': 'Q111338651'}"
"Escola Pia Igualada"	"Escola Pia Igualada"			"Centre educatiu privat Escola Pia d'Igualada"		"private educational institution in Catalonia"	"Q111595362"	"way"	"422189148"		"{'amenity': 'school', 'building': 'school', 'isced:level': '0-2', 'name': 'Escola Pia Igualada', 'ref': '8019502', 'wikidata': 'Q111595362'}"
"Santuari de la Mare de Déu de la Pietat"	"Santuari de la Mare de Déu de la Pietat"							"node"	"4219065881"		"{'amenity': 'place_of_worship', 'building': 'church', 'denomination': 'catholic', 'name': 'Santuari de la Mare de Déu de la Pietat', 'religion': 'christian'}"
"Santuari de la Mare de Déu de la Pietat"	"Santuari de la Mare de Déu de la Pietat"							"way"	"950177458"	"name:es=Santuario de la Madre de Dios de la Piedad"	"{'amenity': 'place_of_worship', 'building': 'yes', 'name': 'Santuari de la Mare de Déu de la Pietat', 'name:es': 'Santuario de la Madre de Dios de la Piedad', 'religion': 'christian'}"
