"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí d'Alcoletge"	"Camí d'Alcoletge"							"way"	" 174633349"		"{'highway': 'track', 'maxspeed': '30', 'name': \"Camí d'Alcoletge\", 'tracktype': 'grade2'}"
"Camí d'Alcoletge"	"Camí d'Alcoletge"							"way"	" 174633322"		"{'highway': 'unclassified', 'maxspeed': '40', 'name': \"Camí d'Alcoletge\"}"
"Camí d'Alcoletge"	"Camí d'Alcoletge"							"way"	" 706084903"		"{'highway': 'track', 'maxspeed': '30', 'name': \"Camí d'Alcoletge\", 'tracktype': 'grade2'}"
"Camí d'Alcoletge"	"Camí d'Alcoletge"							"way"	" 706084905"		"{'bridge': 'yes', 'highway': 'track', 'layer': '1', 'maxspeed': '30', 'name': \"Camí d'Alcoletge\", 'tracktype': 'grade2'}"
"Camí de Bellpuig"	"Camí de Bellpuig"							"node"	"1241690490"		"{'name': 'Camí de Bellpuig', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Camí de Juneda a Arbeca"	"Camí de Juneda a Arbeca"							"way"	" 100975114"		"{'highway': 'unclassified', 'lanes': '2', 'maxspeed': '40', 'name': 'Camí de Juneda a Arbeca'}"
"Camí de Juneda a Puiggrós"	"Camí de Juneda a Puiggrós"							"way"	" 751494720"		"{'highway': 'unclassified', 'lanes': '2', 'maxspeed': '40', 'name': 'Camí de Juneda a Puiggrós'}"
"Camí de Juneda a Puiggrós"	"Camí de Juneda a Puiggrós"							"way"	" 174628926"		"{'highway': 'track', 'maxspeed': '30', 'name': 'Camí de Juneda a Puiggrós', 'tracktype': 'grade2'}"
"Camí de Juneda a Puiggrós"	"Camí de Juneda a Puiggrós"							"way"	" 995449140"		"{'highway': 'track', 'name': 'Camí de Juneda a Puiggrós', 'tracktype': 'grade1'}"
"Camí de Juneda a Puiggrós"	"Camí de Juneda a Puiggrós"							"way"	" 508797264"		"{'highway': 'track', 'name': 'Camí de Juneda a Puiggrós', 'tracktype': 'grade1'}"
"Camí de Juneda a Puigverd de Lleida"	"Camí de Juneda a Puigverd de Lleida"							"way"	" 174628950"		"{'highway': 'unclassified', 'lanes': '2', 'maxspeed': '40', 'maxweight': '12', 'name': 'Camí de Juneda a Puigverd de Lleida', 'surface': 'asphalt'}"
"Camí de Juneda a Puigverd de Lleida"	"Camí de Juneda a Puigverd de Lleida"							"way"	" 508798771"		"{'highway': 'unclassified', 'lanes': '2', 'maxspeed': '40', 'maxweight': '12', 'name': 'Camí de Juneda a Puigverd de Lleida', 'surface': 'asphalt'}"
"Camí de l'Aranyó"	"Camí de l'Aranyó"							"way"	" 165371961"		"{'highway': 'track', 'name': \"Camí de l'Aranyó\", 'surface': 'gravel', 'tracktype': 'grade2'}"
