"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda Antoni Margarits i Sagrera"	"Avinguda Antoni Margarits i Sagrera"			""	""	""	""	"way"	" 176515448"	""	"{'highway': 'residential', 'name': 'Avinguda Antoni Margarits i Sagrera'}"
"Avinguda d'Europa"	"Avinguda d'Europa"			""	""	""	""	"way"	" 746498610"	""	"{'highway': 'tertiary', 'name': \"Avinguda d'Europa\", 'ref': 'GI-612'}"
"Avinguda d'Europa"	"Avinguda d'Europa"			""	""	""	""	"way"	" 206004199"	""	"{'highway': 'tertiary', 'name': \"Avinguda d'Europa\", 'oneway': 'yes', 'ref': 'GI-612'}"
"Avinguda d'Europa"	"Avinguda d'Europa"			""	""	""	""	"way"	" 808151842"	""	"{'cycleway:right': 'lane', 'cycleway:right:oneway': 'yes', 'highway': 'tertiary', 'lanes': '2', 'name': \"Avinguda d'Europa\", 'oneway': 'no', 'ref': 'GI-612', 'surface': 'asphalt'}"
"Avinguda d'Europa"	"Avinguda d'Europa"			""	""	""	""	"way"	" 746498611"	""	"{'highway': 'tertiary', 'name': \"Avinguda d'Europa\", 'oneway': 'yes', 'ref': 'GI-612'}"
"Avinguda d'Europa"	"Avinguda d'Europa"			""	""	""	""	"way"	" 170170180"	""	"{'highway': 'tertiary', 'name': \"Avinguda d'Europa\", 'ref': 'GI-612'}"
"Avinguda d'Europa"	"Avinguda d'Europa"			""	""	""	""	"way"	" 124097658"	""	"{'highway': 'tertiary', 'name': \"Avinguda d'Europa\", 'oneway': 'yes', 'ref': 'GI-612'}"
"Avinguda d'Europa"	"Avinguda d'Europa"			""	""	""	""	"way"	" 762516670"	""	"{'highway': 'tertiary', 'maxspeed': '50', 'name': \"Avinguda d'Europa\", 'ref': 'GI-612', 'surface': 'asphalt'}"
"Avinguda d'Europa"	"Avinguda d'Europa"			""	""	""	""	"way"	" 808151844"	""	"{'highway': 'tertiary', 'name': \"Avinguda d'Europa\", 'ref': 'GI-612', 'surface': 'asphalt'}"
