"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Llardecans"	"Ajuntament de Llardecans"							"way"	" 706307022"		"{'addr:city': 'Llardecans', 'addr:housenumber': '1', 'amenity': 'townhall', 'building': 'yes', 'name': 'Ajuntament de Llardecans', 'website': 'https://www.llardecans.cat'}"
"Mas de Batistet"	"Mas de Batistet"							"way"	" 813622844"		"{'building': 'yes', 'name': 'Mas de Batistet'}"
"Mas de Bernat"	"Mas de Bernat"							"way"	" 810508926"		"{'building': 'yes', 'name': 'Mas de Bernat'}"
"Mas de Brunet"	"Mas de Brunet"							"way"	" 810500057"		"{'building': 'yes', 'name': 'Mas de Brunet'}"
"Mas de Cornador"	"Mas de Cornador"							"way"	" 804543107"		"{'building': 'yes', 'name': 'Mas de Cornador'}"
"Mas de Cornador"	"Mas de Cornador"							"way"	" 591504106"		"{'building': 'yes', 'name': 'Mas de Cornador'}"
"Mas de Font"	"Mas de Font"							"node"	"1241681761"		"{'name': 'Mas de Font', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Mas de Joano"	"Mas de Joano"							"way"	" 813592371"		"{'building': 'yes', 'name': 'Mas de Joano'}"
"Mas de l'Abadia"	"Mas de l'Abadia"							"way"	" 809595800"		"{'building': 'yes', 'name': \"Mas de l'Abadia\"}"
"Mas de l'Andreu"	"Mas de l'Andreu"							"node"	"5570910690"		"{'name': \"Mas de l'Andreu\", 'place': 'locality'}"
"Mas de l'Hostal"	"Mas de l'Hostal"							"way"	" 893389455"		"{'building': 'yes', 'name': \"Mas de l'Hostal\"}"
"Mas de la Bernarda"	"Mas de la Bernarda"							"way"	" 581646649"		"{'building': 'ruins', 'name': 'Mas de la Bernarda'}"
"Mas de la Bernarda"	"Mas de la Bernarda"							"way"	" 892591870"		"{'building': 'ruins', 'name': 'Mas de la Bernarda'}"
"Mas de la Boina"	"Mas de la Boina"							"node"	"5582575122"		"{'name': 'Mas de la Boina', 'place': 'locality'}"
"Mas de la Pasqualina"	"Mas de la Pasqualina"							"way"	" 591394904"		"{'building': 'yes', 'name': 'Mas de la Pasqualina'}"
"Mas de Pelleters"	"Mas de Pelleters"							"way"	" 813628816"		"{'building': 'ruins', 'name': 'Mas de Pelleters'}"
"Mas del Badio"	"Mas del Badio"							"way"	" 810166263"		"{'building': 'yes', 'name': 'Mas del Badio'}"
"Mas del Càmio"	"Mas del Càmio"							"way"	" 810504535"		"{'building': 'yes', 'name': 'Mas del Càmio'}"
"Mas del Manà del Sort"	"Mas del Manà del Sort"							"way"	" 810175842"		"{'building': 'yes', 'name': 'Mas del Manà del Sort'}"
"Mas del Marc"	"Mas del Marc"							"way"	" 599183171"		"{'building': 'ruins', 'name': 'Mas del Marc'}"
"Mas del Maties"	"Mas del Maties"							"way"	" 807714598"		"{'building': 'public', 'name': 'Mas del Maties'}"
"Mas del Miarnau"	"Mas del Miarnau"							"way"	" 892661878"		"{'building': 'yes', 'name': 'Mas del Miarnau'}"
"Mas del Mig"	"Mas del Mig"							"way"	" 892408097"		"{'building': 'yes', 'name': 'Mas del Mig'}"
"Mas del Mig del Patet"	"Mas del Mig del Patet"							"way"	" 807711788"		"{'building': 'yes', 'name': 'Mas del Mig del Patet'}"
"Mas del Moro"	"Mas del Moro"							"way"	" 892599481"		"{'building': 'yes', 'name': 'Mas del Moro'}"
"Mas del Pastisser"	"Mas del Pastisser"							"way"	" 808842173"		"{'building': 'yes', 'name': 'Mas del Pastisser'}"
"Mas del Patet"	"Mas del Patet"							"way"	" 809600783"		"{'building': 'yes', 'name': 'Mas del Patet'}"
"Mas del Quico Miarnau"	"Mas del Quico Miarnau"							"way"	" 808120330"		"{'building': 'ruins', 'name': 'Mas del Quico Miarnau'}"
"Mas del Ros del Planxat"	"Mas del Ros del Planxat"							"way"	" 808842174"		"{'building': 'yes', 'name': 'Mas del Ros del Planxat'}"
"Mas del Ton de Pau"	"Mas del Ton de Pau"							"way"	" 803810274"		"{'building': 'yes', 'name': 'Mas del Ton de Pau'}"
"Mas del Tonet de Florença"	"Mas del Tonet de Florença"							"way"	" 807713088"		"{'building': 'yes', 'name': 'Mas del Tonet de Florença'}"
"Mas del Venturet"	"Mas del Venturet"							"way"	" 808490869"		"{'building': 'yes', 'name': 'Mas del Venturet'}"
