"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Bosc de l'Home Mort"	"Bosc de l'Home Mort"							"node"	"1241608719"		"{'name': \"Bosc de l'Home Mort\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de l'Ordial"	"Bosc de l'Ordial"							"node"	"8186766003"		"{'name': \"Bosc de l'Ordial\", 'natural': 'wood'}"
"Bosc de la Mata"	"Bosc de la Mata"							"node"	"1241638156"		"{'name': 'Bosc de la Mata', 'natural': 'wood', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de la Quera"	"Bosc de la Quera"							"node"	"1241619263"		"{'name': 'Bosc de la Quera', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de Queralt"	"Bosc de Queralt"							"node"	"1241644511"		"{'name': 'Bosc de Queralt', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc del Tossalell"	"Bosc del Tossalell"							"node"	"1241612021"		"{'name': 'Bosc del Tossalell', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Mas Barnola"	"Mas Barnola"							"node"	"3954702160"		"{'name': 'Mas Barnola', 'place': 'isolated_dwelling'}"
"Riu d'Engaït"	"Riu d'Engaït"							"way"	" 190250269"		"{'name': \"Riu d'Engaït\", 'waterway': 'stream'}"
"Riu de Calm Colomer"	"Riu de Calm Colomer"							"way"	" 390923398"		"{'name': 'Riu de Calm Colomer', 'waterway': 'stream'}"
"Riu de Calm Colomer"	"Riu de Calm Colomer"							"way"	" 702798404"		"{'name': 'Riu de Calm Colomer', 'waterway': 'stream'}"
"Riu de Calm Colomer"	"Riu de Calm Colomer"							"way"	" 702798405"		"{'layer': '-1', 'name': 'Riu de Calm Colomer', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Riu de la Canya"	"Riu de la Canya"							"way"	" 699693376"		"{'name': 'Riu de la Canya', 'waterway': 'stream'}"
"Riu de la Canya"	"Riu de la Canya"							"way"	" 699693377"		"{'layer': '-1', 'name': 'Riu de la Canya', 'tunnel': 'yes', 'waterway': 'stream'}"
"Riu de la Canya"	"Riu de la Canya"							"way"	" 699693378"		"{'name': 'Riu de la Canya', 'waterway': 'stream'}"
"Riu de la Canya"	"Riu de la Canya"							"way"	" 699693375"		"{'layer': '-1', 'name': 'Riu de la Canya', 'tunnel': 'yes', 'waterway': 'stream'}"
"Riu de la Canya"	"Riu de la Canya"							"way"	" 699693373"		"{'name': 'Riu de la Canya', 'waterway': 'stream'}"
"Riu de la Canya"	"Riu de la Canya"							"way"	" 699693372"		"{'layer': '-1', 'name': 'Riu de la Canya', 'tunnel': 'yes', 'waterway': 'stream'}"
"Riu de la Llosa"	"Riu de la Llosa"							"way"	"  81596778"		"{'name': 'Riu de la Llosa', 'waterway': 'river'}"
"Riu de la Muga"	"Riu de la Muga"							"way"	" 386126847"		"{'name': 'Riu de la Muga', 'waterway': 'stream'}"
"Riu de Montmalús"	"Riu de Montmalús"							"way"	" 190250273"		"{'name': 'Riu de Montmalús', 'waterway': 'stream'}"
"Riu de Setut"	"Riu de Setut"							"way"	" 703136300"		"{'intermittent': 'yes', 'name': 'Riu de Setut', 'waterway': 'stream'}"
"Riu de Setut"	"Riu de Setut"							"way"	" 703136299"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Riu de Setut', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Riu de Setut"	"Riu de Setut"							"way"	" 703136298"		"{'intermittent': 'yes', 'name': 'Riu de Setut', 'waterway': 'stream'}"
"Riu de Vallcivera"	"Riu de Vallcivera"							"way"	" 190250274"		"{'name': 'Riu de Vallcivera', 'waterway': 'stream'}"
"Riu del Boç"	"Riu del Boç"							"way"	" 392213972"		"{'name': 'Riu del Boç', 'waterway': 'stream'}"
"Riu del Molí"	"Riu del Molí"							"way"	" 177676221"		"{'name': 'Riu del Molí', 'waterway': 'stream'}"
"Riu del Molí"	"Riu del Molí"							"way"	" 758383948"		"{'name': 'Riu del Molí', 'waterway': 'stream'}"
"Riu del Molí"	"Riu del Molí"							"way"	" 706716814"		"{'layer': '-1', 'name': 'Riu del Molí', 'tunnel': 'yes', 'waterway': 'stream'}"
"Riu del Molí"	"Riu del Molí"							"way"	" 758383947"		"{'layer': '-1', 'name': 'Riu del Molí', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Riu del Molí"	"Riu del Molí"							"way"	" 706716813"		"{'name': 'Riu del Molí', 'waterway': 'stream'}"
