"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Bataller"	"Cal Bataller"							"node"	"5592820146"		"{'name': 'Cal Bataller', 'place': 'isolated_dwelling'}"
"Cal Burro"	"Cal Burro"							"node"	"5591071578"		"{'name': 'Cal Burro', 'place': 'isolated_dwelling'}"
"Cal Collet"	"Cal Collet"							"way"	"456055151"		"{'building': 'yes', 'name': 'Cal Collet', 'place': 'isolated_dwelling'}"
"Cal Doctor Recasens"	"Cal Doctor Recasens"							"way"	"255540088"		"{'building': 'house', 'name': 'Cal Doctor Recasens'}"
"Cal Freginals"	"Cal Freginals"							"way"	"506186663"		"{'addr:city': 'Llinars del Vallès', 'addr:postcode': '08450', 'building': 'yes', 'building:levels': '1', 'guest_house': 'agritourism', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'name': 'Cal Freginals', 'rooms': '4', 'tourism': 'guest_house', 'website': 'https://canfreginals.cat/'}"
"Cal Trabuc"	"Cal Trabuc"							"way"	"913615961"		"{'building': 'house', 'name': 'Cal Trabuc'}"
"Escola bressol petits estels"	"Escola bressol petits estels"							"way"	"1034827214"		"{'amenity': 'kindergarten', 'name': 'Escola bressol petits estels', 'opening_hours': 'Mo-Fr 07:30-17:00', 'ref': '8067545'}"
"Escola Ginebró"	"Escola Ginebró"							"way"	"698987141"		"{'amenity': 'school', 'name': 'Escola Ginebró', 'ref': '8045161'}"
"Escola Municipal de Música de Llinars"	"Escola Municipal de Música de Llinars"							"way"	"907677270"		"{'addr:city': 'Llinars del Vallès', 'addr:housenumber': '10', 'addr:postcode': '08450', 'addr:street': 'Carrer de Còrsega', 'amenity': 'music_school', 'building': 'yes', 'name': 'Escola Municipal de Música de Llinars', 'opening_hours': 'Mo-Fr 09:00-13:00,Mo-Fr 16:00-20:00', 'operator': 'Amics de la Unió'}"
