"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Barranc dels Quadros"	"Barranc dels Quadros"							"way"	"675095465"		"{'layer': '-1', 'name': 'Barranc dels Quadros', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc dels Quadros"	"Barranc dels Quadros"							"way"	"675095463"		"{'layer': '-1', 'name': 'Barranc dels Quadros', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc dels Quadros"	"Barranc dels Quadros"							"way"	"675095464"		"{'name': 'Barranc dels Quadros', 'waterway': 'stream'}"
"Barranc dels Quadros"	"Barranc dels Quadros"							"way"	"675095466"		"{'name': 'Barranc dels Quadros', 'waterway': 'stream'}"
"Barranc dels Quadros"	"Barranc dels Quadros"							"way"	"675095471"		"{'name': 'Barranc dels Quadros', 'waterway': 'stream'}"
"Cal Mingo"	"Cal Mingo"							"node"	"2626041457"		"{'name': 'Cal Mingo', 'place': 'isolated_dwelling'}"
"Cal Pere Pastor"	"Cal Pere Pastor"							"node"	"2626149264"		"{'name': 'Cal Pere Pastor', 'place': 'isolated_dwelling'}"
"Obaga de la Caseta"	"Obaga de la Caseta"							"node"	"1241681788"		"{'name': 'Obaga de la Caseta', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Obaga de la Font de la Mata"	"Obaga de la Font de la Mata"							"node"	"1241669804"		"{'name': 'Obaga de la Font de la Mata', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Obaga del Coll"	"Obaga del Coll"							"node"	"1241676475"		"{'name': 'Obaga del Coll', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
