"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Can Marcet"	"Avinguda de Can Marcet"							"way"	"  93065318"		"{'highway': 'residential', 'name': 'Avinguda de Can Marcet', 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda de Can Marcet"	"Avinguda de Can Marcet"							"way"	" 176330551"		"{'highway': 'residential', 'name': 'Avinguda de Can Marcet', 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda de Can Marcet"	"Avinguda de Can Marcet"							"way"	" 176330550"		"{'highway': 'residential', 'name': 'Avinguda de Can Marcet', 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda de Can Marcet"	"Avinguda de Can Marcet"							"way"	" 976711771"		"{'highway': 'residential', 'name': 'Avinguda de Can Marcet', 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda de Can Marcet"	"Avinguda de Can Marcet"							"way"	" 666906408"		"{'highway': 'residential', 'name': 'Avinguda de Can Marcet', 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda de Can Marcet"	"Avinguda de Can Marcet"							"way"	" 976711773"		"{'highway': 'residential', 'name': 'Avinguda de Can Marcet', 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda de Can Marcet"	"Avinguda de Can Marcet"							"way"	" 143873783"		"{'highway': 'residential', 'name': 'Avinguda de Can Marcet', 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	"  93047709"		"{'highway': 'residential', 'lanes': '2', 'name': 'Avinguda de Catalunya', 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 148030377"		"{'highway': 'residential', 'lanes': '2', 'name': 'Avinguda de Catalunya', 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	"  93047684"		"{'highway': 'residential', 'lanes': '2', 'name': 'Avinguda de Catalunya', 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda de les Arenes"	"Avinguda de les Arenes"							"way"	" 941840797"		"{'highway': 'residential', 'lanes': '2', 'name': 'Avinguda de les Arenes', 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda de les Arenes"	"Avinguda de les Arenes"							"way"	"  61464758"		"{'highway': 'residential', 'lanes': '1', 'name': 'Avinguda de les Arenes', 'oneway': 'yes', 'surface': 'asphalt'}"
