"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Meranges"	"Ajuntament de Meranges"							"way"	" 568874147"		"{'amenity': 'townhall', 'building': 'public', 'name': 'Ajuntament de Meranges'}"
"Bosc de Corniols"	"Bosc de Corniols"							"node"	"1241586413"		"{'name': 'Bosc de Corniols', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de Font de Socàs"	"Bosc de Font de Socàs"							"node"	"1241586494"		"{'name': 'Bosc de Font de Socàs', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de Fontberenella"	"Bosc de Fontberenella"							"node"	"1241597189"		"{'name': 'Bosc de Fontberenella', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de la Solana de Rigat"	"Bosc de la Solana de Rigat"							"node"	"1241588244"		"{'name': 'Bosc de la Solana de Rigat', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de les Comelles"	"Bosc de les Comelles"							"node"	"1241590801"		"{'name': 'Bosc de les Comelles', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de Sequers"	"Bosc de Sequers"							"node"	"1241591015"		"{'name': 'Bosc de Sequers', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de Tarterès"	"Bosc de Tarterès"							"node"	"1241601407"		"{'name': 'Bosc de Tarterès', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc del Calís"	"Bosc del Calís"							"node"	"1241593108"		"{'name': 'Bosc del Calís', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc del Llessà"	"Bosc del Llessà"							"node"	"1241592130"		"{'name': 'Bosc del Llessà', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc del Pla de Matons"	"Bosc del Pla de Matons"							"node"	"1241597768"		"{'name': 'Bosc del Pla de Matons', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc Gran"	"Bosc Gran"							"node"	"1241598982"		"{'name': 'Bosc Gran', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Castell dels Lladres"	"Castell dels Lladres"							"node"	"1249960976"		"{'ele': '2542', 'name': 'Castell dels Lladres', 'natural': 'peak', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Riu Duran"	"Riu Duran"			"Riu Duran"	"Riu Duran"	"river"	"Q110686840"	"way"	" 154030661"		"{'name': 'Riu Duran', 'waterway': 'river', 'wikidata': 'Q110686840', 'wikipedia': 'ca:Riu Duran'}"
